track,class,n,iou_median,iou_iqr,incl_mean,incl_q1,fill_median,fill_q1,fill_q3
toolseg31_vs_canonical_toolbbox,Bipolar Forceps,696,0.9177937773311282,0.09057811553588468,0.9685165079091479,0.9559041574330632,0.2028617286668134,0.14535923470191892,0.31179784821680123
toolseg31_vs_canonical_toolbbox,Electric Cautery,1667,0.9249766116302507,0.08586104425153218,0.9690358473030213,0.9587914487818807,0.19686619363929148,0.13471180959785672,0.3270191028707075
toolseg31_vs_canonical_toolbbox,Forceps,6063,0.8261891592920354,0.15207113729593613,0.9296691288894011,0.8914068156990772,0.26397618970871073,0.17242244882012814,0.3599187586010715
toolseg31_vs_canonical_toolbbox,Gauze,6695,0.889726524922944,0.10522883798546823,0.9589034422302876,0.9376139824163487,0.4282654600301659,0.30999862993422844,0.5362383045858394
toolseg31_vs_canonical_toolbbox,Hook,1349,0.8982035928143712,0.12297928167128536,0.9610721727568826,0.9454933216673275,0.12966537966537967,0.08845208845208845,0.2203062764404641
toolseg31_vs_canonical_toolbbox,Mouth Gag,2239,0.08501311855512844,0.11007795630237643,0.615329522918774,0.2996456820569261,0.057478816057680966,0.0252114673732462,0.10548238489773802
toolseg31_vs_canonical_toolbbox,Needle Holders,4829,0.899585729486735,0.11772917107362968,0.9698103777020383,0.959046803652968,0.11984897245521121,0.08953535353535354,0.18726243669943402
toolseg31_vs_canonical_toolbbox,Raspatory,814,0.847280005353299,0.2291407432724002,0.9648272668227222,0.9584601704028456,0.15038003146889045,0.08906922437483807,0.27763095238095237
toolseg31_vs_canonical_toolbbox,Retractor,2404,0.8797689008144215,0.11451865116236992,0.963405129855523,0.9465185625316345,0.18696160576242518,0.1049569665477852,0.31629088509235564
toolseg31_vs_canonical_toolbbox,Scalpel,1066,0.9084928729588551,0.11968314655679735,0.9854175823597687,0.9839939259991963,0.19936872472301564,0.1392783942935044,0.3080971380554174
toolseg31_vs_canonical_toolbbox,Scissors,2736,0.8720894868280253,0.1733013785851346,0.9610973567316579,0.943998584835394,0.14770294315815602,0.1018120075669793,0.24106061920996455
toolseg31_vs_canonical_toolbbox,Skewer,21,0.04441276867099291,0.0872363732461774,0.2687859076134168,0.07655984719864177,0.24539962685444314,0.09984373255943743,0.7601490312965723
toolseg31_vs_canonical_toolbbox,Suction Cannula,4411,0.9038089089735313,0.1283629760081728,0.9598555485283663,0.9485704276490701,0.10339147286821705,0.06621930915494081,0.20963324714470952
toolseg31_vs_canonical_toolbbox,Syringe,581,0.829138952267697,0.17023374815748404,0.9682158454492144,0.9596497252747253,0.26108474576271185,0.18923745850670906,0.3604755244755245
toolseg31_vs_canonical_toolbbox,Tweezers,10012,0.8859938936507458,0.13354722912801875,0.9632875303096687,0.9494724393967943,0.22326411009473168,0.14375816917468,0.3576719893886817
HTtool_vs_canonical_toolbbox,Bipolar Forceps,536,0.9234035596023453,0.0871527011964105,0.9754559994178658,0.9692948742847752,0.20053366546892706,0.14127183519302372,0.30898784489293946
HTtool_vs_canonical_toolbbox,Electric Cautery,313,0.9505125312668595,0.06858841771227464,0.9806637918838836,0.9910313901345291,0.13291686823205448,0.1104284380386899,0.1976637697411457
HTtool_vs_canonical_toolbbox,Forceps,758,0.8453442771196995,0.16064788807001784,0.8935620905353913,0.8969170535925081,0.13627966417146803,0.10237035180000958,0.22419728742827333
HTtool_vs_canonical_toolbbox,Gauze,1335,0.9002563550615448,0.12600444927048748,0.9157355382421641,0.9560454349698535,0.3449135836038271,0.25141262471462833,0.4834697466885469
HTtool_vs_canonical_toolbbox,Hook,81,0.9261150834184542,0.1061097511842557,0.9223819202617695,0.9806332842415316,0.08415763856178364,0.054163126593033135,0.11042609645700016
HTtool_vs_canonical_toolbbox,Mouth Gag,104,0.09107577321366499,0.11687388836997137,0.4119507700606083,0.2073293964318754,0.08159440092970249,0.04561987691341537,0.14442523359854365
HTtool_vs_canonical_toolbbox,Needle Holders,2392,0.9088436627463188,0.11910622322785303,0.9576965292567122,0.9696764268727726,0.10460080278828138,0.0826355243708839,0.14470939729276344
HTtool_vs_canonical_toolbbox,Raspatory,535,0.8902193745161429,0.18453610869234893,0.9760093050318666,0.9759493196667266,0.13054611967598642,0.08410071365455593,0.26763030976514124
HTtool_vs_canonical_toolbbox,Retractor,227,0.8619045882931987,0.21805365911738162,0.9386233626156579,0.9623603501031808,0.14180672268907563,0.0725184642388649,0.22778167772564756
HTtool_vs_canonical_toolbbox,Scalpel,749,0.9141858349973833,0.12475904481473854,0.9898450809373596,0.9930795847750865,0.19858665430954586,0.13291369648618964,0.3141249430795585
HTtool_vs_canonical_toolbbox,Scissors,1663,0.903707086853924,0.14288114527921858,0.9703780872810238,0.9649760225819324,0.12998434216824462,0.09654134559573474,0.19878832130708474
HTtool_vs_canonical_toolbbox,Skewer,10,0.09550526869770773,0.09707257506969161,0.17381359658546788,0.10121936782325054,0.5264350975995005,0.2310381731159779,0.87086278447785
HTtool_vs_canonical_toolbbox,Suction Cannula,1200,0.8735765403829607,0.18387357846200414,0.9716864082182527,0.9764333782024557,0.09794435712717078,0.05932941837591271,0.20751339791486206
HTtool_vs_canonical_toolbbox,Syringe,360,0.8427195933246604,0.16807947289341074,0.9560878990536629,0.9710517799352751,0.23856731384471586,0.18123624175630287,0.32594984168978586
