[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_11_003_t1a_region_mask_11_seed456
[t1a][epoch 1/50] loss=2.7762  val_acc=0.6277  macroF1=0.2146  edit=16.49  segF1@50=0.20
[t1a][epoch 2/50] loss=1.7546  val_acc=0.6792  macroF1=0.2295  edit=23.90  segF1@50=0.16
[t1a][epoch 3/50] loss=1.2174  val_acc=0.6799  macroF1=0.2287  edit=33.03  segF1@50=0.30
[t1a][epoch 4/50] loss=1.0091  val_acc=0.8205  macroF1=0.5231  edit=32.41  segF1@50=0.24
[t1a][epoch 5/50] loss=0.8763  val_acc=0.8488  macroF1=0.5436  edit=33.48  segF1@50=0.31
[t1a][epoch 6/50] loss=0.7668  val_acc=0.8614  macroF1=0.5665  edit=41.62  segF1@50=0.40
[t1a][epoch 7/50] loss=0.6934  val_acc=0.8719  macroF1=0.6022  edit=44.66  segF1@50=0.48
[t1a][epoch 8/50] loss=0.7795  val_acc=0.8574  macroF1=0.5247  edit=37.54  segF1@50=0.37
[t1a][epoch 9/50] loss=0.7239  val_acc=0.8746  macroF1=0.5991  edit=41.11  segF1@50=0.44
[t1a][epoch 10/50] loss=0.6038  val_acc=0.9182  macroF1=0.7318  edit=38.76  segF1@50=0.40
[t1a][epoch 11/50] loss=0.5460  val_acc=0.9287  macroF1=0.7568  edit=44.59  segF1@50=0.47
[t1a][epoch 12/50] loss=0.5008  val_acc=0.9340  macroF1=0.7649  edit=41.99  segF1@50=0.46
[t1a][epoch 13/50] loss=0.4714  val_acc=0.9327  macroF1=0.7701  edit=49.18  segF1@50=0.53
[t1a][epoch 14/50] loss=0.4728  val_acc=0.9373  macroF1=0.7915  edit=40.28  segF1@50=0.44
[t1a][epoch 15/50] loss=0.4442  val_acc=0.9406  macroF1=0.7822  edit=43.78  segF1@50=0.49
[t1a][epoch 16/50] loss=0.4250  val_acc=0.9399  macroF1=0.7886  edit=44.74  segF1@50=0.48
[t1a][epoch 17/50] loss=0.3944  val_acc=0.9386  macroF1=0.7903  edit=42.74  segF1@50=0.48
[t1a][epoch 18/50] loss=0.3789  val_acc=0.9399  macroF1=0.7772  edit=42.78  segF1@50=0.48
[t1a][epoch 19/50] loss=0.3559  val_acc=0.9446  macroF1=0.7950  edit=36.70  segF1@50=0.44
[t1a][epoch 20/50] loss=0.3459  val_acc=0.9406  macroF1=0.7814  edit=40.63  segF1@50=0.47
[t1a][epoch 21/50] loss=0.3404  val_acc=0.9465  macroF1=0.8044  edit=38.61  segF1@50=0.46
[t1a][epoch 22/50] loss=0.3410  val_acc=0.9314  macroF1=0.7692  edit=41.07  segF1@50=0.45
[t1a][epoch 23/50] loss=0.3450  val_acc=0.9459  macroF1=0.8000  edit=34.38  segF1@50=0.41
[t1a][epoch 24/50] loss=0.3305  val_acc=0.9340  macroF1=0.7846  edit=43.10  segF1@50=0.45
[t1a][epoch 25/50] loss=0.3165  val_acc=0.9399  macroF1=0.7766  edit=37.81  segF1@50=0.45
[t1a][epoch 26/50] loss=0.2956  val_acc=0.9406  macroF1=0.7910  edit=40.50  segF1@50=0.46
[t1a][epoch 27/50] loss=0.2850  val_acc=0.9406  macroF1=0.7953  edit=37.62  segF1@50=0.43
[t1a][epoch 28/50] loss=0.2807  val_acc=0.9393  macroF1=0.7820  edit=40.00  segF1@50=0.45
[t1a][epoch 29/50] loss=0.2897  val_acc=0.9446  macroF1=0.8008  edit=34.24  segF1@50=0.41
[t1a][epoch 30/50] loss=0.2878  val_acc=0.9267  macroF1=0.7753  edit=48.53  segF1@50=0.53
[t1a][epoch 31/50] loss=0.2972  val_acc=0.9386  macroF1=0.7911  edit=36.22  segF1@50=0.40
[t1a][epoch 32/50] loss=0.3091  val_acc=0.9406  macroF1=0.7809  edit=34.91  segF1@50=0.41
[t1a][epoch 33/50] loss=0.2900  val_acc=0.9393  macroF1=0.7999  edit=33.24  segF1@50=0.38
[t1a][epoch 34/50] loss=0.2706  val_acc=0.9413  macroF1=0.7900  edit=32.71  segF1@50=0.39
[t1a][epoch 35/50] loss=0.2532  val_acc=0.9399  macroF1=0.7954  edit=30.74  segF1@50=0.37
[t1a][epoch 36/50] loss=0.2367  val_acc=0.9399  macroF1=0.7878  edit=30.74  segF1@50=0.37
[t1a][epoch 37/50] loss=0.2249  val_acc=0.9432  macroF1=0.7927  edit=31.94  segF1@50=0.39
[t1a][epoch 38/50] loss=0.2201  val_acc=0.9406  macroF1=0.7920  edit=31.60  segF1@50=0.38
[t1a][epoch 39/50] loss=0.2153  val_acc=0.9419  macroF1=0.7925  edit=31.06  segF1@50=0.38
[t1a][epoch 40/50] loss=0.2121  val_acc=0.9393  macroF1=0.7894  edit=31.17  segF1@50=0.37
[t1a][epoch 41/50] loss=0.2075  val_acc=0.9393  macroF1=0.7913  edit=35.71  segF1@50=0.42
[t1a][epoch 42/50] loss=0.2062  val_acc=0.9446  macroF1=0.7986  edit=31.25  segF1@50=0.38
[t1a][epoch 43/50] loss=0.1993  val_acc=0.9413  macroF1=0.7907  edit=35.29  segF1@50=0.41
[t1a][epoch 44/50] loss=0.1969  val_acc=0.9446  macroF1=0.8005  edit=29.23  segF1@50=0.36
