[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_13_001_b2a_regiononly_mask_13_seed42
[b2a][epoch 1/50] loss=3.4947  val_acc=0.3399  macroF1=0.0762  edit=21.78  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6416  val_acc=0.4106  macroF1=0.1138  edit=20.99  segF1@50=0.02
[b2a][epoch 3/50] loss=2.2282  val_acc=0.6752  macroF1=0.2291  edit=39.67  segF1@50=0.22
[b2a][epoch 4/50] loss=1.8102  val_acc=0.6759  macroF1=0.2297  edit=29.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.5414  val_acc=0.6805  macroF1=0.2310  edit=34.33  segF1@50=0.24
[b2a][epoch 6/50] loss=1.3872  val_acc=0.6865  macroF1=0.2496  edit=30.51  segF1@50=0.27
[b2a][epoch 7/50] loss=1.2640  val_acc=0.7736  macroF1=0.3559  edit=30.47  segF1@50=0.26
[b2a][epoch 8/50] loss=1.1696  val_acc=0.7848  macroF1=0.3564  edit=30.62  segF1@50=0.23
[b2a][epoch 9/50] loss=1.0710  val_acc=0.7848  macroF1=0.3570  edit=31.34  segF1@50=0.22
[b2a][epoch 10/50] loss=0.9957  val_acc=0.7960  macroF1=0.3841  edit=33.71  segF1@50=0.24
[b2a][epoch 11/50] loss=0.9255  val_acc=0.8178  macroF1=0.4759  edit=38.35  segF1@50=0.39
[b2a][epoch 12/50] loss=0.8941  val_acc=0.8376  macroF1=0.4812  edit=33.94  segF1@50=0.26
[b2a][epoch 13/50] loss=0.8105  val_acc=0.8416  macroF1=0.4786  edit=29.24  segF1@50=0.26
[b2a][epoch 14/50] loss=0.8013  val_acc=0.8548  macroF1=0.5210  edit=39.22  segF1@50=0.27
[b2a][epoch 15/50] loss=0.7330  val_acc=0.8561  macroF1=0.5439  edit=44.28  segF1@50=0.44
[b2a][epoch 16/50] loss=0.6954  val_acc=0.8561  macroF1=0.5182  edit=33.63  segF1@50=0.27
[b2a][epoch 17/50] loss=0.6730  val_acc=0.9116  macroF1=0.7117  edit=38.74  segF1@50=0.35
[b2a][epoch 18/50] loss=0.6211  val_acc=0.9294  macroF1=0.7446  edit=42.17  segF1@50=0.39
[b2a][epoch 19/50] loss=0.6057  val_acc=0.9366  macroF1=0.7697  edit=41.75  segF1@50=0.44
[b2a][epoch 20/50] loss=0.5950  val_acc=0.9281  macroF1=0.7446  edit=41.75  segF1@50=0.39
[b2a][epoch 21/50] loss=0.5619  val_acc=0.9307  macroF1=0.7522  edit=41.40  segF1@50=0.41
[b2a][epoch 22/50] loss=0.5423  val_acc=0.9366  macroF1=0.7697  edit=41.99  segF1@50=0.44
[b2a][epoch 23/50] loss=0.5270  val_acc=0.9314  macroF1=0.7570  edit=41.40  segF1@50=0.41
[b2a][epoch 24/50] loss=0.5190  val_acc=0.9413  macroF1=0.7868  edit=44.44  segF1@50=0.50
[b2a][epoch 25/50] loss=0.5194  val_acc=0.9307  macroF1=0.7567  edit=39.03  segF1@50=0.39
[b2a][epoch 26/50] loss=0.5419  val_acc=0.9228  macroF1=0.7069  edit=35.90  segF1@50=0.34
[b2a][epoch 27/50] loss=0.5720  val_acc=0.9373  macroF1=0.7700  edit=38.81  segF1@50=0.40
[b2a][epoch 28/50] loss=0.5124  val_acc=0.9294  macroF1=0.7531  edit=53.66  segF1@50=0.59
[b2a][epoch 29/50] loss=0.4769  val_acc=0.9340  macroF1=0.7620  edit=42.30  segF1@50=0.42
[b2a][epoch 30/50] loss=0.4555  val_acc=0.9380  macroF1=0.7715  edit=43.49  segF1@50=0.44
[b2a][epoch 31/50] loss=0.4408  val_acc=0.9386  macroF1=0.7744  edit=43.16  segF1@50=0.44
[b2a][epoch 32/50] loss=0.4367  val_acc=0.9393  macroF1=0.7741  edit=43.16  segF1@50=0.45
[b2a][epoch 33/50] loss=0.4275  val_acc=0.9406  macroF1=0.7811  edit=45.14  segF1@50=0.46
[b2a][epoch 34/50] loss=0.4168  val_acc=0.9393  macroF1=0.7749  edit=43.16  segF1@50=0.45
[b2a][epoch 35/50] loss=0.4165  val_acc=0.9386  macroF1=0.7759  edit=41.04  segF1@50=0.43
[b2a][epoch 36/50] loss=0.4090  val_acc=0.9393  macroF1=0.7740  edit=45.14  segF1@50=0.45
[b2a][epoch 37/50] loss=0.3968  val_acc=0.9432  macroF1=0.7955  edit=41.35  segF1@50=0.42
[b2a][epoch 38/50] loss=0.4000  val_acc=0.9347  macroF1=0.7555  edit=44.59  segF1@50=0.44
[b2a][epoch 39/50] loss=0.4596  val_acc=0.9386  macroF1=0.7792  edit=40.93  segF1@50=0.42
[b2a][epoch 40/50] loss=0.4008  val_acc=0.9386  macroF1=0.7721  edit=44.88  segF1@50=0.44
[b2a][epoch 41/50] loss=0.3767  val_acc=0.9406  macroF1=0.7814  edit=43.25  segF1@50=0.44
[b2a][epoch 42/50] loss=0.3719  val_acc=0.9399  macroF1=0.7760  edit=41.37  segF1@50=0.43
[b2a][epoch 43/50] loss=0.3711  val_acc=0.9459  macroF1=0.7970  edit=40.45  segF1@50=0.44
[b2a][epoch 44/50] loss=0.3596  val_acc=0.9413  macroF1=0.7789  edit=42.59  segF1@50=0.44
[b2a][epoch 45/50] loss=0.3516  val_acc=0.9426  macroF1=0.7850  edit=40.81  segF1@50=0.43
[b2a][epoch 46/50] loss=0.3525  val_acc=0.9399  macroF1=0.7855  edit=40.00  segF1@50=0.41
[b2a][epoch 47/50] loss=0.3419  val_acc=0.9426  macroF1=0.7813  edit=44.74  segF1@50=0.50
