path,run_name,系統,seed,split,metric_name,value,config_path,commit,mtime
"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","epoch",8,"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/config.yaml","af1fc587e975",1779647451.8504698
"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","mAP",0.016989324554189632,"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/config.yaml","af1fc587e975",1779647451.8504698
"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/AP_common",0.016615909385962288,"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/config.yaml","af1fc587e975",1779647451.8504698
"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/AP_rare",0.007156768857639251,"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/config.yaml","af1fc587e975",1779647451.8504698
"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/mAP",0.016989324554189632,"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/config.yaml","af1fc587e975",1779647451.8504698
"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/mAP_50",0.0496910568861445,"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/config.yaml","af1fc587e975",1779647451.8504698
"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/metrics.json","s0_004_varifocanet_bbox_seed42","other","42","val","val/mAP_75",0.006755873488074087,"experiments/_smoke_prior/s0_004_varifocanet_bbox_seed42/config.yaml","af1fc587e975",1779647451.8504698
"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","epoch",8,"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","mAP",0.015529271685663567,"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/AP_common",0.014933618250961627,"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/AP_rare",0.007559037634028946,"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/mAP",0.015529271685663567,"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/mAP_50",0.04844547523648742,"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/metrics.json","s0_005_varifocanet_bbox_seed123","other","123","val","val/mAP_75",0.005113251243369854,"experiments/_smoke_prior/s0_005_varifocanet_bbox_seed123/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/metrics.json","s0_006_varifocanet_bbox_seed456","other","456","val","epoch",8,"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/metrics.json","s0_006_varifocanet_bbox_seed456","other","456","val","mAP",0.01617844297495474,"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/metrics.json","s0_006_varifocanet_bbox_seed456","other","456","val","val/AP_common",0.01582702229633121,"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/metrics.json","s0_006_varifocanet_bbox_seed456","other","456","val","val/AP_rare",0.006798497039479038,"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/metrics.json","s0_006_varifocanet_bbox_seed456","other","456","val","val/mAP",0.01617844297495474,"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/metrics.json","s0_006_varifocanet_bbox_seed456","other","456","val","val/mAP_50",0.05240343262628294,"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/config.yaml","af1fc587e975",1779647451.85147
"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/metrics.json","s0_006_varifocanet_bbox_seed456","other","456","val","val/mAP_75",0.006082597466539397,"experiments/_smoke_prior/s0_006_varifocanet_bbox_seed456/config.yaml","af1fc587e975",1779647451.85147
"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/metrics.json","s0_010_ddq_smoke_seed42","other","42","val","epoch",1,"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/config.yaml","4327348e4443",1782879930.0059464
"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/metrics.json","s0_010_ddq_smoke_seed42","other","42","val","mAP",0.0,"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/config.yaml","4327348e4443",1782879930.0059464
"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/metrics.json","s0_010_ddq_smoke_seed42","other","42","val","val/AP_common",0.0,"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/config.yaml","4327348e4443",1782879930.0059464
"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/metrics.json","s0_010_ddq_smoke_seed42","other","42","val","val/AP_rare",0.0,"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/config.yaml","4327348e4443",1782879930.0059464
"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/metrics.json","s0_010_ddq_smoke_seed42","other","42","val","val/mAP",0.0,"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/config.yaml","4327348e4443",1782879930.0059464
"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/metrics.json","s0_010_ddq_smoke_seed42","other","42","val","val/mAP_50",0.0,"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/config.yaml","4327348e4443",1782879930.0059464
"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/metrics.json","s0_010_ddq_smoke_seed42","other","42","val","val/mAP_75",0.0,"experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42/config.yaml","4327348e4443",1782879930.0059464
"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/metrics.json","s0_001_smoke_e3_seed42","other","42","val","epoch",1,"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/config.yaml","4fa9bfff3343",1779724561.4176652
"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/metrics.json","s0_001_smoke_e3_seed42","other","42","val","mAP",0.431,"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/config.yaml","4fa9bfff3343",1779724561.4176652
"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/metrics.json","s0_001_smoke_e3_seed42","other","42","val","val/AP_common",0.39707692307692316,"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/config.yaml","4fa9bfff3343",1779724561.4176652
"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/metrics.json","s0_001_smoke_e3_seed42","other","42","val","val/AP_rare",0.4355,"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/config.yaml","4fa9bfff3343",1779724561.4176652
"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/metrics.json","s0_001_smoke_e3_seed42","other","42","val","val/mAP",0.431,"experiments/baselines/_smoke_e3/s0_001_smoke_e3_seed42/config.yaml","4fa9bfff3343",1779724561.4176652
