quoted_name,quoted_value,quoted_source,recomputed,best_match_convention,residual,status
"S4_base_accuracy",0.8986,"研究計画 §1.2",0.8985698569856986,"S4 canonical triple (001-003) val accuracy 3-seed 平均",-3.0143014301375892e-05,"EXACT"
"B2a_delta",0.0383,"研究計画 §1.2",0.03828382838283828,"canonical triple 平均 − S4 canonical triple 平均 (val accuracy)",-1.6171617161719887e-05,"EXACT"
"T1a_delta",0.0497,"研究計画 §1.2",0.04972497249724972,"canonical triple 平均 − S4 canonical triple 平均 (val accuracy)",2.4972497249718673e-05,"EXACT"
"H6_delta",0.0004,"研究計画 §1.2",0.00044004400440045277,"haux canonical triple − oracle-tool 3-run 平均 (val accuracy)",-4.004400440045275e-05,"EXACT"
"oracle_tool_acc",0.9583,"研究計画 §1.2",0.9581958195819582,"oracle-tool 3-run 平均 (val accuracy)",0.00010418041804183265,"NEAR"
"oracle_tool_macroF1",0.823,"研究計画 §1.2",0.8230453441585834,"oracle-tool 3-run 平均 (val macro-F1)",-4.53441585834824e-05,"EXACT"
"S0_frozen_mAP",0.7051,"研究計画 §13.0'",0.7050996666666667,"s0_* 3-run 平均 (val mAP)",3.333333332689037e-07,"EXACT"
