rule,split,metric,system,k_seeds,n_reps,var_within_seed,var_between_seed,var_between_seed_raw,clipped_to_zero,ICC,sd_within,sd_between,within_exceeds_between
R-acc,val,phase_accuracy,base,3,3,5.325064959740711e-07,1.1779689153366632e-06,1.1779689153366632e-06,False,0.6886792452830337,0.0007297304269208398,0.0010853427639859507,False
R-acc,val,phase_accuracy,bboxROI,3,3,1.113422673400469e-06,1.4361538830816809e-06,1.4361538830816809e-06,False,0.563291139240492,0.0010551884539742032,0.0011983963797849528,False
R-acc,val,phase_accuracy,maskROI,3,3,2.7109421613228285e-06,2.743215282291294e-07,2.743215282291294e-07,False,0.09189189189190214,0.0016464938995704869,0.0005237571271392204,True
R-acc,val,phase_accuracy,randROI,3,3,1.5491098064702203e-06,3.1627658548766105e-06,3.1627658548766105e-06,False,0.6712328767123226,0.0012446323981281462,0.0017784166707711132,False
R-acc,val,phase_accuracy,shuffleROI,3,3,2.1784356653487005e-06,0.0,-2.743215282290669e-07,True,0.0,0.0014759524603958965,0.0,True
R-acc,val,phase_accuracy,handROIbbox2,3,3,1.0166033104960516e-06,3.6468626693986016e-06,3.6468626693986016e-06,False,0.7820069204152281,0.0010082674796382414,0.001909676063995829,False
R-acc,val,phase_accuracy,handROImask2,3,3,4.3568713306973525e-07,1.3231979596932577e-06,1.3231979596932577e-06,False,0.7522935779816496,0.0006600660066006544,0.001150303420708318,False
R-acc,val,phase_accuracy,bboxROI_handROIbbox2,3,3,6.293258588785209e-07,3.872774516175333e-07,3.872774516175333e-07,False,0.38095238095236994,0.0007933006106631464,0.0006223161990640556,True
R-acc,val,phase_macro_f1,base,3,3,2.3882063034663765e-05,2.9212847670323448e-05,2.9212847670323448e-05,False,0.5502005235989498,0.0048869277705593074,0.005404891087739275,False
R-acc,val,phase_macro_f1,bboxROI,3,3,5.161923203889262e-06,7.879623704111361e-07,7.879623704111361e-07,False,0.13243319733989786,0.0022719866205348264,0.0008876724454499735,True
R-acc,val,phase_macro_f1,maskROI,3,3,5.483954331409767e-06,5.119354609558923e-06,5.119354609558923e-06,False,0.48280726686920733,0.0023417844331641135,0.002262599082815805,True
R-acc,val,phase_macro_f1,randROI,3,3,4.561552834164176e-06,1.8738185663368222e-06,1.8738185663368222e-06,False,0.2911748910390695,0.002135779210069284,0.0013688749272073115,True
R-acc,val,phase_macro_f1,shuffleROI,3,3,2.5338078512273092e-05,0.0,-9.040670632275966e-07,True,0.0,0.005033694320503887,0.0,True
R-acc,val,phase_macro_f1,handROIbbox2,3,3,1.3739177342585976e-05,4.019791995752476e-06,4.019791995752476e-06,False,0.22635277527477118,0.003706639629446863,0.002004941893360622,True
R-acc,val,phase_macro_f1,handROImask2,3,3,3.0991542530411348e-06,1.4325735068076168e-05,1.4325735068076168e-05,False,0.8221420982407472,0.0017604414937853331,0.003784935279245362,False
R-acc,val,phase_macro_f1,bboxROI_handROIbbox2,3,3,1.1383133563489834e-06,2.4754370824374867e-06,2.4754370824374867e-06,False,0.6850049897935843,0.0010669176895848074,0.0015733521800402753,False
R-acc,test,phase_accuracy,base,3,3,2.4628612345366937e-05,0.00022806103176192002,0.00022806103176192002,False,0.9025341444744364,0.004962722271633477,0.015101689698901908,False
R-acc,test,phase_accuracy,bboxROI,3,3,4.421177980053706e-05,0.00010958470114417859,0.00010958470114417859,False,0.7125306149467124,0.006649193921110818,0.010468271163099407,False
R-acc,test,phase_accuracy,maskROI,3,3,4.390636546093653e-05,1.0178441891078712e-05,1.0178441891078712e-05,False,0.18819410458156058,0.006626187852825826,0.0031903670464507234,True
R-acc,test,phase_accuracy,randROI,3,3,0.00014402729426870082,3.714245588659003e-05,3.714245588659003e-05,False,0.2050146663819602,0.012001137207310848,0.0060944610825396225,True
R-acc,test,phase_accuracy,shuffleROI,3,3,3.494550873706453e-05,0.0,-6.271174439796551e-07,True,0.0,0.0059114726369209,0.0,True
R-acc,test,phase_accuracy,handROIbbox2,3,3,5.2409100675408506e-05,0.00011106290654784308,0.00011106290654784308,False,0.6794001519548599,0.007239413006273955,0.010538638742638589,False
R-acc,test,phase_accuracy,handROImask2,3,3,0.00010734092379591547,7.758338664086222e-05,7.758338664086222e-05,False,0.4195413056164219,0.010360546500832641,0.008808143200519746,True
R-acc,test,phase_accuracy,bboxROI_handROIbbox2,3,3,8.896719712556213e-05,0.00025153517790359853,0.00025153517790359853,False,0.7387178367905863,0.009432242422964018,0.015859860589034148,False
R-acc,test,phase_macro_f1,base,3,3,3.8743666058723026e-05,0.0022703073285576564,0.0022703073285576564,False,0.9832209569433266,0.006224441023796677,0.047647742113951806,False
R-acc,test,phase_macro_f1,bboxROI,3,3,4.45800988559572e-05,0.00024743644761098286,0.00024743644761098286,False,0.8473370793699041,0.006676832995961274,0.01573011276536131,False
R-acc,test,phase_macro_f1,maskROI,3,3,0.00012955463436030025,3.912662651453448e-05,3.912662651453448e-05,False,0.23195597609130578,0.011382206919587266,0.0062551280174377305,True
R-acc,test,phase_macro_f1,randROI,3,3,0.00011255581805054952,9.533366632518692e-05,9.533366632518692e-05,False,0.4585785885777764,0.01060923267963096,0.00976389606280131,True
R-acc,test,phase_macro_f1,shuffleROI,3,3,2.3841048625419017e-05,0.00024795297074649123,0.00024795297074649123,False,0.912282659197162,0.004882729628539657,0.015746522496935353,False
R-acc,test,phase_macro_f1,handROIbbox2,3,3,5.9776043657954115e-05,0.00010930584821726914,0.00010930584821726914,False,0.6464669102350308,0.007731496857527274,0.010454943721382202,False
R-acc,test,phase_macro_f1,handROImask2,3,3,5.1726228239859364e-05,0.0004680368940502679,0.0004680368940502679,False,0.9004811499285511,0.007192094843636266,0.021634160350017466,False
R-acc,test,phase_macro_f1,bboxROI_handROIbbox2,3,3,0.0003198856141340234,0.0,-0.00010440662003921736,True,0.0,0.01788534635208453,0.0,True
R-last,val,phase_accuracy,base,3,3,3.3402680202013576e-06,3.9276388218213396e-05,3.9276388218213396e-05,False,0.9216205982582362,0.0018276400138433602,0.00626708769830241,False
R-last,val,phase_accuracy,bboxROI,3,3,3.630726108914537e-06,2.507621499223639e-05,2.507621499223639e-05,False,0.8735244519392917,0.0019054464329690659,0.005007615699336001,False
R-last,val,phase_accuracy,maskROI,3,3,1.8831366084903528e-05,2.9271720718093022e-05,2.9271720718093022e-05,False,0.6085206306608489,0.004339512194348983,0.005410334621637836,False
R-last,val,phase_accuracy,randROI,3,3,1.253810749611819e-05,2.6044408621280238e-05,2.6044408621280238e-05,False,0.675031367628607,0.0035409190185767014,0.005103372279314947,False
R-last,val,phase_accuracy,shuffleROI,3,3,1.3748349532422773e-05,5.5509768065178165e-06,5.5509768065178165e-06,False,0.28762541806018965,0.003707876687866355,0.0023560511043943457,True
R-last,val,phase_accuracy,handROIbbox2,3,3,1.6507701375197988e-05,7.196905975892848e-06,7.196905975892848e-06,False,0.3036078965282528,0.004062967065482809,0.002682704973695924,True
R-last,val,phase_accuracy,handROImask2,3,3,9.875575016247363e-06,1.36676667300031e-05,1.36676667300031e-05,False,0.580534612748469,0.0031425427628351157,0.003696980758673637,False
R-last,val,phase_accuracy,bboxROI_handROIbbox2,3,3,3.146629294392629e-06,1.468427004049809e-06,1.468427004049809e-06,False,0.3181818181818057,0.0017738740920348966,0.0012117866990728231,True
R-last,val,phase_macro_f1,base,3,3,1.0368205511115686e-05,0.0,-2.3828288451061237e-06,True,0.0,0.0032199697997210607,0.0,True
R-last,val,phase_macro_f1,bboxROI,3,3,1.1471137629413914e-05,5.3652120313092504e-05,5.3652120313092504e-05,False,0.8238549791298659,0.003386906793729924,0.007324760768318137,False
R-last,val,phase_macro_f1,maskROI,3,3,3.84208735430385e-05,4.6325774724399224e-05,4.6325774724399224e-05,False,0.5466384296191572,0.006198457351877037,0.006806304042900172,False
R-last,val,phase_macro_f1,randROI,3,3,2.899996111733066e-05,2.5495866964169457e-05,2.5495866964169457e-05,False,0.46784988616082024,0.0053851611969680776,0.0050493432210703855,True
R-last,val,phase_macro_f1,shuffleROI,3,3,6.796574622752707e-05,1.9543270251990144e-06,1.9543270251990144e-06,False,0.02795087210699995,0.008244134049585019,0.001397972469399528,True
R-last,val,phase_macro_f1,handROIbbox2,3,3,8.640007582911198e-05,6.470293726285337e-05,6.470293726285337e-05,False,0.42820414986346717,0.009295164109853682,0.008043813601946117,True
R-last,val,phase_macro_f1,handROImask2,3,3,8.041257621826669e-05,0.000140537267320496,0.000140537267320496,False,0.6360595919401075,0.008967305962119655,0.011854841513934128,False
R-last,val,phase_macro_f1,bboxROI_handROIbbox2,3,3,6.344435594177485e-06,4.518511452071284e-06,4.518511452071284e-06,False,0.41595631763957025,0.002518816308145055,0.0021256790566948915,True
R-last,test,phase_accuracy,base,3,3,7.922447969231301e-06,0.0006502515621561704,0.0006502515621561704,False,0.9879629887425639,0.0028146843462866847,0.025500030630494747,False
R-last,test,phase_accuracy,bboxROI,3,3,4.5683876917410454e-05,0.00013134852698409692,0.00013134852698409692,False,0.7419462431136231,0.0067589849028837495,0.011460738500816468,False
R-last,test,phase_accuracy,maskROI,3,3,8.743401714076905e-05,3.5782344027570047e-05,3.5782344027570047e-05,False,0.29040253817172823,0.009350615869597524,0.005981834503525657,True
R-last,test,phase_accuracy,randROI,3,3,4.872580373982902e-05,0.00021517865491757948,0.00021517865491757948,False,0.8153657426338402,0.006980387076647614,0.014668969115707467,False
R-last,test,phase_accuracy,shuffleROI,3,3,5.308101222252932e-05,0.0003686371439931381,0.0003686371439931381,False,0.8741315462941947,0.007285671707023953,0.01919992562467725,False
R-last,test,phase_accuracy,handROIbbox2,3,3,4.192117225353445e-05,0.0004069381382746115,0.0004069381382746115,False,0.9066050959170072,0.006474656149444111,0.020172707757626678,False
R-last,test,phase_accuracy,handROImask2,3,3,2.233800479836476e-05,0.00025186502539036824,0.00025186502539036824,False,0.9185347996227846,0.004726309850016687,0.015870255996371586,False
R-last,test,phase_accuracy,bboxROI_handROIbbox2,3,3,2.1415653492772022e-05,6.599189440523076e-05,6.599189440523076e-05,False,0.75499079876074,0.004627704991977343,0.008123539524445656,False
