rule,n_seed_groups,val_metric_sd_mean,val_metric_sd_max,epoch_spread_mean,epoch_sd_mean
R-acc,24,0.0009786827516687032,0.0024989695691090205,7.083333333333333,3.919149496221715
R-last,24,0.002439237909737578,0.007300620472183569,0.0,0.0
R-loss,24,0.0010424123931720506,0.004122110890031949,2.1666666666666665,1.2308422470038944
R-mf1,24,0.0016660202588443865,0.004394936051801568,9.25,5.057412112331583
R-topk,24,0.0008999786870076995,0.0017463705023528947,6.333333333333333,3.3965239298393075
