metric,top1_top2_gap,n_near_optimal_pm0.001,sd_latter_half,status
val_accuracy,UNKNOWN,UNKNOWN,UNKNOWN,M1 SKIP: 全 50 epoch の val 履歴が無い（ログは10epoch毎5点・val_acc のみ）
val_loss,UNKNOWN,UNKNOWN,UNKNOWN,M1 SKIP: 全 50 epoch の val 履歴が無い（ログは10epoch毎5点・val_acc のみ）
val_macro_f1,UNKNOWN,UNKNOWN,UNKNOWN,M1 SKIP: 全 50 epoch の val 履歴が無い（ログは10epoch毎5点・val_acc のみ）
