split,contrast,metric,mean_diff,sd,MDE,H6_delta,MDE_vs_H6
val,b2a-s4,accuracy,0.04334433443344332,0.0010082674796382414,0.0025046748448965023,0.0004,6.261687112241256
val,b2a-s4,macro_f1,0.08554672871082385,0.0323703892200835,0.08041249096731946,0.0004,201.03122741829864
val,b2a-s4,F1:anesthesia,0.0855390288498747,0.07556512297780467,0.18771413984503915,0.0004,469.2853496125979
val,b2a-s4,F1:closure,0.025332313879415518,0.006624815963078347,0.0164569523761141,0.0004,41.14238094028524
val,b2a-s4,F1:design,-0.0032520325203252063,0.002816342776534762,0.0069961821138211444,0.0004,17.490455284552862
val,b2a-s4,F1:disinfection,0.0,0.0,0.0,0.0004,0.0
val,b2a-s4,F1:dissection,0.038646967631634443,0.01644878793268809,0.04086104748595366,0.0004,102.15261871488414
val,b2a-s4,F1:dressing,0.0,0.0,0.0,0.0004,0.0
val,b2a-s4,F1:hemostasis,0.3787005118884421,0.21315464187172425,0.529505394501649,0.0004,1323.7634862541224
val,b2a-s4,F1:incision,0.07386031124672536,0.03196763315280198,0.0794119896016388,0.0004,198.52997400409697
val,b2a-s4,F1:irrigation,0.0,0.0,0.0,0.0004,0.0
val,t1a-s4,accuracy,0.05676567656765671,0.0017463705023528947,0.004338224087800544,0.0004,10.845560219501358
val,t1a-s4,macro_f1,0.10709711488237046,0.03600768080036694,0.08944802261806602,0.0004,223.62005654516503
val,t1a-s4,F1:anesthesia,0.08726605325731156,0.07585336284547106,0.18843016724889763,0.0004,471.07541812224406
val,t1a-s4,F1:closure,0.03889856400326053,0.006733186643336136,0.01672616002413166,0.0004,41.81540006032915
val,t1a-s4,F1:design,-0.01981864240390659,0.00504866900519711,0.012541586942844647,0.0004,31.353967357111614
val,t1a-s4,F1:disinfection,0.0,0.0,0.0,0.0004,0.0
val,t1a-s4,F1:dissection,0.049152218680755255,0.011720593358265901,0.029115563027226093,0.0004,72.78890756806523
val,t1a-s4,F1:dressing,0.0,0.0,0.0,0.0004,0.0
val,t1a-s4,F1:hemostasis,0.5032075207870793,0.22837921736196307,0.5673253302079069,0.0004,1418.3133255197672
val,t1a-s4,F1:incision,0.09097408985209336,0.032738002305666244,0.08132569234166534,0.0004,203.31423085416333
val,t1a-s4,F1:irrigation,0.0,0.0,0.0,0.0004,0.0
val,t1a-b2a,accuracy,0.013421342134213384,0.0027480739266879813,0.006826592918142039,0.0004,17.066482295355097
val,t1a-b2a,macro_f1,0.021550386171546625,0.008567834093616907,0.021283676170165126,0.0004,53.209190425412814
val,t1a-b2a,F1:anesthesia,0.0017270244074368464,0.005891017814094559,0.014634097030575489,0.0004,36.58524257643872
val,t1a-b2a,F1:closure,0.01356625012384501,0.001656403379078565,0.0041147334019621335,0.0004,10.286833504905333
val,t1a-b2a,F1:design,-0.016566609883581385,0.0029721930950603317,0.007383335701795793,0.0004,18.45833925448948
val,t1a-b2a,F1:disinfection,0.0,0.0,0.0,0.0004,0.0
val,t1a-b2a,F1:dissection,0.010505251049120812,0.00483320996385057,0.012006357103675563,0.0004,30.015892759188908
val,t1a-b2a,F1:dressing,0.0,0.0,0.0,0.0004,0.0
val,t1a-b2a,F1:hemostasis,0.12450700889863713,0.050586443256405725,0.12566367008342233,0.0004,314.15917520855584
val,t1a-b2a,F1:incision,0.017113778605368002,0.004026865053963911,0.010003285644078274,0.0004,25.008214110195684
val,t1a-b2a,F1:irrigation,0.0,0.0,0.0,0.0004,0.0
test,b2a-s4,accuracy,-0.008050019538882403,0.013929236219594644,0.034602135120293254,0.0004,86.50533780073313
test,b2a-s4,macro_f1,0.025762056302017444,0.011698660890144135,0.029061079765293662,0.0004,72.65269941323415
test,b2a-s4,F1:anesthesia,0.05743678555057382,0.059363666986778,0.1474674988584809,0.0004,368.66874714620224
test,b2a-s4,F1:closure,-0.018915631830145108,0.03226841570136806,0.08015917474684216,0.0004,200.3979368671054
test,b2a-s4,F1:design,0.06346179579820692,0.02032372782663204,0.050486930174671915,0.0004,126.21732543667979
test,b2a-s4,F1:disinfection,0.0,0.0,0.0,0.0004,0.0
test,b2a-s4,F1:dissection,-0.07089244248882647,0.032231227379266675,0.0800667938491416,0.0004,200.166984622854
test,b2a-s4,F1:dressing,0.0,0.0,0.0,0.0004,0.0
test,b2a-s4,F1:hemostasis,0.07230962031708471,0.0743856839016701,0.1847842512542238,0.0004,461.96062813555943
test,b2a-s4,F1:incision,0.1026963230692457,0.025920159037266476,0.06438923363833121,0.0004,160.97308409582803
test,b2a-s4,F1:irrigation,0.0,0.0,0.0,0.0004,0.0
test,t1a-s4,accuracy,0.025947635795232515,0.009093959251996001,0.022590643295527645,0.0004,56.47660823881911
test,t1a-s4,macro_f1,0.1641379390347154,0.005332115179469424,0.013245706154184017,0.0004,33.114265385460044
test,t1a-s4,F1:anesthesia,0.0917615142876433,0.03955767234847012,0.09826668900341791,0.0004,245.66672250854475
