frame,class,cos,norm_ratio,rel_err_max,label
09_1_0985,"Electric Cautery",0.281803,0.984820,31694.974676,FLIPPED
09_1_0989,"Hook",0.218802,1.028627,696.611090,FLIPPED
09_1_0994,"Retractor",0.263997,1.051307,163.948385,FLIPPED
09_1_1010,"Bipolar Forceps",0.239767,0.926970,328.337778,FLIPPED
10_1_0216,"Bipolar Forceps",0.170597,0.897205,43.245760,FLIPPED
10_1_0271,"Bipolar Forceps",0.196273,1.006576,170.423554,FLIPPED
10_1_0276,"Electric Cautery",0.155845,0.993982,461.358103,FLIPPED
10_1_0284,"Bipolar Forceps",0.845332,0.909058,240.033257,FLIPPED
10_1_0292,"Bipolar Forceps",0.778654,0.969388,645.829643,FLIPPED
10_1_0292,"Scalpel",0.884868,1.025179,159.129245,FLIPPED
10_1_0298,"Skewer",0.196764,0.978049,1011.493781,FLIPPED
10_1_0337,"Electric Cautery",0.239547,0.978400,1082.803120,FLIPPED
10_1_0352,"Retractor",0.053472,0.995400,246.519631,FLIPPED
10_1_0353,"Gauze",0.361800,1.043200,195.933832,FLIPPED
10_1_0359,"Scalpel",0.772055,1.027425,124.447033,FLIPPED
10_1_0359,"Scissors",0.772055,0.939549,113.888665,FLIPPED
10_1_0365,"Bipolar Forceps",0.155079,1.006379,341.224225,FLIPPED
10_1_0405,"Scissors",0.292451,1.060721,1262.103311,FLIPPED
10_1_0407,"Scissors",0.785565,1.055552,597.609407,FLIPPED
10_1_0408,"Tweezers",0.740189,1.066049,53.576521,FLIPPED
10_1_0420,"Retractor",0.328270,0.934009,285.617523,FLIPPED
10_1_0431,"Syringe",0.224957,0.994730,143.540138,FLIPPED
10_1_0432,"Skewer",0.179853,0.995221,294.486530,FLIPPED
10_1_0437,"Hook",0.257274,0.975681,158.039261,FLIPPED
10_1_0440,"Gauze",0.466621,0.974879,111.497889,FLIPPED
10_1_0450,"Skewer",0.329665,0.994046,122.795197,FLIPPED
10_1_0452,"Scissors",0.566268,1.023163,130.930266,FLIPPED
10_1_0462,"Syringe",0.230849,1.074930,747.218685,FLIPPED
10_1_0474,"Tweezers",0.213367,0.928995,1360.993237,FLIPPED
10_1_0480,"Scissors",0.098614,1.107335,298.134483,FLIPPED
10_1_0487,"Retractor",0.200315,0.922675,1774.944662,FLIPPED
10_1_0520,"Bipolar Forceps",0.580120,0.975085,135.518966,FLIPPED
10_1_0521,"Gauze",0.892839,1.005281,175.836210,FLIPPED
10_1_0523,"Bipolar Forceps",0.161930,1.008081,138.748110,FLIPPED
10_1_0523,"Hook",0.619653,0.891912,287.254468,FLIPPED
10_1_0525,"Scalpel",0.343434,0.895446,141.309050,FLIPPED
10_1_0529,"Forceps",0.168647,1.025202,132.671962,FLIPPED
10_1_0534,"Gauze",0.838983,1.031091,606.327354,FLIPPED
10_1_0539,"Raspatory",0.221015,0.974519,119.731463,FLIPPED
10_1_0540,"Gauze",0.805596,0.978855,41.986170,FLIPPED
10_1_0552,"Hook",0.566149,0.938402,107.439370,FLIPPED
10_1_0561,"Skewer",0.308093,0.985896,486.688852,FLIPPED
10_1_0563,"Hook",0.444183,1.048975,722.235324,FLIPPED
10_1_0565,"Needle Holders",0.881518,1.383201,108.891705,FLIPPED
10_1_0572,"Bipolar Forceps",0.241951,0.976822,46.491409,FLIPPED
10_1_0581,"Bipolar Forceps",0.006690,1.010699,90.661880,FLIPPED
10_1_0581,"Syringe",0.006690,1.014577,91.013600,FLIPPED
10_1_0585,"Gauze",0.407664,1.021374,726.413924,FLIPPED
10_1_0593,"Forceps",0.331757,0.966260,136.744300,FLIPPED
10_1_0603,"Scissors",0.782285,1.031741,274.292787,FLIPPED
10_1_0613,"Retractor",0.826778,0.998045,198.934791,FLIPPED
10_1_0615,"Retractor",0.149735,0.957572,293.479498,FLIPPED
10_1_0627,"Forceps",0.217663,1.032144,169.634126,FLIPPED
10_1_0693,"Scalpel",0.315825,1.063109,870.897204,FLIPPED
10_1_0695,"Retractor",0.173285,0.995582,272.648946,FLIPPED
10_1_0701,"Scalpel",0.889910,0.970878,154.091318,FLIPPED
10_1_0703,"Scalpel",0.240549,0.887007,133.976057,FLIPPED
10_1_0712,"Scalpel",0.298794,0.953358,56.617391,FLIPPED
10_1_0720,"Skewer",0.143156,1.015289,2201.748203,FLIPPED
10_1_0726,"Bipolar Forceps",0.251511,1.006288,2648.303958,FLIPPED
10_1_0727,"Gauze",0.166757,0.944906,522.053361,FLIPPED
10_1_0739,"Skewer",0.215141,0.915884,61.140056,FLIPPED
10_1_0759,"Retractor",0.334955,1.037359,102.723016,FLIPPED
10_1_0776,"Hook",0.244645,1.000248,130.104678,FLIPPED
10_1_0781,"Retractor",0.224434,1.046522,157.468910,FLIPPED
10_1_0783,"Scissors",0.212710,1.005447,304.726468,FLIPPED
10_1_0822,"Bipolar Forceps",0.159914,1.011447,478.286790,FLIPPED
10_1_0830,"Forceps",0.206297,0.990720,404.148268,FLIPPED
10_1_0830,"Scalpel",0.080006,0.934378,59.130967,FLIPPED
10_1_0831,"Electric Cautery",0.240467,0.973829,480.918717,FLIPPED
10_1_0832,"Scalpel",0.116428,0.981084,304.760957,FLIPPED
10_1_0881,"Scalpel",0.112047,1.068425,374.062911,FLIPPED
10_1_0882,"Raspatory",0.235838,1.043531,796.291128,FLIPPED
10_1_0884,"Raspatory",0.389295,0.934250,3571.265850,FLIPPED
10_1_0898,"Skewer",0.154385,1.000085,1279.860314,FLIPPED
10_1_0947,"Scalpel",0.158714,1.010479,114.827446,FLIPPED
10_1_0968,"Needle Holders",0.882804,1.024397,708.652610,FLIPPED
10_1_0968,"Skewer",0.051108,1.051004,1969.023604,FLIPPED
10_1_0984,"Skewer",0.198612,0.986149,868.732815,FLIPPED
10_1_0993,"Retractor",0.299650,1.059639,73.536274,FLIPPED
10_1_1010,"Electric Cautery",0.273246,0.988097,1798.310362,FLIPPED
10_1_1011,"Skewer",0.149651,1.005056,375.881331,FLIPPED
10_1_1013,"Forceps",0.463217,1.020525,96.659532,FLIPPED
10_1_1015,"Suction Cannula",0.247387,0.944569,82.354095,FLIPPED
10_1_1016,"Bipolar Forceps",0.305683,1.009924,57.784420,FLIPPED
10_1_1029,"Gauze",0.181280,1.047438,1604.835843,FLIPPED
10_1_1039,"Electric Cautery",0.179549,0.990953,519.222743,FLIPPED
10_1_1081,"Scalpel",0.250746,0.931059,68.823556,FLIPPED
10_1_1093,"Skewer",0.199332,1.015109,86.493577,FLIPPED
10_1_1101,"Electric Cautery",0.418977,0.948700,52.145915,FLIPPED
10_1_1101,"Tweezers",0.554702,0.997818,61.502159,FLIPPED
10_1_1104,"Syringe",0.434534,1.081944,48.241937,FLIPPED
10_1_1106,"Gauze",0.162707,1.066875,4354.827967,FLIPPED
10_1_1110,"Electric Cautery",0.266771,1.060074,247.719634,FLIPPED
10_1_1149,"Gauze",0.354433,0.975937,66.681996,FLIPPED
10_1_1150,"Hook",0.525558,1.036342,118.525273,FLIPPED
10_1_1154,"Retractor",0.058388,1.089065,188.067362,FLIPPED
10_1_1168,"Gauze",0.317906,1.006963,210.340702,FLIPPED
10_1_1169,"Hook",0.120033,0.930431,2134.012296,FLIPPED
10_1_1169,"Tweezers",0.752497,2.147929,4393.418905,FLIPPED
10_1_1172,"Tweezers",0.762538,0.955371,807.435542,FLIPPED
10_1_1177,"Skewer",0.698802,0.941756,363.825090,FLIPPED
10_1_1184,"Retractor",0.211319,1.087492,955.687068,FLIPPED
10_1_1185,"Needle Holders",0.111035,0.982585,2280.017560,FLIPPED
10_1_1188,"Needle Holders",0.253032,1.065852,876.923143,FLIPPED
10_1_1197,"Scalpel",0.145434,1.042516,756.093320,FLIPPED
10_1_1398,"Forceps",0.472301,0.999830,780.959266,FLIPPED
10_1_1423,"Retractor",0.105535,0.987059,1710.641340,FLIPPED
10_1_1459,"Scissors",0.420918,0.975782,110.019061,FLIPPED
10_1_1467,"Electric Cautery",0.301320,1.005984,121.413702,FLIPPED
10_1_1485,"Forceps",0.317705,1.010671,65.360589,FLIPPED
10_1_1508,"Scalpel",0.178444,0.960903,48.902106,FLIPPED
10_1_1513,"Gauze",0.164827,1.059428,136.033822,FLIPPED
10_1_1534,"Electric Cautery",0.393207,1.002704,201.539766,FLIPPED
10_1_1541,"Forceps",0.251093,1.003610,627.751253,FLIPPED
10_1_1584,"Scissors",0.424127,0.993420,1306.698508,FLIPPED
10_1_1633,"Skewer",0.260129,0.996297,1057.298485,FLIPPED
10_1_1668,"Gauze",0.836358,1.179014,105.114498,FLIPPED
10_2_0028,"Raspatory",0.249505,0.958226,1071.297780,FLIPPED
10_2_0043,"Scalpel",0.208914,0.994626,703.849627,FLIPPED
10_2_0057,"Retractor",0.074850,0.985506,283.512521,FLIPPED
10_2_0065,"Electric Cautery",0.376424,1.004080,276.049869,FLIPPED
10_2_0235,"Bipolar Forceps",0.216935,1.082121,245.583923,FLIPPED
10_2_0235,"Suction Cannula",0.605174,1.003188,479.458155,FLIPPED
10_2_0260,"Scissors",0.086191,0.902060,938.952425,FLIPPED
10_2_0261,"Scissors",0.408998,0.847652,68.690625,FLIPPED
09_1_0217,"Retractor",0.9999424303148028,0.9808295499347124,46076.809361,SAME_TOKEN
09_1_0397,"Retractor",0.9999062685813032,1.0121066305460091,9277.169417,SAME_TOKEN
09_1_0397,"Needle Holders",0.9999062685586482,1.0082512982242722,9241.835193,SAME_TOKEN
09_1_0397,"Forceps",0.9999062686463019,1.0044492974783885,9206.988246,SAME_TOKEN
