control,seed,dimension,name,train_n,val_n,train_positive_rate,val_positive_rate,roc_auc,average_precision,iterations,convergence_warnings,cross_video_fraction,reason
meaningful_features,42,1,First Person's Left Hand,9356,1514,0.925502351432236,0.9848084544253632,0.6449129559968507,0.9913231419217445,9,0,,
meaningful_features,42,2,First Person's Right Hand,9356,1514,0.8963232150491663,0.9663143989431968,0.7588489941431118,0.9887311169637865,10,0,,
meaningful_features,42,3,Left Hand Tool,9356,1514,0.7619709277469003,0.8130779392338177,0.82926633235067,0.9452608354816157,10,0,,
meaningful_features,42,4,Right Hand Tool,9356,1514,0.7669944420692604,0.8414795244385733,0.7434458398744114,0.9234161321362119,9,0,,
meaningful_features,42,5,Two Hands Tool,9356,1514,0.10175288584865327,0.11624834874504623,0.7927537708927844,0.41115782400760337,13,0,,
