control,seed,dimension,name,train_n,val_n,train_positive_rate,val_positive_rate,roc_auc,average_precision,iterations,convergence_warnings,cross_video_fraction,reason
shuffled_train_teachers,42,1,First Person's Left Hand,9356,1514,0.925502351432236,0.9848084544253632,0.5616889744262678,0.9871609268387438,9,0,0.910645575032065,
shuffled_train_teachers,42,2,First Person's Right Hand,9356,1514,0.8963232150491663,0.9663143989431968,0.5382574082264485,0.9709193667666876,8,0,0.910645575032065,
shuffled_train_teachers,42,3,Left Hand Tool,9356,1514,0.7619709277469003,0.8130779392338177,0.32928786099956087,0.7312263315450578,6,0,0.910645575032065,
shuffled_train_teachers,42,4,Right Hand Tool,9356,1514,0.7669944420692604,0.8414795244385733,0.5515208006279435,0.8703741702503793,6,0,0.910645575032065,
shuffled_train_teachers,42,5,Two Hands Tool,9356,1514,0.10175288584865327,0.11624834874504623,0.32144313086017123,0.07985112396670248,8,0,0.910645575032065,
random_features,42,1,First Person's Left Hand,9356,1514,0.925502351432236,0.9848084544253632,0.5430554340535969,0.9872115099273178,10,0,,
random_features,42,2,First Person's Right Hand,9356,1514,0.8963232150491663,0.9663143989431968,0.4843123852411778,0.9636263627319961,8,0,,
random_features,42,3,Left Hand Tool,9356,1514,0.7619709277469003,0.8130779392338177,0.4990053764212497,0.8013709843112596,5,0,,
random_features,42,4,Right Hand Tool,9356,1514,0.7669944420692604,0.8414795244385733,0.4737114076399791,0.8268461700127322,5,0,,
random_features,42,5,Two Hands Tool,9356,1514,0.10175288584865327,0.11624834874504623,0.49810181410517734,0.11677225961008963,8,0,,
shuffled_train_teachers,123,1,First Person's Left Hand,9356,1514,0.925502351432236,0.9848084544253632,0.42297261831860733,0.982421501716042,9,0,0.9085079093629757,
shuffled_train_teachers,123,2,First Person's Right Hand,9356,1514,0.8963232150491663,0.9663143989431968,0.4669963679251605,0.9646082852243335,8,0,0.9085079093629757,
shuffled_train_teachers,123,3,Left Hand Tool,9356,1514,0.7619709277469003,0.8130779392338177,0.5130793718227302,0.8201413100298189,6,0,0.9085079093629757,
shuffled_train_teachers,123,4,Right Hand Tool,9356,1514,0.7669944420692604,0.8414795244385733,0.4672749869178441,0.8339202858994896,6,0,0.9085079093629757,
shuffled_train_teachers,123,5,Two Hands Tool,9356,1514,0.10175288584865327,0.11624834874504623,0.3306750237804049,0.09421288720689146,8,0,0.9085079093629757,
random_features,123,1,First Person's Left Hand,9356,1514,0.925502351432236,0.9848084544253632,0.43131251275770566,0.9838991968686728,10,0,,
random_features,123,2,First Person's Right Hand,9356,1514,0.8963232150491663,0.9663143989431968,0.4344015118008926,0.960276272664665,8,0,,
random_features,123,3,Left Hand Tool,9356,1514,0.7619709277469003,0.8130779392338177,0.5476486409681577,0.8387700221481306,5,0,,
random_features,123,4,Right Hand Tool,9356,1514,0.7669944420692604,0.8414795244385733,0.5096938775510204,0.8464290348552963,6,0,,
random_features,123,5,Two Hands Tool,9356,1514,0.10175288584865327,0.11624834874504623,0.5026795420573448,0.11383841440220437,8,0,,
shuffled_train_teachers,456,1,First Person's Left Hand,9356,1514,0.925502351432236,0.9848084544253632,0.4020062403405943,0.9772509381129375,9,0,0.9085079093629757,
shuffled_train_teachers,456,2,First Person's Right Hand,9356,1514,0.8963232150491663,0.9663143989431968,0.45982603567742886,0.9657573456400018,8,0,0.9085079093629757,
shuffled_train_teachers,456,3,Left Hand Tool,9356,1514,0.7619709277469003,0.8130779392338177,0.6264262729890089,0.8682465117040119,6,0,0.9085079093629757,
shuffled_train_teachers,456,4,Right Hand Tool,9356,1514,0.7669944420692604,0.8414795244385733,0.57807757718472,0.8828619649337,6,0,0.9085079093629757,
shuffled_train_teachers,456,5,Two Hands Tool,9356,1514,0.10175288584865327,0.11624834874504623,0.579333129501291,0.14037314659422817,8,0,0.9085079093629757,
random_features,456,1,First Person's Left Hand,9356,1514,0.925502351432236,0.9848084544253632,0.5315370483772198,0.9864263478431583,10,0,,
random_features,456,2,First Person's Right Hand,9356,1514,0.8963232150491663,0.9663143989431968,0.48996823609826706,0.9656141851091622,8,0,,
random_features,456,3,Left Hand Tool,9356,1514,0.7619709277469003,0.8130779392338177,0.48802863597351115,0.8045125822270407,5,0,,
random_features,456,4,Right Hand Tool,9356,1514,0.7669944420692604,0.8414795244385733,0.5248986132914705,0.8520657003282729,5,0,,
random_features,456,5,Two Hands Tool,9356,1514,0.10175288584865327,0.11624834874504623,0.5213386669384428,0.1239189022704368,8,0,,
