split,contrast,system_a,system_b,metric,is_prereg_phase,mean_a,mean_b,sd_a,sd_b,diff,se,df,t_crit,welch_exceeds,boot_ci_lo,boot_ci_hi,boot_crosses_zero,both_criteria_met
val,2-1,bboxROI,base,anesthesia,False,0.9982905982905983,0.9982905982905983,0.0029607706112289036,0.002960770611228904,0.0,0.0024174590809796933,3.999999999999999,2.7764451051977934,False,0.0,0.0,True,False
val,2-1,bboxROI,base,closure,True,0.9682516551390009,0.9554475333327463,0.0008848198621932692,0.0012870613754923758,0.012804121806254565,0.0009017451918023631,3.545303607197381,2.922678449103403,True,0.0,0.012804121806254565,True,False
val,2-1,bboxROI,base,design,False,0.9852216748768473,0.9818559092877158,0.0,0.005829677006742793,0.0033657655891314864,0.0033657655891315237,2.0,4.302652729749462,False,0.0,0.003968253968253954,True,False
val,2-1,bboxROI,base,disinfection,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,2-1,bboxROI,base,dissection,False,0.9763039518604377,0.960906189837313,0.001904260345619327,0.005114529651075646,0.015397762023124706,0.0031509057436251674,2.5440447664775214,3.5307631996903908,True,0.009396725231866299,0.02035330150965453,False,True
val,2-1,bboxROI,base,dressing,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,2-1,bboxROI,base,hemostasis,True,0.934725070251386,0.8124729586497214,0.02679921310642753,0.029049646591795604,0.1222521116016646,0.02281870424477793,3.974271640023463,2.783548061396069,True,0.0,0.1222521116016646,True,False
val,2-1,bboxROI,base,incision,True,0.9674876216741432,0.9460039992517334,0.0029590990161938177,0.0028724010720098904,0.021483622422409754,0.002380963033880954,3.9964681568476097,2.7774130471121476,True,0.01083923116697616,0.08161273754494092,False,True
val,2-1,bboxROI,base,irrigation,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,2-1,bboxROI,base,phase_accuracy,False,0.965016501650165,0.9485148514851485,0.0013201320132013028,0.0013201320132013028,0.01650165016501648,0.0010778832751520994,4.0,2.7764451051977934,True,0.009652509652509744,0.02006018054162495,False,True
val,2-1,bboxROI,base,phase_macro_f1,False,0.8328972245846304,0.8078538840928325,0.0037807849414899825,0.004381242674196541,0.025043340491797905,0.0033411386354553975,3.916131708035626,2.8000531532915236,True,0.006051052591774186,0.03362423621812294,False,True
val,3-2,maskROI,bboxROI,anesthesia,False,0.9965811965811966,0.9982905982905983,0.002960770611228904,0.0029607706112289036,-0.0017094017094017033,0.0024174590809796933,3.999999999999999,2.7764451051977934,False,-0.002666666666666595,0.0,True,False
val,3-2,maskROI,bboxROI,closure,True,0.9679856247821186,0.9682516551390009,0.0013419490861088042,0.0008848198621932692,-0.0002660303568823297,0.0009280326032778465,3.462559826854309,2.9549460633681894,False,-0.0002660303568823297,0.0,True,False
val,3-2,maskROI,bboxROI,design,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,3-2,maskROI,bboxROI,disinfection,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,3-2,maskROI,bboxROI,dissection,False,0.9773149448750397,0.9763039518604377,0.0016012538173524294,0.001904260345619327,0.0010109930146019463,0.0014364564329724689,3.8855930537934844,2.808984501548073,False,0.000723065798987732,0.0013051408474757942,False,False
val,3-2,maskROI,bboxROI,dressing,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,3-2,maskROI,bboxROI,hemostasis,True,0.9578487578487579,0.934725070251386,0.00501221363915644,0.02679921310642753,0.023123687597371934,0.015740818579818343,2.1397474810124177,4.0442730872924475,False,0.0,0.023123687597371934,True,False
val,3-2,maskROI,bboxROI,incision,True,0.9664629863744908,0.9674876216741432,0.0018855729398312513,0.0029590990161938177,-0.0010246352996523544,0.002025804556142496,3.394283533273735,2.9831986193023816,False,-0.008804399465447088,8.503509823731825e-06,True,False
val,3-2,maskROI,bboxROI,irrigation,False,None,None,None,None,0.0,0.0,None,None,False,0.0,0.0,True,False
val,3-2,maskROI,bboxROI,phase_accuracy,False,0.965896589658966,0.965016501650165,0.0010082674796382536,0.0013201320132013028,0.0008800880088010166,0.0009590536729462366,3.7409326424870772,2.853943416300717,False,0.0,0.0013373453694416337,True,False
val,3-2,maskROI,bboxROI,phase_macro_f1,False,0.8359164550483502,0.8328972245846304,0.0009419605337202846,0.0037807849414899825,0.0030192304637197687,0.0022495647298150824,2.2473382707846925,3.879250713862828,False,-0.0004837743394637828,0.0030192304637197687,True,False
