[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_08_003_t1a_region_mask_08_seed456
[t1a][epoch 1/50] loss=2.7744  val_acc=0.6502  macroF1=0.2201  edit=15.48  segF1@50=0.18
[t1a][epoch 2/50] loss=1.7359  val_acc=0.6799  macroF1=0.2294  edit=31.00  segF1@50=0.23
[t1a][epoch 3/50] loss=1.1827  val_acc=0.6812  macroF1=0.2292  edit=30.78  segF1@50=0.24
[t1a][epoch 4/50] loss=0.9876  val_acc=0.8158  macroF1=0.5115  edit=25.89  segF1@50=0.22
[t1a][epoch 5/50] loss=0.8554  val_acc=0.8521  macroF1=0.5532  edit=34.68  segF1@50=0.30
[t1a][epoch 6/50] loss=0.7454  val_acc=0.8587  macroF1=0.5570  edit=32.63  segF1@50=0.30
[t1a][epoch 7/50] loss=0.6651  val_acc=0.8799  macroF1=0.6269  edit=57.14  segF1@50=0.50
[t1a][epoch 8/50] loss=0.7260  val_acc=0.9043  macroF1=0.6579  edit=35.57  segF1@50=0.33
[t1a][epoch 9/50] loss=0.6753  val_acc=0.9241  macroF1=0.7394  edit=33.24  segF1@50=0.35
[t1a][epoch 10/50] loss=0.5723  val_acc=0.9320  macroF1=0.7581  edit=41.93  segF1@50=0.46
[t1a][epoch 11/50] loss=0.5129  val_acc=0.9294  macroF1=0.7588  edit=44.59  segF1@50=0.47
[t1a][epoch 12/50] loss=0.4753  val_acc=0.9327  macroF1=0.7632  edit=41.36  segF1@50=0.45
[t1a][epoch 13/50] loss=0.4492  val_acc=0.9347  macroF1=0.7726  edit=42.56  segF1@50=0.47
[t1a][epoch 14/50] loss=0.4561  val_acc=0.9366  macroF1=0.7877  edit=43.16  segF1@50=0.46
[t1a][epoch 15/50] loss=0.4265  val_acc=0.9386  macroF1=0.7774  edit=42.00  segF1@50=0.47
[t1a][epoch 16/50] loss=0.4182  val_acc=0.9406  macroF1=0.7956  edit=44.29  segF1@50=0.49
[t1a][epoch 17/50] loss=0.3917  val_acc=0.9360  macroF1=0.7902  edit=42.26  segF1@50=0.46
[t1a][epoch 18/50] loss=0.3774  val_acc=0.9406  macroF1=0.7774  edit=39.05  segF1@50=0.45
[t1a][epoch 19/50] loss=0.3494  val_acc=0.9452  macroF1=0.7953  edit=41.67  segF1@50=0.47
