[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_09_003_t1a_region_mask_09_seed456
[t1a][epoch 1/50] loss=2.8508  val_acc=0.5828  macroF1=0.1962  edit=12.15  segF1@50=0.21
[t1a][epoch 2/50] loss=1.8132  val_acc=0.6805  macroF1=0.2284  edit=26.37  segF1@50=0.19
[t1a][epoch 3/50] loss=1.2582  val_acc=0.6799  macroF1=0.2288  edit=32.41  segF1@50=0.28
[t1a][epoch 4/50] loss=1.0673  val_acc=0.7459  macroF1=0.4267  edit=36.20  segF1@50=0.33
[t1a][epoch 5/50] loss=0.9128  val_acc=0.8020  macroF1=0.4853  edit=28.56  segF1@50=0.25
[t1a][epoch 6/50] loss=0.8223  val_acc=0.7861  macroF1=0.4745  edit=41.45  segF1@50=0.33
[t1a][epoch 7/50] loss=0.8086  val_acc=0.8733  macroF1=0.6195  edit=39.15  segF1@50=0.43
[t1a][epoch 8/50] loss=0.7344  val_acc=0.8620  macroF1=0.5852  edit=36.69  segF1@50=0.35
[t1a][epoch 9/50] loss=0.6778  val_acc=0.8792  macroF1=0.6440  edit=47.68  segF1@50=0.47
[t1a][epoch 10/50] loss=0.5658  val_acc=0.9003  macroF1=0.7068  edit=38.41  segF1@50=0.38
[t1a][epoch 11/50] loss=0.5180  val_acc=0.9063  macroF1=0.7181  edit=36.07  segF1@50=0.37
[t1a][epoch 12/50] loss=0.4921  val_acc=0.9168  macroF1=0.7475  edit=34.08  segF1@50=0.38
[t1a][epoch 13/50] loss=0.5315  val_acc=0.9102  macroF1=0.7156  edit=42.72  segF1@50=0.41
[t1a][epoch 14/50] loss=0.6277  val_acc=0.9122  macroF1=0.7385  edit=41.07  segF1@50=0.37
[t1a][epoch 15/50] loss=0.5077  val_acc=0.9294  macroF1=0.7766  edit=36.46  segF1@50=0.39
[t1a][epoch 16/50] loss=0.4544  val_acc=0.9320  macroF1=0.7807  edit=38.73  segF1@50=0.41
[t1a][epoch 17/50] loss=0.4155  val_acc=0.9281  macroF1=0.7714  edit=34.16  segF1@50=0.37
[t1a][epoch 18/50] loss=0.3955  val_acc=0.9248  macroF1=0.7712  edit=36.61  segF1@50=0.38
[t1a][epoch 19/50] loss=0.3761  val_acc=0.9228  macroF1=0.7621  edit=33.80  segF1@50=0.36
[t1a][epoch 20/50] loss=0.3657  val_acc=0.9294  macroF1=0.7839  edit=39.57  segF1@50=0.45
[t1a][epoch 21/50] loss=0.3598  val_acc=0.9281  macroF1=0.7619  edit=36.11  segF1@50=0.39
[t1a][epoch 22/50] loss=0.3548  val_acc=0.9314  macroF1=0.7765  edit=36.08  segF1@50=0.39
[t1a][epoch 23/50] loss=0.3312  val_acc=0.9254  macroF1=0.7694  edit=35.62  segF1@50=0.37
[t1a][epoch 24/50] loss=0.3216  val_acc=0.9241  macroF1=0.7637  edit=39.11  segF1@50=0.41
[t1a][epoch 25/50] loss=0.3242  val_acc=0.9360  macroF1=0.7820  edit=33.45  segF1@50=0.37
[t1a][epoch 26/50] loss=0.3146  val_acc=0.9287  macroF1=0.7779  edit=37.78  segF1@50=0.43
[t1a][epoch 27/50] loss=0.2979  val_acc=0.9314  macroF1=0.7684  edit=37.62  segF1@50=0.43
[t1a][epoch 28/50] loss=0.2948  val_acc=0.9380  macroF1=0.7900  edit=37.62  segF1@50=0.44
[t1a][epoch 29/50] loss=0.2874  val_acc=0.9215  macroF1=0.7567  edit=37.78  segF1@50=0.42
[t1a][epoch 30/50] loss=0.3095  val_acc=0.9281  macroF1=0.7746  edit=33.21  segF1@50=0.37
[t1a][epoch 31/50] loss=0.3281  val_acc=0.9300  macroF1=0.7599  edit=38.01  segF1@50=0.41
[t1a][epoch 32/50] loss=0.2917  val_acc=0.9254  macroF1=0.7647  edit=33.99  segF1@50=0.36
[t1a][epoch 33/50] loss=0.2702  val_acc=0.9281  macroF1=0.7653  edit=32.92  segF1@50=0.37
[t1a][epoch 34/50] loss=0.2711  val_acc=0.9300  macroF1=0.7839  edit=36.71  segF1@50=0.39
[t1a][epoch 35/50] loss=0.2756  val_acc=0.9234  macroF1=0.7552  edit=36.08  segF1@50=0.38
[t1a][epoch 36/50] loss=0.2761  val_acc=0.9340  macroF1=0.7806  edit=35.27  segF1@50=0.41
[t1a][epoch 37/50] loss=0.2731  val_acc=0.9175  macroF1=0.7558  edit=32.63  segF1@50=0.34
[t1a][epoch 38/50] loss=0.2934  val_acc=0.9386  macroF1=0.7912  edit=38.70  segF1@50=0.42
[t1a][epoch 39/50] loss=0.2665  val_acc=0.9261  macroF1=0.7514  edit=31.19  segF1@50=0.35
[t1a][epoch 40/50] loss=0.2535  val_acc=0.9182  macroF1=0.7653  edit=32.63  segF1@50=0.35
[t1a][epoch 41/50] loss=0.2412  val_acc=0.9261  macroF1=0.7688  edit=36.07  segF1@50=0.38
[t1a][epoch 42/50] loss=0.2272  val_acc=0.9281  macroF1=0.7709  edit=35.07  segF1@50=0.38
[t1a][epoch 43/50] loss=0.2112  val_acc=0.9267  macroF1=0.7742  edit=35.27  segF1@50=0.38
[t1a][epoch 44/50] loss=0.2055  val_acc=0.9294  macroF1=0.7722  edit=33.99  segF1@50=0.37
[t1a][epoch 45/50] loss=0.2003  val_acc=0.9241  macroF1=0.7697  edit=35.39  segF1@50=0.38
[t1a][epoch 46/50] loss=0.1961  val_acc=0.9320  macroF1=0.7755  edit=32.91  segF1@50=0.37
[t1a][epoch 47/50] loss=0.1924  val_acc=0.9254  macroF1=0.7692  edit=33.42  segF1@50=0.35
[t1a][epoch 48/50] loss=0.1918  val_acc=0.9327  macroF1=0.7817  edit=32.22  segF1@50=0.34
[t1a][epoch 49/50] loss=0.1845  val_acc=0.9254  macroF1=0.7681  edit=33.65  segF1@50=0.37
[t1a][epoch 50/50] loss=0.1819  val_acc=0.9333  macroF1=0.7850  edit=33.67  segF1@50=0.35
[t1a] best @epoch 38: acc=0.9386 macroF1=0.7912
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_09_003_t1a_region_mask_09_seed456
