[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_oracle_mask_14_001_b2a_oracle_mask_14_seed42
[b2a][epoch 1/50] loss=3.7491  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8729  val_acc=0.3267  macroF1=0.1125  edit=9.37  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6905  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4534  val_acc=0.5670  macroF1=0.1967  edit=20.10  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4371  val_acc=0.5578  macroF1=0.1893  edit=30.86  segF1@50=0.22
[b2a][epoch 6/50] loss=2.0662  val_acc=0.6759  macroF1=0.2292  edit=31.33  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6415  val_acc=0.6284  macroF1=0.2167  edit=32.67  segF1@50=0.14
[b2a][epoch 8/50] loss=1.5268  val_acc=0.6469  macroF1=0.2224  edit=38.33  segF1@50=0.19
[b2a][epoch 9/50] loss=1.4185  val_acc=0.6772  macroF1=0.2293  edit=31.33  segF1@50=0.16
[b2a][epoch 10/50] loss=1.3575  val_acc=0.6416  macroF1=0.2851  edit=33.03  segF1@50=0.21
[b2a][epoch 11/50] loss=1.2286  val_acc=0.7723  macroF1=0.4042  edit=41.79  segF1@50=0.27
[b2a][epoch 12/50] loss=1.1360  val_acc=0.8838  macroF1=0.6234  edit=51.71  segF1@50=0.50
[b2a][epoch 13/50] loss=1.0690  val_acc=0.8013  macroF1=0.4812  edit=30.24  segF1@50=0.22
[b2a][epoch 14/50] loss=0.9874  val_acc=0.7974  macroF1=0.4205  edit=37.47  segF1@50=0.31
[b2a][epoch 15/50] loss=0.8994  val_acc=0.8733  macroF1=0.6210  edit=42.35  segF1@50=0.42
[b2a][epoch 16/50] loss=0.8037  val_acc=0.8924  macroF1=0.6461  edit=41.59  segF1@50=0.39
[b2a][epoch 17/50] loss=0.7540  val_acc=0.9056  macroF1=0.6719  edit=47.67  segF1@50=0.41
[b2a][epoch 18/50] loss=0.6758  val_acc=0.9122  macroF1=0.6811  edit=47.78  segF1@50=0.42
[b2a][epoch 19/50] loss=0.6444  val_acc=0.9208  macroF1=0.7249  edit=43.33  segF1@50=0.41
[b2a][epoch 20/50] loss=0.6841  val_acc=0.9228  macroF1=0.7418  edit=41.57  segF1@50=0.40
[b2a][epoch 21/50] loss=0.5951  val_acc=0.9030  macroF1=0.6480  edit=35.74  segF1@50=0.38
