[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_b2a_combined_001_t1a_b2a_combined_seed42
[t1a][epoch 1/50] loss=3.1329  val_acc=0.4152  macroF1=0.1151  edit=34.12  segF1@50=0.22
[t1a][epoch 2/50] loss=1.8058  val_acc=0.6818  macroF1=0.2292  edit=28.63  segF1@50=0.21
[t1a][epoch 3/50] loss=1.3180  val_acc=0.6726  macroF1=0.2302  edit=29.89  segF1@50=0.13
[t1a][epoch 4/50] loss=1.0966  val_acc=0.7868  macroF1=0.3794  edit=31.84  segF1@50=0.34
[t1a][epoch 5/50] loss=0.9219  val_acc=0.8238  macroF1=0.5032  edit=29.17  segF1@50=0.26
[t1a][epoch 6/50] loss=0.7916  val_acc=0.9030  macroF1=0.6906  edit=35.71  segF1@50=0.36
[t1a][epoch 7/50] loss=0.6883  val_acc=0.9168  macroF1=0.7287  edit=42.09  segF1@50=0.40
[t1a][epoch 8/50] loss=0.6150  val_acc=0.9254  macroF1=0.7473  edit=40.01  segF1@50=0.43
[t1a][epoch 9/50] loss=0.5623  val_acc=0.9327  macroF1=0.7641  edit=39.89  segF1@50=0.44
[t1a][epoch 10/50] loss=0.5805  val_acc=0.9366  macroF1=0.7879  edit=37.68  segF1@50=0.42
[t1a][epoch 11/50] loss=0.5572  val_acc=0.9254  macroF1=0.7534  edit=43.33  segF1@50=0.42
[t1a][epoch 12/50] loss=0.5025  val_acc=0.9380  macroF1=0.7750  edit=40.93  segF1@50=0.42
[t1a][epoch 13/50] loss=0.5327  val_acc=0.9307  macroF1=0.7667  edit=42.48  segF1@50=0.45
[t1a][epoch 14/50] loss=0.4892  val_acc=0.9399  macroF1=0.7928  edit=31.60  segF1@50=0.35
[t1a][epoch 15/50] loss=0.4442  val_acc=0.9393  macroF1=0.7795  edit=39.24  segF1@50=0.45
[t1a][epoch 16/50] loss=0.4071  val_acc=0.9353  macroF1=0.7820  edit=42.05  segF1@50=0.43
[t1a][epoch 17/50] loss=0.3853  val_acc=0.9432  macroF1=0.7905  edit=39.96  segF1@50=0.46
[t1a][epoch 18/50] loss=0.3699  val_acc=0.9386  macroF1=0.7840  edit=42.30  segF1@50=0.47
[t1a][epoch 19/50] loss=0.3574  val_acc=0.9439  macroF1=0.7963  edit=38.29  segF1@50=0.44
[t1a][epoch 20/50] loss=0.3929  val_acc=0.9366  macroF1=0.7723  edit=40.45  segF1@50=0.43
[t1a][epoch 21/50] loss=0.3577  val_acc=0.9419  macroF1=0.7869  edit=40.74  segF1@50=0.46
[t1a][epoch 22/50] loss=0.3308  val_acc=0.9419  macroF1=0.7875  edit=37.52  segF1@50=0.43
[t1a][epoch 23/50] loss=0.3188  val_acc=0.9406  macroF1=0.7874  edit=39.40  segF1@50=0.44
[t1a][epoch 24/50] loss=0.3204  val_acc=0.9452  macroF1=0.8028  edit=37.96  segF1@50=0.45
[t1a][epoch 25/50] loss=0.3449  val_acc=0.9399  macroF1=0.7826  edit=37.67  segF1@50=0.44
[t1a][epoch 26/50] loss=0.3401  val_acc=0.9366  macroF1=0.7860  edit=35.26  segF1@50=0.39
[t1a][epoch 27/50] loss=0.4095  val_acc=0.9446  macroF1=0.8050  edit=31.98  segF1@50=0.36
[t1a][epoch 28/50] loss=0.3123  val_acc=0.9432  macroF1=0.7949  edit=35.12  segF1@50=0.42
[t1a][epoch 29/50] loss=0.2829  val_acc=0.9347  macroF1=0.7921  edit=38.89  segF1@50=0.39
[t1a][epoch 30/50] loss=0.2710  val_acc=0.9439  macroF1=0.7923  edit=31.90  segF1@50=0.39
[t1a][epoch 31/50] loss=0.2609  val_acc=0.9373  macroF1=0.7928  edit=38.29  segF1@50=0.43
[t1a][epoch 32/50] loss=0.2546  val_acc=0.9446  macroF1=0.7950  edit=33.33  segF1@50=0.40
