[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_10_001_b2a_regiononly_mask_10_seed42
[b2a][epoch 1/50] loss=3.4997  val_acc=0.3399  macroF1=0.0763  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6469  val_acc=0.4211  macroF1=0.1179  edit=36.67  segF1@50=0.24
[b2a][epoch 3/50] loss=2.2544  val_acc=0.6799  macroF1=0.2307  edit=29.00  segF1@50=0.22
[b2a][epoch 4/50] loss=1.8958  val_acc=0.6766  macroF1=0.2300  edit=33.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.6590  val_acc=0.6818  macroF1=0.2314  edit=29.00  segF1@50=0.22
[b2a][epoch 6/50] loss=1.4869  val_acc=0.6785  macroF1=0.2305  edit=34.33  segF1@50=0.24
[b2a][epoch 7/50] loss=1.3545  val_acc=0.7281  macroF1=0.3124  edit=35.13  segF1@50=0.28
[b2a][epoch 8/50] loss=1.2507  val_acc=0.7776  macroF1=0.3576  edit=30.69  segF1@50=0.28
[b2a][epoch 9/50] loss=1.1525  val_acc=0.7663  macroF1=0.3554  edit=32.15  segF1@50=0.24
[b2a][epoch 10/50] loss=1.0853  val_acc=0.8106  macroF1=0.4410  edit=33.76  segF1@50=0.37
[b2a][epoch 11/50] loss=0.9814  val_acc=0.8363  macroF1=0.4915  edit=32.00  segF1@50=0.37
[b2a][epoch 12/50] loss=0.9577  val_acc=0.8343  macroF1=0.4795  edit=35.70  segF1@50=0.31
[b2a][epoch 13/50] loss=0.8342  val_acc=0.8502  macroF1=0.4936  edit=35.04  segF1@50=0.34
[b2a][epoch 14/50] loss=0.7870  val_acc=0.8568  macroF1=0.5269  edit=30.17  segF1@50=0.33
[b2a][epoch 15/50] loss=0.7691  val_acc=0.8871  macroF1=0.6686  edit=44.92  segF1@50=0.41
[b2a][epoch 16/50] loss=0.7342  val_acc=0.9069  macroF1=0.6719  edit=37.11  segF1@50=0.35
[b2a][epoch 17/50] loss=0.7092  val_acc=0.9234  macroF1=0.7537  edit=43.56  segF1@50=0.48
[b2a][epoch 18/50] loss=0.6563  val_acc=0.9188  macroF1=0.7191  edit=45.39  segF1@50=0.44
[b2a][epoch 19/50] loss=0.6328  val_acc=0.9261  macroF1=0.7764  edit=41.59  segF1@50=0.42
[b2a][epoch 20/50] loss=0.6435  val_acc=0.9221  macroF1=0.7320  edit=44.63  segF1@50=0.44
[b2a][epoch 21/50] loss=0.5874  val_acc=0.9254  macroF1=0.7608  edit=45.45  segF1@50=0.43
[b2a][epoch 22/50] loss=0.5739  val_acc=0.9327  macroF1=0.7864  edit=47.22  segF1@50=0.46
[b2a][epoch 23/50] loss=0.5662  val_acc=0.9208  macroF1=0.7407  edit=43.36  segF1@50=0.42
[b2a][epoch 24/50] loss=0.5686  val_acc=0.9307  macroF1=0.7887  edit=45.17  segF1@50=0.49
[b2a][epoch 25/50] loss=0.5396  val_acc=0.9333  macroF1=0.7857  edit=38.29  segF1@50=0.38
[b2a][epoch 26/50] loss=0.5190  val_acc=0.9241  macroF1=0.7665  edit=45.45  segF1@50=0.44
[b2a][epoch 27/50] loss=0.4946  val_acc=0.9307  macroF1=0.7818  edit=45.08  segF1@50=0.45
[b2a][epoch 28/50] loss=0.4805  val_acc=0.9314  macroF1=0.7821  edit=45.08  segF1@50=0.45
[b2a][epoch 29/50] loss=0.4769  val_acc=0.9241  macroF1=0.7819  edit=44.03  segF1@50=0.44
[b2a][epoch 30/50] loss=0.4760  val_acc=0.9380  macroF1=0.7896  edit=31.34  segF1@50=0.31
[b2a][epoch 31/50] loss=0.4562  val_acc=0.9234  macroF1=0.7769  edit=44.77  segF1@50=0.44
[b2a][epoch 32/50] loss=0.4607  val_acc=0.9366  macroF1=0.7952  edit=45.58  segF1@50=0.47
[b2a][epoch 33/50] loss=0.4452  val_acc=0.9307  macroF1=0.7919  edit=45.07  segF1@50=0.46
[b2a][epoch 34/50] loss=0.4398  val_acc=0.9248  macroF1=0.7702  edit=45.75  segF1@50=0.46
[b2a][epoch 35/50] loss=0.5009  val_acc=0.9340  macroF1=0.7796  edit=31.94  segF1@50=0.34
[b2a][epoch 36/50] loss=0.4696  val_acc=0.9320  macroF1=0.7860  edit=38.41  segF1@50=0.35
[b2a][epoch 37/50] loss=0.4399  val_acc=0.9327  macroF1=0.7958  edit=43.84  segF1@50=0.44
[b2a][epoch 38/50] loss=0.4177  val_acc=0.9373  macroF1=0.8009  edit=45.37  segF1@50=0.46
[b2a][epoch 39/50] loss=0.4080  val_acc=0.9274  macroF1=0.7827  edit=46.53  segF1@50=0.46
[b2a][epoch 40/50] loss=0.4004  val_acc=0.9327  macroF1=0.7977  edit=43.95  segF1@50=0.45
[b2a][epoch 41/50] loss=0.3939  val_acc=0.9347  macroF1=0.7973  edit=45.88  segF1@50=0.49
[b2a][epoch 42/50] loss=0.3955  val_acc=0.9287  macroF1=0.7910  edit=39.80  segF1@50=0.36
[b2a][epoch 43/50] loss=0.3889  val_acc=0.9241  macroF1=0.7671  edit=45.75  segF1@50=0.44
[b2a][epoch 44/50] loss=0.4032  val_acc=0.9294  macroF1=0.7904  edit=35.67  segF1@50=0.38
[b2a][epoch 45/50] loss=0.4135  val_acc=0.9320  macroF1=0.7881  edit=33.42  segF1@50=0.35
[b2a][epoch 46/50] loss=0.3927  val_acc=0.9195  macroF1=0.7829  edit=43.36  segF1@50=0.43
[b2a][epoch 47/50] loss=0.3709  val_acc=0.9406  macroF1=0.8032  edit=33.63  segF1@50=0.36
[b2a][epoch 48/50] loss=0.3602  val_acc=0.9327  macroF1=0.7964  edit=38.41  segF1@50=0.36
[b2a][epoch 49/50] loss=0.3506  val_acc=0.9281  macroF1=0.7879  edit=43.11  segF1@50=0.43
[b2a][epoch 50/50] loss=0.3409  val_acc=0.9353  macroF1=0.8001  edit=44.58  segF1@50=0.45
[b2a] best @epoch 47: acc=0.9406 macroF1=0.8032
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_10_001_b2a_regiononly_mask_10_seed42
