[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_09_001_b2a_regiononly_mask_09_seed42
[b2a][epoch 1/50] loss=3.5095  val_acc=0.3399  macroF1=0.0763  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6654  val_acc=0.4040  macroF1=0.1114  edit=29.48  segF1@50=0.02
[b2a][epoch 3/50] loss=2.2637  val_acc=0.6766  macroF1=0.2293  edit=34.33  segF1@50=0.22
[b2a][epoch 4/50] loss=1.8645  val_acc=0.6759  macroF1=0.2297  edit=29.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.6147  val_acc=0.6805  macroF1=0.2285  edit=31.19  segF1@50=0.24
[b2a][epoch 6/50] loss=1.4864  val_acc=0.6779  macroF1=0.2294  edit=28.08  segF1@50=0.28
[b2a][epoch 7/50] loss=1.3830  val_acc=0.6805  macroF1=0.2284  edit=41.00  segF1@50=0.35
[b2a][epoch 8/50] loss=1.2837  val_acc=0.6851  macroF1=0.2410  edit=30.91  segF1@50=0.20
[b2a][epoch 9/50] loss=1.1975  val_acc=0.6924  macroF1=0.2644  edit=34.52  segF1@50=0.22
[b2a][epoch 10/50] loss=1.1495  val_acc=0.8086  macroF1=0.4587  edit=39.18  segF1@50=0.26
[b2a][epoch 11/50] loss=1.0960  val_acc=0.7861  macroF1=0.4817  edit=40.25  segF1@50=0.38
[b2a][epoch 12/50] loss=1.0761  val_acc=0.7967  macroF1=0.4525  edit=42.42  segF1@50=0.32
[b2a][epoch 13/50] loss=0.9495  val_acc=0.8026  macroF1=0.4782  edit=36.35  segF1@50=0.33
[b2a][epoch 14/50] loss=0.8782  val_acc=0.8581  macroF1=0.5688  edit=39.99  segF1@50=0.36
[b2a][epoch 15/50] loss=0.8538  val_acc=0.9043  macroF1=0.6901  edit=37.15  segF1@50=0.41
[b2a][epoch 16/50] loss=0.8135  val_acc=0.8812  macroF1=0.6469  edit=36.67  segF1@50=0.37
[b2a][epoch 17/50] loss=0.7775  val_acc=0.9228  macroF1=0.7329  edit=46.58  segF1@50=0.50
[b2a][epoch 18/50] loss=0.7262  val_acc=0.9089  macroF1=0.6667  edit=38.61  segF1@50=0.45
[b2a][epoch 19/50] loss=0.6926  val_acc=0.9043  macroF1=0.7171  edit=38.96  segF1@50=0.38
[b2a][epoch 20/50] loss=0.6698  val_acc=0.9102  macroF1=0.6711  edit=45.87  segF1@50=0.52
[b2a][epoch 21/50] loss=0.6409  val_acc=0.8983  macroF1=0.7022  edit=32.16  segF1@50=0.31
[b2a][epoch 22/50] loss=0.6192  val_acc=0.9221  macroF1=0.7340  edit=47.95  segF1@50=0.52
[b2a][epoch 23/50] loss=0.5952  val_acc=0.9188  macroF1=0.7316  edit=36.00  segF1@50=0.38
[b2a][epoch 24/50] loss=0.5910  val_acc=0.9340  macroF1=0.7666  edit=49.94  segF1@50=0.54
[b2a][epoch 25/50] loss=0.5792  val_acc=0.9063  macroF1=0.6870  edit=39.13  segF1@50=0.44
[b2a][epoch 26/50] loss=0.5602  val_acc=0.9221  macroF1=0.7506  edit=38.42  segF1@50=0.42
[b2a][epoch 27/50] loss=0.5449  val_acc=0.9320  macroF1=0.7558  edit=49.60  segF1@50=0.54
[b2a][epoch 28/50] loss=0.5356  val_acc=0.9320  macroF1=0.7677  edit=46.37  segF1@50=0.52
[b2a][epoch 29/50] loss=0.5236  val_acc=0.9274  macroF1=0.7572  edit=47.36  segF1@50=0.51
[b2a][epoch 30/50] loss=0.5466  val_acc=0.9347  macroF1=0.7798  edit=40.28  segF1@50=0.47
[b2a][epoch 31/50] loss=0.5652  val_acc=0.9168  macroF1=0.6927  edit=35.24  segF1@50=0.41
[b2a][epoch 32/50] loss=0.6141  val_acc=0.9327  macroF1=0.7684  edit=47.22  segF1@50=0.52
[b2a][epoch 33/50] loss=0.5247  val_acc=0.9327  macroF1=0.7688  edit=42.20  segF1@50=0.48
[b2a][epoch 34/50] loss=0.4873  val_acc=0.9327  macroF1=0.7718  edit=52.49  segF1@50=0.57
[b2a][epoch 35/50] loss=0.4711  val_acc=0.9333  macroF1=0.7664  edit=48.61  segF1@50=0.52
[b2a][epoch 36/50] loss=0.4692  val_acc=0.9340  macroF1=0.7714  edit=41.05  segF1@50=0.48
[b2a][epoch 37/50] loss=0.4617  val_acc=0.9340  macroF1=0.7704  edit=45.37  segF1@50=0.50
[b2a][epoch 38/50] loss=0.4412  val_acc=0.9261  macroF1=0.7653  edit=39.71  segF1@50=0.44
[b2a][epoch 39/50] loss=0.4376  val_acc=0.9327  macroF1=0.7698  edit=41.75  segF1@50=0.47
[b2a][epoch 40/50] loss=0.4298  val_acc=0.9320  macroF1=0.7711  edit=44.74  segF1@50=0.50
[b2a][epoch 41/50] loss=0.4256  val_acc=0.9340  macroF1=0.7723  edit=52.04  segF1@50=0.56
[b2a][epoch 42/50] loss=0.4215  val_acc=0.9327  macroF1=0.7730  edit=41.31  segF1@50=0.45
[b2a][epoch 43/50] loss=0.4161  val_acc=0.9386  macroF1=0.7849  edit=46.19  segF1@50=0.52
[b2a][epoch 44/50] loss=0.4050  val_acc=0.9327  macroF1=0.7715  edit=43.89  segF1@50=0.47
[b2a][epoch 45/50] loss=0.3980  val_acc=0.9366  macroF1=0.7780  edit=47.52  segF1@50=0.53
[b2a][epoch 46/50] loss=0.3970  val_acc=0.9333  macroF1=0.7775  edit=44.93  segF1@50=0.47
[b2a][epoch 47/50] loss=0.3862  val_acc=0.9340  macroF1=0.7770  edit=41.67  segF1@50=0.47
[b2a][epoch 48/50] loss=0.3803  val_acc=0.9327  macroF1=0.7700  edit=42.50  segF1@50=0.49
[b2a][epoch 49/50] loss=0.3975  val_acc=0.9353  macroF1=0.7868  edit=37.74  segF1@50=0.41
[b2a][epoch 50/50] loss=0.4352  val_acc=0.9228  macroF1=0.7325  edit=34.55  segF1@50=0.40
[b2a] best @epoch 43: acc=0.9386 macroF1=0.7849
