[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_ro_oracle_scalpelnoise_p010_001_b2a_ro_oracle_scalpelnoise_p010_seed42
[b2a][epoch 1/50] loss=3.4925  val_acc=0.3399  macroF1=0.0762  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6122  val_acc=0.4376  macroF1=0.1275  edit=31.75  segF1@50=0.24
[b2a][epoch 3/50] loss=2.1809  val_acc=0.6792  macroF1=0.2299  edit=29.00  segF1@50=0.22
[b2a][epoch 4/50] loss=1.7728  val_acc=0.6812  macroF1=0.2306  edit=29.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.5276  val_acc=0.6832  macroF1=0.2308  edit=23.05  segF1@50=0.26
[b2a][epoch 6/50] loss=1.3834  val_acc=0.6865  macroF1=0.2305  edit=34.33  segF1@50=0.33
[b2a][epoch 7/50] loss=1.2675  val_acc=0.7426  macroF1=0.3281  edit=29.42  segF1@50=0.28
[b2a][epoch 8/50] loss=1.1703  val_acc=0.7842  macroF1=0.3759  edit=39.00  segF1@50=0.34
[b2a][epoch 9/50] loss=1.0723  val_acc=0.7822  macroF1=0.3838  edit=33.57  segF1@50=0.27
[b2a][epoch 10/50] loss=1.0063  val_acc=0.8356  macroF1=0.5124  edit=40.78  segF1@50=0.38
[b2a][epoch 11/50] loss=0.9418  val_acc=0.8574  macroF1=0.5806  edit=42.48  segF1@50=0.51
[b2a][epoch 12/50] loss=0.9030  val_acc=0.8422  macroF1=0.5231  edit=38.62  segF1@50=0.31
[b2a][epoch 13/50] loss=0.8045  val_acc=0.8653  macroF1=0.5642  edit=34.99  segF1@50=0.38
[b2a][epoch 14/50] loss=0.7489  val_acc=0.8693  macroF1=0.5848  edit=43.11  segF1@50=0.37
[b2a][epoch 15/50] loss=0.7279  val_acc=0.9479  macroF1=0.7952  edit=47.90  segF1@50=0.57
[b2a][epoch 16/50] loss=0.7104  val_acc=0.9294  macroF1=0.7460  edit=32.54  segF1@50=0.35
[b2a][epoch 17/50] loss=0.6947  val_acc=0.9505  macroF1=0.8066  edit=55.52  segF1@50=0.64
[b2a][epoch 18/50] loss=0.6381  val_acc=0.9505  macroF1=0.8011  edit=52.53  segF1@50=0.56
[b2a][epoch 19/50] loss=0.6112  val_acc=0.9498  macroF1=0.8051  edit=49.21  segF1@50=0.54
[b2a][epoch 20/50] loss=0.5901  val_acc=0.9545  macroF1=0.8109  edit=51.50  segF1@50=0.57
[b2a][epoch 21/50] loss=0.5658  val_acc=0.9525  macroF1=0.8097  edit=48.84  segF1@50=0.57
[b2a][epoch 22/50] loss=0.5521  val_acc=0.9597  macroF1=0.8228  edit=58.33  segF1@50=0.64
[b2a][epoch 23/50] loss=0.5405  val_acc=0.9531  macroF1=0.8111  edit=46.83  segF1@50=0.56
[b2a][epoch 24/50] loss=0.5395  val_acc=0.9611  macroF1=0.8271  edit=61.22  segF1@50=0.67
[b2a][epoch 25/50] loss=0.5266  val_acc=0.9545  macroF1=0.8141  edit=43.90  segF1@50=0.53
[b2a][epoch 26/50] loss=0.5063  val_acc=0.9564  macroF1=0.8207  edit=53.35  segF1@50=0.65
[b2a][epoch 27/50] loss=0.4908  val_acc=0.9624  macroF1=0.8272  edit=63.89  segF1@50=0.68
[b2a][epoch 28/50] loss=0.4785  val_acc=0.9591  macroF1=0.8269  edit=48.72  segF1@50=0.55
[b2a][epoch 29/50] loss=0.4743  val_acc=0.9630  macroF1=0.8289  edit=58.00  segF1@50=0.69
[b2a][epoch 30/50] loss=0.4835  val_acc=0.9597  macroF1=0.8271  edit=48.72  segF1@50=0.55
[b2a][epoch 31/50] loss=0.4541  val_acc=0.9624  macroF1=0.8262  edit=61.73  segF1@50=0.68
[b2a][epoch 32/50] loss=0.4687  val_acc=0.9617  macroF1=0.8291  edit=55.86  segF1@50=0.63
[b2a][epoch 33/50] loss=0.4408  val_acc=0.9644  macroF1=0.8332  edit=61.22  segF1@50=0.68
