[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_07_001_b2a_mask_dim_07_seed42
[b2a][epoch 1/50] loss=3.7493  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8751  val_acc=0.3261  macroF1=0.1123  edit=4.30  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6960  val_acc=0.3677  macroF1=0.0769  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4634  val_acc=0.5644  macroF1=0.1957  edit=18.86  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4670  val_acc=0.5267  macroF1=0.1755  edit=31.84  segF1@50=0.22
[b2a][epoch 6/50] loss=2.0940  val_acc=0.6733  macroF1=0.2287  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6683  val_acc=0.6211  macroF1=0.2143  edit=41.00  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5575  val_acc=0.6152  macroF1=0.2127  edit=39.67  segF1@50=0.21
[b2a][epoch 9/50] loss=1.4587  val_acc=0.6713  macroF1=0.2285  edit=32.67  segF1@50=0.16
[b2a][epoch 10/50] loss=1.4298  val_acc=0.6304  macroF1=0.2449  edit=39.94  segF1@50=0.18
[b2a][epoch 11/50] loss=1.2751  val_acc=0.6746  macroF1=0.2859  edit=37.17  segF1@50=0.24
[b2a][epoch 12/50] loss=1.2020  val_acc=0.7452  macroF1=0.4052  edit=32.27  segF1@50=0.24
[b2a][epoch 13/50] loss=1.1176  val_acc=0.7459  macroF1=0.4532  edit=25.42  segF1@50=0.13
[b2a][epoch 14/50] loss=1.0329  val_acc=0.7776  macroF1=0.4202  edit=30.60  segF1@50=0.21
[b2a][epoch 15/50] loss=0.9672  val_acc=0.8092  macroF1=0.4993  edit=34.91  segF1@50=0.26
[b2a][epoch 16/50] loss=0.8821  val_acc=0.7993  macroF1=0.4502  edit=26.78  segF1@50=0.19
[b2a][epoch 17/50] loss=0.8160  val_acc=0.8805  macroF1=0.6388  edit=39.43  segF1@50=0.36
[b2a][epoch 18/50] loss=0.7324  val_acc=0.9069  macroF1=0.6803  edit=43.67  segF1@50=0.39
[b2a][epoch 19/50] loss=0.7071  val_acc=0.7934  macroF1=0.6608  edit=28.50  segF1@50=0.28
[b2a][epoch 20/50] loss=0.7229  val_acc=0.8917  macroF1=0.6513  edit=34.51  segF1@50=0.33
[b2a][epoch 21/50] loss=0.6445  val_acc=0.8931  macroF1=0.6679  edit=36.24  segF1@50=0.33
[b2a][epoch 22/50] loss=0.5954  val_acc=0.8647  macroF1=0.6734  edit=32.10  segF1@50=0.23
[b2a][epoch 23/50] loss=0.5975  val_acc=0.8429  macroF1=0.6034  edit=28.57  segF1@50=0.25
[b2a][epoch 24/50] loss=0.5528  val_acc=0.9215  macroF1=0.7585  edit=42.73  segF1@50=0.40
[b2a][epoch 25/50] loss=0.5421  val_acc=0.9023  macroF1=0.6749  edit=35.99  segF1@50=0.34
[b2a][epoch 26/50] loss=0.5782  val_acc=0.8680  macroF1=0.6386  edit=39.84  segF1@50=0.34
[b2a][epoch 27/50] loss=0.6892  val_acc=0.8053  macroF1=0.5602  edit=35.72  segF1@50=0.29
[b2a][epoch 28/50] loss=0.6596  val_acc=0.8205  macroF1=0.6009  edit=21.61  segF1@50=0.16
[b2a][epoch 29/50] loss=0.5901  val_acc=0.8957  macroF1=0.7363  edit=40.68  segF1@50=0.42
[b2a][epoch 30/50] loss=0.4812  val_acc=0.8845  macroF1=0.6785  edit=38.89  segF1@50=0.37
[b2a][epoch 31/50] loss=0.4514  val_acc=0.9102  macroF1=0.7473  edit=38.56  segF1@50=0.39
[b2a][epoch 32/50] loss=0.4304  val_acc=0.9043  macroF1=0.7237  edit=38.62  segF1@50=0.40
[b2a][epoch 33/50] loss=0.4083  val_acc=0.9116  macroF1=0.7598  edit=36.36  segF1@50=0.35
[b2a][epoch 34/50] loss=0.4095  val_acc=0.9089  macroF1=0.7189  edit=36.61  segF1@50=0.39
[b2a][epoch 35/50] loss=0.4148  val_acc=0.8878  macroF1=0.7164  edit=31.14  segF1@50=0.32
[b2a][epoch 36/50] loss=0.3915  val_acc=0.9135  macroF1=0.7485  edit=38.69  segF1@50=0.39
[b2a][epoch 37/50] loss=0.3638  val_acc=0.9215  macroF1=0.7663  edit=36.69  segF1@50=0.39
[b2a][epoch 38/50] loss=0.3520  val_acc=0.9195  macroF1=0.7585  edit=34.85  segF1@50=0.37
[b2a][epoch 39/50] loss=0.3640  val_acc=0.9017  macroF1=0.7314  edit=34.44  segF1@50=0.36
[b2a][epoch 40/50] loss=0.3543  val_acc=0.9267  macroF1=0.7699  edit=39.37  segF1@50=0.42
[b2a][epoch 41/50] loss=0.3703  val_acc=0.9182  macroF1=0.7694  edit=38.69  segF1@50=0.38
[b2a][epoch 42/50] loss=0.3488  val_acc=0.9109  macroF1=0.7100  edit=37.61  segF1@50=0.33
[b2a][epoch 43/50] loss=0.3358  val_acc=0.9215  macroF1=0.7727  edit=36.99  segF1@50=0.36
[b2a][epoch 44/50] loss=0.3177  val_acc=0.9267  macroF1=0.7639  edit=40.61  segF1@50=0.42
[b2a][epoch 45/50] loss=0.3088  val_acc=0.9201  macroF1=0.7701  edit=34.85  segF1@50=0.37
[b2a][epoch 46/50] loss=0.2999  val_acc=0.9281  macroF1=0.7643  edit=40.89  segF1@50=0.42
[b2a][epoch 47/50] loss=0.2939  val_acc=0.9281  macroF1=0.7817  edit=36.33  segF1@50=0.38
[b2a][epoch 48/50] loss=0.2902  val_acc=0.9267  macroF1=0.7666  edit=33.61  segF1@50=0.36
[b2a][epoch 49/50] loss=0.2834  val_acc=0.9241  macroF1=0.7748  edit=44.79  segF1@50=0.46
[b2a][epoch 50/50] loss=0.2979  val_acc=0.9267  macroF1=0.7520  edit=40.80  segF1@50=0.41
[b2a] best @epoch 46: acc=0.9281 macroF1=0.7643
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_07_001_b2a_mask_dim_07_seed42
