[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_04_001_b2a_mask_dim_04_seed42
[b2a][epoch 1/50] loss=3.7490  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8760  val_acc=0.2944  macroF1=0.1014  edit=9.95  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6975  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4672  val_acc=0.5756  macroF1=0.1998  edit=20.10  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4688  val_acc=0.5129  macroF1=0.1697  edit=33.26  segF1@50=0.22
[b2a][epoch 6/50] loss=2.0966  val_acc=0.6746  macroF1=0.2291  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6685  val_acc=0.6205  macroF1=0.2141  edit=39.67  segF1@50=0.19
[b2a][epoch 8/50] loss=1.5567  val_acc=0.6139  macroF1=0.2123  edit=41.00  segF1@50=0.20
[b2a][epoch 9/50] loss=1.4543  val_acc=0.6706  macroF1=0.2286  edit=41.00  segF1@50=0.21
[b2a][epoch 10/50] loss=1.4282  val_acc=0.6495  macroF1=0.2787  edit=41.85  segF1@50=0.20
[b2a][epoch 11/50] loss=1.2724  val_acc=0.6851  macroF1=0.3110  edit=40.10  segF1@50=0.24
[b2a][epoch 12/50] loss=1.1982  val_acc=0.7617  macroF1=0.4581  edit=34.43  segF1@50=0.25
[b2a][epoch 13/50] loss=1.1110  val_acc=0.7248  macroF1=0.3975  edit=30.15  segF1@50=0.16
[b2a][epoch 14/50] loss=1.0449  val_acc=0.7696  macroF1=0.4145  edit=26.37  segF1@50=0.19
[b2a][epoch 15/50] loss=0.9980  val_acc=0.7914  macroF1=0.4504  edit=31.15  segF1@50=0.26
[b2a][epoch 16/50] loss=0.9195  val_acc=0.7795  macroF1=0.4543  edit=25.55  segF1@50=0.15
[b2a][epoch 17/50] loss=0.8279  val_acc=0.8581  macroF1=0.6318  edit=32.13  segF1@50=0.28
[b2a][epoch 18/50] loss=0.7436  val_acc=0.9050  macroF1=0.6759  edit=40.07  segF1@50=0.38
[b2a][epoch 19/50] loss=0.7071  val_acc=0.8238  macroF1=0.6697  edit=26.57  segF1@50=0.28
[b2a][epoch 20/50] loss=0.6698  val_acc=0.8891  macroF1=0.6422  edit=32.89  segF1@50=0.30
[b2a][epoch 21/50] loss=0.6064  val_acc=0.9116  macroF1=0.6987  edit=37.17  segF1@50=0.37
[b2a][epoch 22/50] loss=0.6012  val_acc=0.8937  macroF1=0.6997  edit=35.87  segF1@50=0.35
[b2a][epoch 23/50] loss=0.5802  val_acc=0.8911  macroF1=0.6794  edit=41.43  segF1@50=0.36
[b2a][epoch 24/50] loss=0.5236  val_acc=0.9083  macroF1=0.6955  edit=33.95  segF1@50=0.33
[b2a][epoch 25/50] loss=0.5010  val_acc=0.9036  macroF1=0.6881  edit=35.13  segF1@50=0.34
[b2a][epoch 26/50] loss=0.4881  val_acc=0.9215  macroF1=0.7504  edit=40.05  segF1@50=0.39
[b2a][epoch 27/50] loss=0.4653  val_acc=0.8950  macroF1=0.6967  edit=35.48  segF1@50=0.32
[b2a][epoch 28/50] loss=0.4514  val_acc=0.9168  macroF1=0.7599  edit=46.95  segF1@50=0.43
[b2a][epoch 29/50] loss=0.4270  val_acc=0.9135  macroF1=0.7178  edit=39.28  segF1@50=0.38
[b2a][epoch 30/50] loss=0.4341  val_acc=0.8792  macroF1=0.7321  edit=36.52  segF1@50=0.35
[b2a][epoch 31/50] loss=0.6129  val_acc=0.9195  macroF1=0.7065  edit=38.51  segF1@50=0.36
[b2a][epoch 32/50] loss=0.5261  val_acc=0.9155  macroF1=0.7339  edit=39.09  segF1@50=0.40
[b2a][epoch 33/50] loss=0.4657  val_acc=0.9201  macroF1=0.7556  edit=38.28  segF1@50=0.39
[b2a][epoch 34/50] loss=0.4548  val_acc=0.9109  macroF1=0.7297  edit=39.10  segF1@50=0.43
[b2a][epoch 35/50] loss=0.4304  val_acc=0.8931  macroF1=0.7329  edit=32.23  segF1@50=0.34
[b2a][epoch 36/50] loss=0.3823  val_acc=0.9063  macroF1=0.7322  edit=38.42  segF1@50=0.41
[b2a][epoch 37/50] loss=0.3637  val_acc=0.9241  macroF1=0.7748  edit=37.58  segF1@50=0.39
[b2a][epoch 38/50] loss=0.3441  val_acc=0.9234  macroF1=0.7623  edit=37.04  segF1@50=0.38
[b2a][epoch 39/50] loss=0.3386  val_acc=0.9241  macroF1=0.7683  edit=39.48  segF1@50=0.40
[b2a][epoch 40/50] loss=0.3304  val_acc=0.9274  macroF1=0.7727  edit=37.85  segF1@50=0.39
[b2a][epoch 41/50] loss=0.3510  val_acc=0.9254  macroF1=0.7793  edit=39.55  segF1@50=0.40
[b2a][epoch 42/50] loss=0.3591  val_acc=0.9182  macroF1=0.7168  edit=38.47  segF1@50=0.36
[b2a][epoch 43/50] loss=0.3409  val_acc=0.9300  macroF1=0.7892  edit=39.81  segF1@50=0.40
[b2a][epoch 44/50] loss=0.3174  val_acc=0.9281  macroF1=0.7619  edit=36.07  segF1@50=0.40
[b2a][epoch 45/50] loss=0.3238  val_acc=0.8983  macroF1=0.7408  edit=33.45  segF1@50=0.36
[b2a][epoch 46/50] loss=0.3098  val_acc=0.9254  macroF1=0.7637  edit=38.93  segF1@50=0.40
[b2a][epoch 47/50] loss=0.2974  val_acc=0.9261  macroF1=0.7785  edit=42.66  segF1@50=0.42
[b2a][epoch 48/50] loss=0.3456  val_acc=0.9162  macroF1=0.7142  edit=44.10  segF1@50=0.46
[b2a][epoch 49/50] loss=0.3505  val_acc=0.9201  macroF1=0.7762  edit=37.49  segF1@50=0.41
[b2a][epoch 50/50] loss=0.3364  val_acc=0.9069  macroF1=0.7168  edit=34.66  segF1@50=0.36
[b2a] best @epoch 43: acc=0.9300 macroF1=0.7892
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_04_001_b2a_mask_dim_04_seed42
