[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_combined_oracle_noise_p020_001_t1a_combined_oracle_noise_p020_seed42
[t1a][epoch 1/50] loss=3.1358  val_acc=0.4119  macroF1=0.1127  edit=34.12  segF1@50=0.22
[t1a][epoch 2/50] loss=1.8105  val_acc=0.6818  macroF1=0.2292  edit=28.78  segF1@50=0.21
[t1a][epoch 3/50] loss=1.3180  val_acc=0.6719  macroF1=0.2299  edit=29.89  segF1@50=0.13
[t1a][epoch 4/50] loss=1.0938  val_acc=0.7868  macroF1=0.3794  edit=31.84  segF1@50=0.34
[t1a][epoch 5/50] loss=0.9204  val_acc=0.8244  macroF1=0.5045  edit=29.05  segF1@50=0.26
[t1a][epoch 6/50] loss=0.7903  val_acc=0.9030  macroF1=0.6899  edit=35.10  segF1@50=0.35
[t1a][epoch 7/50] loss=0.6881  val_acc=0.9168  macroF1=0.7256  edit=40.68  segF1@50=0.39
[t1a][epoch 8/50] loss=0.6149  val_acc=0.9254  macroF1=0.7482  edit=41.42  segF1@50=0.44
[t1a][epoch 9/50] loss=0.5604  val_acc=0.9314  macroF1=0.7602  edit=39.15  segF1@50=0.43
[t1a][epoch 10/50] loss=0.5739  val_acc=0.9366  macroF1=0.7879  edit=37.17  segF1@50=0.42
[t1a][epoch 11/50] loss=0.5719  val_acc=0.9261  macroF1=0.7540  edit=43.33  segF1@50=0.42
[t1a][epoch 12/50] loss=0.5034  val_acc=0.9393  macroF1=0.7799  edit=40.93  segF1@50=0.42
[t1a][epoch 13/50] loss=0.5195  val_acc=0.9307  macroF1=0.7640  edit=45.00  segF1@50=0.47
[t1a][epoch 14/50] loss=0.4750  val_acc=0.9406  macroF1=0.7917  edit=33.56  segF1@50=0.37
[t1a][epoch 15/50] loss=0.4368  val_acc=0.9380  macroF1=0.7767  edit=40.50  segF1@50=0.46
[t1a][epoch 16/50] loss=0.4035  val_acc=0.9353  macroF1=0.7820  edit=41.38  segF1@50=0.42
[t1a][epoch 17/50] loss=0.3819  val_acc=0.9419  macroF1=0.7857  edit=41.07  segF1@50=0.47
[t1a][epoch 18/50] loss=0.3722  val_acc=0.9413  macroF1=0.7865  edit=43.69  segF1@50=0.49
[t1a][epoch 19/50] loss=0.3571  val_acc=0.9452  macroF1=0.7982  edit=39.03  segF1@50=0.45
[t1a][epoch 20/50] loss=0.3494  val_acc=0.9406  macroF1=0.7855  edit=38.36  segF1@50=0.41
[t1a][epoch 21/50] loss=0.3586  val_acc=0.9439  macroF1=0.7981  edit=33.85  segF1@50=0.40
[t1a][epoch 22/50] loss=0.3460  val_acc=0.9393  macroF1=0.7786  edit=38.84  segF1@50=0.45
[t1a][epoch 23/50] loss=0.3936  val_acc=0.9380  macroF1=0.7996  edit=36.18  segF1@50=0.39
[t1a][epoch 24/50] loss=0.3736  val_acc=0.9406  macroF1=0.7890  edit=39.35  segF1@50=0.45
[t1a][epoch 25/50] loss=0.3355  val_acc=0.9413  macroF1=0.7822  edit=35.82  segF1@50=0.43
[t1a][epoch 26/50] loss=0.3120  val_acc=0.9360  macroF1=0.7918  edit=46.48  segF1@50=0.52
[t1a][epoch 27/50] loss=0.3268  val_acc=0.9419  macroF1=0.7952  edit=33.77  segF1@50=0.37
[t1a][epoch 28/50] loss=0.2982  val_acc=0.9419  macroF1=0.7820  edit=32.48  segF1@50=0.40
[t1a][epoch 29/50] loss=0.2804  val_acc=0.9333  macroF1=0.7906  edit=40.03  segF1@50=0.40
[t1a][epoch 30/50] loss=0.2727  val_acc=0.9459  macroF1=0.7952  edit=31.08  segF1@50=0.38
[t1a][epoch 31/50] loss=0.2595  val_acc=0.9347  macroF1=0.7873  edit=37.16  segF1@50=0.41
[t1a][epoch 32/50] loss=0.2549  val_acc=0.9452  macroF1=0.7971  edit=33.85  segF1@50=0.40
[t1a][epoch 33/50] loss=0.2435  val_acc=0.9413  macroF1=0.7903  edit=36.83  segF1@50=0.43
[t1a][epoch 34/50] loss=0.2366  val_acc=0.9446  macroF1=0.7974  edit=36.83  segF1@50=0.43
[t1a][epoch 35/50] loss=0.2338  val_acc=0.9413  macroF1=0.7898  edit=33.66  segF1@50=0.40
[t1a][epoch 36/50] loss=0.2485  val_acc=0.9452  macroF1=0.8057  edit=33.24  segF1@50=0.41
[t1a][epoch 37/50] loss=0.2824  val_acc=0.9307  macroF1=0.7556  edit=38.79  segF1@50=0.39
[t1a][epoch 38/50] loss=0.3620  val_acc=0.9366  macroF1=0.7939  edit=20.07  segF1@50=0.23
[t1a][epoch 39/50] loss=0.3403  val_acc=0.9393  macroF1=0.7820  edit=31.15  segF1@50=0.35
[t1a][epoch 40/50] loss=0.3293  val_acc=0.9373  macroF1=0.7971  edit=40.12  segF1@50=0.49
[t1a][epoch 41/50] loss=0.3127  val_acc=0.9360  macroF1=0.7733  edit=31.94  segF1@50=0.35
[t1a][epoch 42/50] loss=0.3187  val_acc=0.9393  macroF1=0.7993  edit=33.33  segF1@50=0.36
