[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_oracle_mask_07_001_b2a_oracle_mask_07_seed42
[b2a][epoch 1/50] loss=3.7471  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8702  val_acc=0.3241  macroF1=0.1117  edit=9.16  segF1@50=0.00
[b2a][epoch 3/50] loss=2.6862  val_acc=0.3677  macroF1=0.0769  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4438  val_acc=0.5267  macroF1=0.1813  edit=18.86  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4360  val_acc=0.5716  macroF1=0.1924  edit=33.39  segF1@50=0.25
[b2a][epoch 6/50] loss=2.0561  val_acc=0.6752  macroF1=0.2298  edit=31.33  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6436  val_acc=0.6383  macroF1=0.2198  edit=41.00  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5351  val_acc=0.6535  macroF1=0.2245  edit=41.00  segF1@50=0.21
[b2a][epoch 9/50] loss=1.4359  val_acc=0.6785  macroF1=0.2292  edit=32.78  segF1@50=0.19
[b2a][epoch 10/50] loss=1.3865  val_acc=0.5927  macroF1=0.2675  edit=26.49  segF1@50=0.12
[b2a][epoch 11/50] loss=1.2794  val_acc=0.7637  macroF1=0.3897  edit=39.70  segF1@50=0.26
[b2a][epoch 12/50] loss=1.1715  val_acc=0.8568  macroF1=0.5861  edit=34.24  segF1@50=0.29
[b2a][epoch 13/50] loss=1.1053  val_acc=0.7696  macroF1=0.4228  edit=34.14  segF1@50=0.27
[b2a][epoch 14/50] loss=0.9915  val_acc=0.8251  macroF1=0.4615  edit=41.22  segF1@50=0.38
[b2a][epoch 15/50] loss=0.9300  val_acc=0.8211  macroF1=0.5575  edit=31.17  segF1@50=0.26
[b2a][epoch 16/50] loss=0.8404  val_acc=0.8343  macroF1=0.5352  edit=35.92  segF1@50=0.27
[b2a][epoch 17/50] loss=0.7896  val_acc=0.8917  macroF1=0.6543  edit=46.19  segF1@50=0.39
[b2a][epoch 18/50] loss=0.7147  val_acc=0.9089  macroF1=0.6824  edit=46.44  segF1@50=0.42
[b2a][epoch 19/50] loss=0.6695  val_acc=0.9175  macroF1=0.7314  edit=47.44  segF1@50=0.48
[b2a][epoch 20/50] loss=0.6683  val_acc=0.9254  macroF1=0.7147  edit=39.44  segF1@50=0.42
[b2a][epoch 21/50] loss=0.5836  val_acc=0.9043  macroF1=0.6792  edit=35.44  segF1@50=0.34
[b2a][epoch 22/50] loss=0.5479  val_acc=0.9023  macroF1=0.7388  edit=41.67  segF1@50=0.38
[b2a][epoch 23/50] loss=0.5275  val_acc=0.9182  macroF1=0.7198  edit=43.84  segF1@50=0.41
[b2a][epoch 24/50] loss=0.4910  val_acc=0.9406  macroF1=0.7870  edit=49.03  segF1@50=0.49
[b2a][epoch 25/50] loss=0.4788  val_acc=0.9406  macroF1=0.7892  edit=46.67  segF1@50=0.52
[b2a][epoch 26/50] loss=0.4545  val_acc=0.9333  macroF1=0.7610  edit=47.11  segF1@50=0.45
[b2a][epoch 27/50] loss=0.6573  val_acc=0.8733  macroF1=0.6282  edit=34.01  segF1@50=0.30
[b2a][epoch 28/50] loss=0.5366  val_acc=0.8601  macroF1=0.7085  edit=48.59  segF1@50=0.38
[b2a][epoch 29/50] loss=0.5422  val_acc=0.9076  macroF1=0.7202  edit=44.54  segF1@50=0.45
[b2a][epoch 30/50] loss=0.4809  val_acc=0.8858  macroF1=0.7077  edit=39.87  segF1@50=0.42
[b2a][epoch 31/50] loss=0.4363  val_acc=0.9366  macroF1=0.7851  edit=42.91  segF1@50=0.49
