[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_combined_region_top3_mask_003_t1a_combined_region_top3_mask_seed456
[t1a][epoch 1/50] loss=3.0512  val_acc=0.3677  macroF1=0.0769  edit=18.00  segF1@50=0.22
[t1a][epoch 2/50] loss=2.0968  val_acc=0.6403  macroF1=0.2204  edit=18.45  segF1@50=0.10
[t1a][epoch 3/50] loss=1.6457  val_acc=0.6733  macroF1=0.2285  edit=20.07  segF1@50=0.15
[t1a][epoch 4/50] loss=1.3659  val_acc=0.7122  macroF1=0.3312  edit=28.61  segF1@50=0.21
[t1a][epoch 5/50] loss=1.1469  val_acc=0.7789  macroF1=0.4494  edit=29.81  segF1@50=0.24
[t1a][epoch 6/50] loss=1.0307  val_acc=0.8271  macroF1=0.5062  edit=49.70  segF1@50=0.41
[t1a][epoch 7/50] loss=0.9724  val_acc=0.8211  macroF1=0.5241  edit=42.33  segF1@50=0.39
[t1a][epoch 8/50] loss=1.0357  val_acc=0.8073  macroF1=0.5126  edit=34.44  segF1@50=0.25
[t1a][epoch 9/50] loss=0.9976  val_acc=0.8277  macroF1=0.5209  edit=25.98  segF1@50=0.24
[t1a][epoch 10/50] loss=0.8104  val_acc=0.8495  macroF1=0.5408  edit=43.11  segF1@50=0.37
[t1a][epoch 11/50] loss=0.7098  val_acc=0.8554  macroF1=0.5412  edit=43.11  segF1@50=0.39
[t1a][epoch 12/50] loss=0.6369  val_acc=0.8403  macroF1=0.5416  edit=41.67  segF1@50=0.33
[t1a][epoch 13/50] loss=0.5958  val_acc=0.8607  macroF1=0.5530  edit=41.78  segF1@50=0.39
[t1a][epoch 14/50] loss=0.5839  val_acc=0.8607  macroF1=0.5915  edit=40.79  segF1@50=0.36
[t1a][epoch 15/50] loss=0.5481  val_acc=0.8653  macroF1=0.5739  edit=32.24  segF1@50=0.32
[t1a][epoch 16/50] loss=0.5487  val_acc=0.8785  macroF1=0.6485  edit=33.25  segF1@50=0.32
[t1a][epoch 17/50] loss=0.4930  val_acc=0.8700  macroF1=0.5974  edit=38.24  segF1@50=0.33
[t1a][epoch 18/50] loss=0.4714  val_acc=0.8871  macroF1=0.6754  edit=36.87  segF1@50=0.34
[t1a][epoch 19/50] loss=0.4626  val_acc=0.8752  macroF1=0.6117  edit=34.16  segF1@50=0.30
[t1a][epoch 20/50] loss=0.4721  val_acc=0.8911  macroF1=0.6916  edit=35.70  segF1@50=0.35
[t1a][epoch 21/50] loss=0.4246  val_acc=0.8917  macroF1=0.6503  edit=31.90  segF1@50=0.31
[t1a][epoch 22/50] loss=0.4042  val_acc=0.9043  macroF1=0.6986  edit=33.14  segF1@50=0.31
[t1a][epoch 23/50] loss=0.3764  val_acc=0.8944  macroF1=0.6803  edit=32.40  segF1@50=0.27
[t1a][epoch 24/50] loss=0.3639  val_acc=0.9083  macroF1=0.7167  edit=34.41  segF1@50=0.34
[t1a][epoch 25/50] loss=0.3680  val_acc=0.8983  macroF1=0.6985  edit=34.62  segF1@50=0.35
[t1a][epoch 26/50] loss=0.3515  val_acc=0.8990  macroF1=0.6881  edit=36.84  segF1@50=0.33
[t1a][epoch 27/50] loss=0.3323  val_acc=0.9076  macroF1=0.7265  edit=34.62  segF1@50=0.37
[t1a][epoch 28/50] loss=0.3272  val_acc=0.9043  macroF1=0.7123  edit=39.28  segF1@50=0.35
[t1a][epoch 29/50] loss=0.3260  val_acc=0.9089  macroF1=0.7258  edit=37.17  segF1@50=0.36
[t1a][epoch 30/50] loss=0.3223  val_acc=0.9135  macroF1=0.7353  edit=35.88  segF1@50=0.36
[t1a][epoch 31/50] loss=0.3171  val_acc=0.8931  macroF1=0.6533  edit=33.80  segF1@50=0.29
[t1a][epoch 32/50] loss=0.3093  val_acc=0.9076  macroF1=0.7213  edit=35.65  segF1@50=0.34
[t1a][epoch 33/50] loss=0.3031  val_acc=0.9030  macroF1=0.7010  edit=34.83  segF1@50=0.31
[t1a][epoch 34/50] loss=0.2982  val_acc=0.9083  macroF1=0.7323  edit=30.80  segF1@50=0.32
[t1a][epoch 35/50] loss=0.3646  val_acc=0.9089  macroF1=0.7000  edit=31.99  segF1@50=0.30
[t1a][epoch 36/50] loss=0.3886  val_acc=0.9043  macroF1=0.7322  edit=33.51  segF1@50=0.34
[t1a][epoch 37/50] loss=0.3184  val_acc=0.9089  macroF1=0.7170  edit=33.24  segF1@50=0.31
[t1a][epoch 38/50] loss=0.3094  val_acc=0.9076  macroF1=0.7219  edit=32.13  segF1@50=0.31
[t1a][epoch 39/50] loss=0.2933  val_acc=0.9142  macroF1=0.7306  edit=37.25  segF1@50=0.34
[t1a][epoch 40/50] loss=0.2713  val_acc=0.9175  macroF1=0.7473  edit=36.96  segF1@50=0.35
[t1a][epoch 41/50] loss=0.2653  val_acc=0.9116  macroF1=0.7353  edit=34.72  segF1@50=0.34
[t1a][epoch 42/50] loss=0.2541  val_acc=0.9122  macroF1=0.7429  edit=37.49  segF1@50=0.36
[t1a][epoch 43/50] loss=0.2416  val_acc=0.9168  macroF1=0.7493  edit=35.56  segF1@50=0.37
[t1a][epoch 44/50] loss=0.2376  val_acc=0.9129  macroF1=0.7261  edit=37.18  segF1@50=0.36
