[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_deep_3s10l96f_001_t1a_deep_3s10l96f_seed42
[t1a][epoch 1/50] loss=4.6696  val_acc=0.5611  macroF1=0.1934  edit=2.67  segF1@50=0.02
[t1a][epoch 2/50] loss=3.0449  val_acc=0.4607  macroF1=0.1478  edit=20.00  segF1@50=0.00
[t1a][epoch 3/50] loss=2.4622  val_acc=0.6713  macroF1=0.2286  edit=35.67  segF1@50=0.24
[t1a][epoch 4/50] loss=1.9169  val_acc=0.6759  macroF1=0.2304  edit=32.78  segF1@50=0.17
[t1a][epoch 5/50] loss=1.5331  val_acc=0.6944  macroF1=0.2583  edit=39.25  segF1@50=0.23
[t1a][epoch 6/50] loss=1.3190  val_acc=0.8304  macroF1=0.4810  edit=36.20  segF1@50=0.33
[t1a][epoch 7/50] loss=1.1200  val_acc=0.8568  macroF1=0.5301  edit=41.54  segF1@50=0.41
[t1a][epoch 8/50] loss=0.9333  val_acc=0.9135  macroF1=0.6829  edit=40.00  segF1@50=0.42
[t1a][epoch 9/50] loss=0.8189  val_acc=0.9188  macroF1=0.7152  edit=39.11  segF1@50=0.38
[t1a][epoch 10/50] loss=0.7465  val_acc=0.9294  macroF1=0.7634  edit=34.57  segF1@50=0.37
[t1a][epoch 11/50] loss=0.7733  val_acc=0.9228  macroF1=0.7547  edit=43.85  segF1@50=0.45
[t1a][epoch 12/50] loss=0.7364  val_acc=0.9327  macroF1=0.7586  edit=37.25  segF1@50=0.39
[t1a][epoch 13/50] loss=0.7641  val_acc=0.9294  macroF1=0.7532  edit=33.76  segF1@50=0.36
[t1a][epoch 14/50] loss=0.6608  val_acc=0.9327  macroF1=0.7814  edit=36.39  segF1@50=0.37
[t1a][epoch 15/50] loss=0.5874  val_acc=0.9413  macroF1=0.7827  edit=33.02  segF1@50=0.35
[t1a][epoch 16/50] loss=0.5218  val_acc=0.9406  macroF1=0.7890  edit=37.57  segF1@50=0.43
[t1a][epoch 17/50] loss=0.4875  val_acc=0.9380  macroF1=0.7810  edit=38.54  segF1@50=0.40
[t1a][epoch 18/50] loss=0.5172  val_acc=0.9347  macroF1=0.7721  edit=31.31  segF1@50=0.35
[t1a][epoch 19/50] loss=0.5791  val_acc=0.9373  macroF1=0.7914  edit=38.84  segF1@50=0.40
[t1a][epoch 20/50] loss=0.4956  val_acc=0.9373  macroF1=0.7900  edit=38.83  segF1@50=0.43
[t1a][epoch 21/50] loss=0.4546  val_acc=0.9419  macroF1=0.7971  edit=29.07  segF1@50=0.34
[t1a][epoch 22/50] loss=0.4168  val_acc=0.9426  macroF1=0.7985  edit=36.22  segF1@50=0.42
[t1a][epoch 23/50] loss=0.4094  val_acc=0.9386  macroF1=0.8012  edit=37.39  segF1@50=0.38
[t1a][epoch 24/50] loss=0.4416  val_acc=0.9373  macroF1=0.7805  edit=34.95  segF1@50=0.41
[t1a][epoch 25/50] loss=0.4155  val_acc=0.9413  macroF1=0.7936  edit=30.09  segF1@50=0.35
[t1a][epoch 26/50] loss=0.4125  val_acc=0.9406  macroF1=0.8030  edit=33.67  segF1@50=0.35
[t1a][epoch 27/50] loss=0.4337  val_acc=0.9360  macroF1=0.7827  edit=30.31  segF1@50=0.32
[t1a][epoch 28/50] loss=0.3625  val_acc=0.9446  macroF1=0.8068  edit=29.16  segF1@50=0.34
[t1a][epoch 29/50] loss=0.3476  val_acc=0.9419  macroF1=0.8047  edit=33.97  segF1@50=0.37
[t1a][epoch 30/50] loss=0.3229  val_acc=0.9380  macroF1=0.7940  edit=27.50  segF1@50=0.32
[t1a][epoch 31/50] loss=0.3114  val_acc=0.9452  macroF1=0.8073  edit=34.40  segF1@50=0.40
[t1a][epoch 32/50] loss=0.2951  val_acc=0.9432  macroF1=0.8003  edit=34.40  segF1@50=0.40
[t1a][epoch 33/50] loss=0.2902  val_acc=0.9446  macroF1=0.8066  edit=29.53  segF1@50=0.36
[t1a][epoch 34/50] loss=0.2789  val_acc=0.9432  macroF1=0.8007  edit=28.13  segF1@50=0.33
[t1a][epoch 35/50] loss=0.3131  val_acc=0.9419  macroF1=0.7933  edit=30.74  segF1@50=0.36
[t1a][epoch 36/50] loss=0.3413  val_acc=0.9386  macroF1=0.7892  edit=27.82  segF1@50=0.33
[t1a][epoch 37/50] loss=0.2998  val_acc=0.9366  macroF1=0.7981  edit=34.54  segF1@50=0.38
[t1a][epoch 38/50] loss=0.2738  val_acc=0.9439  macroF1=0.8032  edit=28.80  segF1@50=0.36
[t1a][epoch 39/50] loss=0.2693  val_acc=0.9446  macroF1=0.8051  edit=28.56  segF1@50=0.34
[t1a][epoch 40/50] loss=0.2657  val_acc=0.9399  macroF1=0.7955  edit=27.50  segF1@50=0.34
[t1a][epoch 41/50] loss=0.2574  val_acc=0.9419  macroF1=0.8022  edit=31.90  segF1@50=0.35
[t1a][epoch 42/50] loss=0.2453  val_acc=0.9419  macroF1=0.7969  edit=30.37  segF1@50=0.34
[t1a][epoch 43/50] loss=0.2431  val_acc=0.9432  macroF1=0.8060  edit=33.23  segF1@50=0.37
[t1a][epoch 44/50] loss=0.2396  val_acc=0.9413  macroF1=0.7956  edit=29.54  segF1@50=0.36
[t1a][epoch 45/50] loss=0.2544  val_acc=0.9419  macroF1=0.8016  edit=28.80  segF1@50=0.36
[t1a][epoch 46/50] loss=0.2478  val_acc=0.9353  macroF1=0.7915  edit=27.25  segF1@50=0.29
[t1a][epoch 47/50] loss=0.2929  val_acc=0.9353  macroF1=0.7767  edit=29.91  segF1@50=0.36
[t1a][epoch 48/50] loss=0.2912  val_acc=0.9182  macroF1=0.7673  edit=42.05  segF1@50=0.42
[t1a][epoch 49/50] loss=0.3720  val_acc=0.9419  macroF1=0.8012  edit=27.18  segF1@50=0.34
[t1a][epoch 50/50] loss=0.3105  val_acc=0.9399  macroF1=0.7966  edit=26.43  segF1@50=0.28
[t1a] best @epoch 31: acc=0.9452 macroF1=0.8073
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_deep_3s10l96f_001_t1a_deep_3s10l96f_seed42
