[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det123_p42_frozen_001_t1a_3seed_det123_p42_frozen_seed42
[t1a][epoch 1/50] loss=2.8994  val_acc=0.6337  macroF1=0.2214  edit=26.43  segF1@50=0.26
[t1a][epoch 2/50] loss=1.6532  val_acc=0.6759  macroF1=0.2269  edit=23.47  segF1@50=0.19
[t1a][epoch 3/50] loss=1.2508  val_acc=0.6706  macroF1=0.2256  edit=26.02  segF1@50=0.21
[t1a][epoch 4/50] loss=1.0756  val_acc=0.6884  macroF1=0.2560  edit=31.44  segF1@50=0.22
[t1a][epoch 5/50] loss=0.9152  val_acc=0.8469  macroF1=0.5635  edit=38.47  segF1@50=0.32
[t1a][epoch 6/50] loss=0.7754  val_acc=0.9314  macroF1=0.7738  edit=43.70  segF1@50=0.45
[t1a][epoch 7/50] loss=0.6499  val_acc=0.9419  macroF1=0.7991  edit=43.07  segF1@50=0.46
[t1a][epoch 8/50] loss=0.5712  val_acc=0.9426  macroF1=0.7977  edit=57.58  segF1@50=0.57
[t1a][epoch 9/50] loss=0.6055  val_acc=0.9452  macroF1=0.8080  edit=46.03  segF1@50=0.47
[t1a][epoch 10/50] loss=0.5952  val_acc=0.9439  macroF1=0.8065  edit=44.29  segF1@50=0.41
[t1a][epoch 11/50] loss=0.4978  val_acc=0.9465  macroF1=0.8092  edit=44.29  segF1@50=0.46
[t1a][epoch 12/50] loss=0.4496  val_acc=0.9538  macroF1=0.8177  edit=40.74  segF1@50=0.45
[t1a][epoch 13/50] loss=0.4228  val_acc=0.9485  macroF1=0.8139  edit=47.97  segF1@50=0.47
[t1a][epoch 14/50] loss=0.4026  val_acc=0.9518  macroF1=0.8147  edit=41.51  segF1@50=0.45
[t1a][epoch 15/50] loss=0.3985  val_acc=0.9512  macroF1=0.8205  edit=44.51  segF1@50=0.48
[t1a][epoch 16/50] loss=0.4071  val_acc=0.9492  macroF1=0.8093  edit=43.06  segF1@50=0.43
[t1a][epoch 17/50] loss=0.4171  val_acc=0.9571  macroF1=0.8275  edit=44.51  segF1@50=0.49
[t1a][epoch 18/50] loss=0.3636  val_acc=0.9551  macroF1=0.8204  edit=42.56  segF1@50=0.47
[t1a][epoch 19/50] loss=0.3450  val_acc=0.9531  macroF1=0.8205  edit=38.96  segF1@50=0.41
[t1a][epoch 20/50] loss=0.3394  val_acc=0.9531  macroF1=0.8177  edit=45.37  segF1@50=0.49
[t1a][epoch 21/50] loss=0.3250  val_acc=0.9531  macroF1=0.8211  edit=40.06  segF1@50=0.40
[t1a][epoch 22/50] loss=0.3048  val_acc=0.9531  macroF1=0.8203  edit=36.02  segF1@50=0.39
[t1a][epoch 23/50] loss=0.3088  val_acc=0.9518  macroF1=0.8225  edit=43.58  segF1@50=0.47
[t1a][epoch 24/50] loss=0.3086  val_acc=0.9531  macroF1=0.8223  edit=42.00  segF1@50=0.46
[t1a][epoch 25/50] loss=0.3085  val_acc=0.9564  macroF1=0.8242  edit=36.39  segF1@50=0.42
[t1a][epoch 26/50] loss=0.3559  val_acc=0.9432  macroF1=0.7963  edit=40.96  segF1@50=0.43
[t1a][epoch 27/50] loss=0.4020  val_acc=0.9525  macroF1=0.8215  edit=37.07  segF1@50=0.41
[t1a][epoch 28/50] loss=0.3214  val_acc=0.9558  macroF1=0.8254  edit=36.83  segF1@50=0.38
[t1a][epoch 29/50] loss=0.2974  val_acc=0.9505  macroF1=0.8154  edit=40.96  segF1@50=0.44
[t1a][epoch 30/50] loss=0.2933  val_acc=0.9531  macroF1=0.8236  edit=37.30  segF1@50=0.45
[t1a][epoch 31/50] loss=0.2827  val_acc=0.9518  macroF1=0.8198  edit=37.07  segF1@50=0.42
[t1a][epoch 32/50] loss=0.2579  val_acc=0.9525  macroF1=0.8190  edit=38.96  segF1@50=0.41
[t1a][epoch 33/50] loss=0.2407  val_acc=0.9512  macroF1=0.8184  edit=39.79  segF1@50=0.41
[t1a][epoch 34/50] loss=0.2338  val_acc=0.9518  macroF1=0.8170  edit=37.30  segF1@50=0.40
[t1a][epoch 35/50] loss=0.2261  val_acc=0.9512  macroF1=0.8178  edit=37.97  segF1@50=0.40
[t1a][epoch 36/50] loss=0.2213  val_acc=0.9512  macroF1=0.8173  edit=37.97  segF1@50=0.40
[t1a][epoch 37/50] loss=0.2195  val_acc=0.9498  macroF1=0.8161  edit=37.51  segF1@50=0.40
[t1a][epoch 38/50] loss=0.2165  val_acc=0.9512  macroF1=0.8174  edit=37.07  segF1@50=0.39
[t1a][epoch 39/50] loss=0.2082  val_acc=0.9505  macroF1=0.8147  edit=37.97  segF1@50=0.40
[t1a][epoch 40/50] loss=0.2078  val_acc=0.9498  macroF1=0.8190  edit=37.89  segF1@50=0.39
[t1a][epoch 41/50] loss=0.2061  val_acc=0.9512  macroF1=0.8176  edit=37.07  segF1@50=0.39
[t1a][epoch 42/50] loss=0.2041  val_acc=0.9505  macroF1=0.8175  edit=37.97  segF1@50=0.39
[t1a][epoch 43/50] loss=0.1934  val_acc=0.9505  macroF1=0.8161  edit=38.96  segF1@50=0.41
[t1a][epoch 44/50] loss=0.1979  val_acc=0.9505  macroF1=0.8169  edit=35.58  segF1@50=0.38
[t1a][epoch 45/50] loss=0.1979  val_acc=0.9498  macroF1=0.8159  edit=41.41  segF1@50=0.42
[t1a][epoch 46/50] loss=0.1958  val_acc=0.9472  macroF1=0.8120  edit=36.63  segF1@50=0.38
[t1a][epoch 47/50] loss=0.2247  val_acc=0.9406  macroF1=0.7991  edit=31.63  segF1@50=0.38
[t1a][epoch 48/50] loss=0.2579  val_acc=0.9327  macroF1=0.7789  edit=39.24  segF1@50=0.37
[t1a][epoch 49/50] loss=0.2494  val_acc=0.9518  macroF1=0.8193  edit=34.53  segF1@50=0.41
[t1a][epoch 50/50] loss=0.2280  val_acc=0.9531  macroF1=0.8176  edit=31.13  segF1@50=0.35
[t1a] best @epoch 17: acc=0.9571 macroF1=0.8275
[t1a] evidence written -> /home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det123_p42_frozen_001_t1a_3seed_det123_p42_frozen_seed42
