[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_09_001_b2a_mask_dim_09_seed42
[b2a][epoch 1/50] loss=3.7495  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8759  val_acc=0.3030  macroF1=0.1046  edit=9.52  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6983  val_acc=0.3677  macroF1=0.0769  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4667  val_acc=0.5663  macroF1=0.1965  edit=18.86  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4700  val_acc=0.5300  macroF1=0.1766  edit=33.14  segF1@50=0.22
[b2a][epoch 6/50] loss=2.1014  val_acc=0.6733  macroF1=0.2287  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6762  val_acc=0.6205  macroF1=0.2141  edit=39.67  segF1@50=0.19
[b2a][epoch 8/50] loss=1.5713  val_acc=0.6185  macroF1=0.2137  edit=41.00  segF1@50=0.20
[b2a][epoch 9/50] loss=1.4781  val_acc=0.6713  macroF1=0.2287  edit=41.00  segF1@50=0.21
[b2a][epoch 10/50] loss=1.4651  val_acc=0.6429  macroF1=0.2759  edit=45.62  segF1@50=0.19
[b2a][epoch 11/50] loss=1.3163  val_acc=0.6766  macroF1=0.2894  edit=41.00  segF1@50=0.21
[b2a][epoch 12/50] loss=1.2239  val_acc=0.7723  macroF1=0.4611  edit=38.35  segF1@50=0.30
[b2a][epoch 13/50] loss=1.1544  val_acc=0.7116  macroF1=0.4168  edit=29.27  segF1@50=0.15
[b2a][epoch 14/50] loss=1.0873  val_acc=0.7611  macroF1=0.4101  edit=30.45  segF1@50=0.20
[b2a][epoch 15/50] loss=1.0390  val_acc=0.7188  macroF1=0.3232  edit=33.78  segF1@50=0.28
[b2a][epoch 16/50] loss=1.0111  val_acc=0.7703  macroF1=0.4148  edit=25.26  segF1@50=0.19
[b2a][epoch 17/50] loss=0.8966  val_acc=0.8832  macroF1=0.6415  edit=41.39  segF1@50=0.38
[b2a][epoch 18/50] loss=0.7901  val_acc=0.8884  macroF1=0.6435  edit=44.07  segF1@50=0.41
[b2a][epoch 19/50] loss=0.7604  val_acc=0.8363  macroF1=0.6542  edit=29.41  segF1@50=0.25
[b2a][epoch 20/50] loss=0.8357  val_acc=0.8482  macroF1=0.5967  edit=39.63  segF1@50=0.32
[b2a][epoch 21/50] loss=0.7253  val_acc=0.8449  macroF1=0.6046  edit=36.51  segF1@50=0.28
[b2a][epoch 22/50] loss=0.6602  val_acc=0.8337  macroF1=0.6224  edit=30.93  segF1@50=0.25
[b2a][epoch 23/50] loss=0.6448  val_acc=0.8198  macroF1=0.5579  edit=41.43  segF1@50=0.34
[b2a][epoch 24/50] loss=0.6103  val_acc=0.9083  macroF1=0.7295  edit=40.28  segF1@50=0.35
[b2a][epoch 25/50] loss=0.5704  val_acc=0.8805  macroF1=0.6556  edit=34.91  segF1@50=0.36
[b2a][epoch 26/50] loss=0.5774  val_acc=0.8370  macroF1=0.5893  edit=41.11  segF1@50=0.37
[b2a][epoch 27/50] loss=0.5771  val_acc=0.8429  macroF1=0.6346  edit=32.66  segF1@50=0.31
[b2a][epoch 28/50] loss=0.4966  val_acc=0.8904  macroF1=0.6634  edit=29.44  segF1@50=0.30
[b2a][epoch 29/50] loss=0.4709  val_acc=0.8917  macroF1=0.7166  edit=41.11  segF1@50=0.42
[b2a][epoch 30/50] loss=0.4403  val_acc=0.8964  macroF1=0.7033  edit=33.73  segF1@50=0.34
[b2a][epoch 31/50] loss=0.4275  val_acc=0.9036  macroF1=0.7223  edit=42.81  segF1@50=0.42
[b2a][epoch 32/50] loss=0.4179  val_acc=0.9142  macroF1=0.7388  edit=37.31  segF1@50=0.38
[b2a][epoch 33/50] loss=0.4055  val_acc=0.9149  macroF1=0.7560  edit=43.24  segF1@50=0.42
[b2a][epoch 34/50] loss=0.4301  val_acc=0.9188  macroF1=0.7241  edit=39.21  segF1@50=0.38
[b2a][epoch 35/50] loss=0.4441  val_acc=0.8587  macroF1=0.6760  edit=36.19  segF1@50=0.37
[b2a][epoch 36/50] loss=0.3853  val_acc=0.9063  macroF1=0.7423  edit=34.59  segF1@50=0.35
