[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_06_003_b2a_regiononly_mask_06_seed456
[b2a][epoch 1/50] loss=3.5547  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 2/50] loss=2.9171  val_acc=0.4376  macroF1=0.1387  edit=30.56  segF1@50=0.17
[b2a][epoch 3/50] loss=2.6082  val_acc=0.5901  macroF1=0.1951  edit=21.32  segF1@50=0.13
[b2a][epoch 4/50] loss=2.3793  val_acc=0.6020  macroF1=0.2043  edit=38.33  segF1@50=0.26
[b2a][epoch 5/50] loss=2.0371  val_acc=0.6541  macroF1=0.2246  edit=32.00  segF1@50=0.31
[b2a][epoch 6/50] loss=1.8082  val_acc=0.5974  macroF1=0.2058  edit=32.67  segF1@50=0.15
[b2a][epoch 7/50] loss=1.7845  val_acc=0.6700  macroF1=0.2298  edit=31.67  segF1@50=0.36
[b2a][epoch 8/50] loss=1.4446  val_acc=0.6752  macroF1=0.2271  edit=38.33  segF1@50=0.37
[b2a][epoch 9/50] loss=1.3598  val_acc=0.6482  macroF1=0.2358  edit=41.97  segF1@50=0.18
[b2a][epoch 10/50] loss=1.2630  val_acc=0.7855  macroF1=0.3799  edit=45.33  segF1@50=0.43
[b2a][epoch 11/50] loss=1.1117  val_acc=0.7881  macroF1=0.3953  edit=38.17  segF1@50=0.33
[b2a][epoch 12/50] loss=1.0165  val_acc=0.8290  macroF1=0.4802  edit=39.66  segF1@50=0.28
[b2a][epoch 13/50] loss=0.9362  val_acc=0.8449  macroF1=0.4919  edit=34.33  segF1@50=0.31
[b2a][epoch 14/50] loss=0.8672  val_acc=0.8528  macroF1=0.5152  edit=39.44  segF1@50=0.35
[b2a][epoch 15/50] loss=0.8128  val_acc=0.8264  macroF1=0.4950  edit=35.11  segF1@50=0.27
[b2a][epoch 16/50] loss=0.8030  val_acc=0.9122  macroF1=0.7225  edit=42.76  segF1@50=0.40
[b2a][epoch 17/50] loss=0.7546  val_acc=0.8917  macroF1=0.6973  edit=41.41  segF1@50=0.36
[b2a][epoch 18/50] loss=0.7126  val_acc=0.9083  macroF1=0.7283  edit=43.52  segF1@50=0.42
[b2a][epoch 19/50] loss=0.6823  val_acc=0.9083  macroF1=0.7289  edit=42.02  segF1@50=0.41
[b2a][epoch 20/50] loss=0.6568  val_acc=0.9116  macroF1=0.7488  edit=44.88  segF1@50=0.45
[b2a][epoch 21/50] loss=0.6346  val_acc=0.8931  macroF1=0.7256  edit=40.00  segF1@50=0.40
[b2a][epoch 22/50] loss=0.6224  val_acc=0.9076  macroF1=0.7463  edit=41.67  segF1@50=0.43
[b2a][epoch 23/50] loss=0.6036  val_acc=0.9168  macroF1=0.7573  edit=41.07  segF1@50=0.45
[b2a][epoch 24/50] loss=0.5961  val_acc=0.8884  macroF1=0.7289  edit=39.73  segF1@50=0.38
[b2a][epoch 25/50] loss=0.5799  val_acc=0.9030  macroF1=0.7507  edit=43.49  segF1@50=0.46
[b2a][epoch 26/50] loss=0.5665  val_acc=0.9096  macroF1=0.7511  edit=42.30  segF1@50=0.43
[b2a][epoch 27/50] loss=0.5531  val_acc=0.8983  macroF1=0.7638  edit=43.97  segF1@50=0.48
[b2a][epoch 28/50] loss=0.5441  val_acc=0.9010  macroF1=0.7367  edit=45.25  segF1@50=0.43
[b2a][epoch 29/50] loss=0.5644  val_acc=0.8957  macroF1=0.7640  edit=38.23  segF1@50=0.44
[b2a][epoch 30/50] loss=0.5390  val_acc=0.9089  macroF1=0.7551  edit=42.97  segF1@50=0.45
[b2a][epoch 31/50] loss=0.4981  val_acc=0.9089  macroF1=0.7618  edit=41.67  segF1@50=0.44
[b2a][epoch 32/50] loss=0.4849  val_acc=0.9036  macroF1=0.7598  edit=41.67  segF1@50=0.44
[b2a][epoch 33/50] loss=0.4789  val_acc=0.8970  macroF1=0.7586  edit=45.08  segF1@50=0.46
[b2a][epoch 34/50] loss=0.4661  val_acc=0.9076  macroF1=0.7663  edit=44.44  segF1@50=0.47
[b2a][epoch 35/50] loss=0.4600  val_acc=0.9122  macroF1=0.7650  edit=50.00  segF1@50=0.53
[b2a][epoch 36/50] loss=0.4581  val_acc=0.9155  macroF1=0.7860  edit=40.83  segF1@50=0.48
[b2a][epoch 37/50] loss=0.4734  val_acc=0.8983  macroF1=0.7391  edit=42.30  segF1@50=0.42
[b2a][epoch 38/50] loss=0.4889  val_acc=0.8924  macroF1=0.7767  edit=32.86  segF1@50=0.40
[b2a][epoch 39/50] loss=0.5199  val_acc=0.8858  macroF1=0.7390  edit=32.85  segF1@50=0.38
[b2a][epoch 40/50] loss=0.4967  val_acc=0.9215  macroF1=0.7769  edit=46.60  segF1@50=0.51
[b2a][epoch 41/50] loss=0.4724  val_acc=0.9142  macroF1=0.7673  edit=39.35  segF1@50=0.44
