[t1a] train clips=13  val clips=3  in_dim=3840  region_only=True  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_only_mask_top3_003_t1a_region_only_mask_top3_seed456
[t1a][epoch 1/50] loss=3.1577  val_acc=0.3650  macroF1=0.0784  edit=5.33  segF1@50=0.17
[t1a][epoch 2/50] loss=2.1185  val_acc=0.6706  macroF1=0.2259  edit=16.84  segF1@50=0.14
[t1a][epoch 3/50] loss=1.6543  val_acc=0.6713  macroF1=0.2254  edit=22.29  segF1@50=0.16
[t1a][epoch 4/50] loss=1.4025  val_acc=0.7208  macroF1=0.3662  edit=26.28  segF1@50=0.20
[t1a][epoch 5/50] loss=1.1937  val_acc=0.7591  macroF1=0.4261  edit=34.17  segF1@50=0.30
[t1a][epoch 6/50] loss=1.1397  val_acc=0.7531  macroF1=0.4914  edit=25.85  segF1@50=0.19
[t1a][epoch 7/50] loss=1.1480  val_acc=0.8092  macroF1=0.5667  edit=33.03  segF1@50=0.22
[t1a][epoch 8/50] loss=1.0085  val_acc=0.8495  macroF1=0.5672  edit=35.99  segF1@50=0.32
[t1a][epoch 9/50] loss=0.9389  val_acc=0.8172  macroF1=0.5359  edit=36.93  segF1@50=0.29
[t1a][epoch 10/50] loss=0.8465  val_acc=0.8403  macroF1=0.5319  edit=33.81  segF1@50=0.34
[t1a][epoch 11/50] loss=0.7606  val_acc=0.8007  macroF1=0.5068  edit=33.57  segF1@50=0.26
[t1a][epoch 12/50] loss=0.7032  val_acc=0.8449  macroF1=0.5413  edit=39.08  segF1@50=0.39
[t1a][epoch 13/50] loss=0.6416  val_acc=0.8403  macroF1=0.5376  edit=34.79  segF1@50=0.31
[t1a][epoch 14/50] loss=0.6673  val_acc=0.8376  macroF1=0.5657  edit=36.25  segF1@50=0.31
[t1a][epoch 15/50] loss=0.6199  val_acc=0.8198  macroF1=0.5210  edit=26.07  segF1@50=0.30
[t1a][epoch 16/50] loss=0.5883  val_acc=0.8469  macroF1=0.5694  edit=35.74  segF1@50=0.37
[t1a][epoch 17/50] loss=0.5371  val_acc=0.8257  macroF1=0.5408  edit=35.40  segF1@50=0.28
[t1a][epoch 18/50] loss=0.5297  val_acc=0.8449  macroF1=0.5808  edit=33.99  segF1@50=0.34
[t1a][epoch 19/50] loss=0.5514  val_acc=0.8469  macroF1=0.5669  edit=35.56  segF1@50=0.30
[t1a][epoch 20/50] loss=0.7165  val_acc=0.8317  macroF1=0.5979  edit=35.95  segF1@50=0.31
[t1a][epoch 21/50] loss=0.7771  val_acc=0.8502  macroF1=0.5903  edit=34.42  segF1@50=0.32
[t1a][epoch 22/50] loss=0.5954  val_acc=0.8442  macroF1=0.5770  edit=31.89  segF1@50=0.28
[t1a][epoch 23/50] loss=0.5141  val_acc=0.8403  macroF1=0.5619  edit=33.44  segF1@50=0.29
[t1a][epoch 24/50] loss=0.4784  val_acc=0.8442  macroF1=0.5850  edit=30.83  segF1@50=0.29
[t1a][epoch 25/50] loss=0.4680  val_acc=0.8581  macroF1=0.6113  edit=30.34  segF1@50=0.25
[t1a][epoch 26/50] loss=0.4341  val_acc=0.8561  macroF1=0.6267  edit=36.81  segF1@50=0.31
[t1a][epoch 27/50] loss=0.4063  val_acc=0.8719  macroF1=0.6398  edit=34.42  segF1@50=0.29
[t1a][epoch 28/50] loss=0.3821  val_acc=0.8601  macroF1=0.6194  edit=32.08  segF1@50=0.29
[t1a][epoch 29/50] loss=0.3767  val_acc=0.8647  macroF1=0.6410  edit=33.03  segF1@50=0.32
[t1a][epoch 30/50] loss=0.3645  val_acc=0.8752  macroF1=0.6517  edit=35.00  segF1@50=0.30
[t1a][epoch 31/50] loss=0.3555  val_acc=0.8759  macroF1=0.6639  edit=37.25  segF1@50=0.30
[t1a][epoch 32/50] loss=0.3456  val_acc=0.8759  macroF1=0.6604  edit=34.58  segF1@50=0.31
[t1a][epoch 33/50] loss=0.3393  val_acc=0.8891  macroF1=0.6793  edit=35.38  segF1@50=0.32
[t1a][epoch 34/50] loss=0.3280  val_acc=0.8871  macroF1=0.6854  edit=32.32  segF1@50=0.31
[t1a][epoch 35/50] loss=0.3252  val_acc=0.8937  macroF1=0.6850  edit=35.95  segF1@50=0.31
[t1a][epoch 36/50] loss=0.3570  val_acc=0.8620  macroF1=0.6708  edit=29.13  segF1@50=0.29
[t1a][epoch 37/50] loss=0.3705  val_acc=0.8805  macroF1=0.6269  edit=26.77  segF1@50=0.24
[t1a][epoch 38/50] loss=0.3792  val_acc=0.8627  macroF1=0.6409  edit=32.89  segF1@50=0.32
[t1a][epoch 39/50] loss=0.3270  val_acc=0.8865  macroF1=0.6619  edit=32.73  segF1@50=0.29
[t1a][epoch 40/50] loss=0.3122  val_acc=0.8924  macroF1=0.6923  edit=34.68  segF1@50=0.34
[t1a][epoch 41/50] loss=0.2977  val_acc=0.8924  macroF1=0.6889  edit=35.25  segF1@50=0.32
[t1a][epoch 42/50] loss=0.2843  val_acc=0.8845  macroF1=0.6717  edit=34.79  segF1@50=0.32
[t1a][epoch 43/50] loss=0.2788  val_acc=0.8917  macroF1=0.6897  edit=30.11  segF1@50=0.28
[t1a][epoch 44/50] loss=0.2776  val_acc=0.8884  macroF1=0.6823  edit=35.24  segF1@50=0.32
[t1a][epoch 45/50] loss=0.2676  val_acc=0.8891  macroF1=0.6853  edit=33.96  segF1@50=0.31
[t1a][epoch 46/50] loss=0.2630  val_acc=0.8858  macroF1=0.6781  edit=36.59  segF1@50=0.36
[t1a][epoch 47/50] loss=0.2582  val_acc=0.8898  macroF1=0.6835  edit=35.60  segF1@50=0.34
[t1a][epoch 48/50] loss=0.2539  val_acc=0.8891  macroF1=0.6808  edit=33.73  segF1@50=0.32
[t1a][epoch 49/50] loss=0.2503  val_acc=0.8904  macroF1=0.6799  edit=34.32  segF1@50=0.35
[t1a][epoch 50/50] loss=0.2519  val_acc=0.8812  macroF1=0.6771  edit=36.58  segF1@50=0.32
[t1a] best @epoch 35: acc=0.8937 macroF1=0.6850
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_only_mask_top3_003_t1a_region_only_mask_top3_seed456
