[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_06_001_b2a_mask_dim_06_seed42
[b2a][epoch 1/50] loss=3.7541  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8839  val_acc=0.2376  macroF1=0.0762  edit=5.33  segF1@50=0.00
[b2a][epoch 3/50] loss=2.7173  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.5073  val_acc=0.6323  macroF1=0.2178  edit=21.67  segF1@50=0.05
[b2a][epoch 5/50] loss=2.5364  val_acc=0.3855  macroF1=0.0923  edit=34.25  segF1@50=0.22
[b2a][epoch 6/50] loss=2.1920  val_acc=0.6733  macroF1=0.2276  edit=38.79  segF1@50=0.19
[b2a][epoch 7/50] loss=1.7890  val_acc=0.5584  macroF1=0.1930  edit=29.57  segF1@50=0.13
[b2a][epoch 8/50] loss=1.6142  val_acc=0.5333  macroF1=0.1835  edit=32.67  segF1@50=0.13
[b2a][epoch 9/50] loss=1.7925  val_acc=0.5248  macroF1=0.1808  edit=20.56  segF1@50=0.01
[b2a][epoch 10/50] loss=1.6416  val_acc=0.6706  macroF1=0.2293  edit=39.67  segF1@50=0.22
[b2a][epoch 11/50] loss=1.4249  val_acc=0.6733  macroF1=0.2459  edit=56.33  segF1@50=0.22
[b2a][epoch 12/50] loss=1.3190  val_acc=0.6548  macroF1=0.3286  edit=23.73  segF1@50=0.04
[b2a][epoch 13/50] loss=1.2340  val_acc=0.6706  macroF1=0.2816  edit=36.67  segF1@50=0.15
[b2a][epoch 14/50] loss=1.1149  val_acc=0.7406  macroF1=0.3947  edit=32.48  segF1@50=0.22
[b2a][epoch 15/50] loss=1.0376  val_acc=0.7373  macroF1=0.3821  edit=25.70  segF1@50=0.14
[b2a][epoch 16/50] loss=0.9408  val_acc=0.7696  macroF1=0.4281  edit=28.30  segF1@50=0.20
[b2a][epoch 17/50] loss=0.8762  val_acc=0.8719  macroF1=0.6464  edit=40.89  segF1@50=0.39
[b2a][epoch 18/50] loss=0.8029  val_acc=0.8693  macroF1=0.6403  edit=39.56  segF1@50=0.33
[b2a][epoch 19/50] loss=0.7458  val_acc=0.8832  macroF1=0.6454  edit=31.00  segF1@50=0.33
[b2a][epoch 20/50] loss=0.6978  val_acc=0.8884  macroF1=0.6549  edit=34.52  segF1@50=0.36
[b2a][epoch 21/50] loss=0.6877  val_acc=0.8851  macroF1=0.6393  edit=39.56  segF1@50=0.42
[b2a][epoch 22/50] loss=0.6532  val_acc=0.8581  macroF1=0.6818  edit=36.25  segF1@50=0.34
[b2a][epoch 23/50] loss=0.6577  val_acc=0.8614  macroF1=0.6669  edit=41.51  segF1@50=0.32
[b2a][epoch 24/50] loss=0.6029  val_acc=0.8799  macroF1=0.6721  edit=42.73  segF1@50=0.33
[b2a][epoch 25/50] loss=0.5635  val_acc=0.8792  macroF1=0.6674  edit=29.76  segF1@50=0.25
[b2a][epoch 26/50] loss=0.5358  val_acc=0.8871  macroF1=0.6824  edit=36.61  segF1@50=0.32
[b2a][epoch 27/50] loss=0.4968  val_acc=0.9043  macroF1=0.7099  edit=33.97  segF1@50=0.33
[b2a][epoch 28/50] loss=0.4860  val_acc=0.8983  macroF1=0.7460  edit=37.55  segF1@50=0.39
[b2a][epoch 29/50] loss=0.4737  val_acc=0.9023  macroF1=0.6856  edit=37.11  segF1@50=0.41
[b2a][epoch 30/50] loss=0.4849  val_acc=0.9017  macroF1=0.7393  edit=33.83  segF1@50=0.36
[b2a][epoch 31/50] loss=0.4926  val_acc=0.9003  macroF1=0.6873  edit=36.61  segF1@50=0.33
[b2a][epoch 32/50] loss=0.5512  val_acc=0.8594  macroF1=0.6501  edit=38.67  segF1@50=0.31
[b2a][epoch 33/50] loss=0.4855  val_acc=0.9221  macroF1=0.7611  edit=43.28  segF1@50=0.38
[b2a][epoch 34/50] loss=0.4556  val_acc=0.9102  macroF1=0.7108  edit=41.17  segF1@50=0.43
[b2a][epoch 35/50] loss=0.4605  val_acc=0.9129  macroF1=0.7469  edit=38.99  segF1@50=0.38
[b2a][epoch 36/50] loss=0.4005  val_acc=0.8977  macroF1=0.7575  edit=35.27  segF1@50=0.35
[b2a][epoch 37/50] loss=0.3821  val_acc=0.9188  macroF1=0.7658  edit=40.28  segF1@50=0.42
[b2a][epoch 38/50] loss=0.3614  val_acc=0.9208  macroF1=0.7755  edit=38.79  segF1@50=0.40
[b2a][epoch 39/50] loss=0.3527  val_acc=0.9234  macroF1=0.7704  edit=38.11  segF1@50=0.40
[b2a][epoch 40/50] loss=0.3456  val_acc=0.9208  macroF1=0.7828  edit=36.00  segF1@50=0.38
[b2a][epoch 41/50] loss=0.3648  val_acc=0.9050  macroF1=0.7125  edit=37.15  segF1@50=0.33
[b2a][epoch 42/50] loss=0.4258  val_acc=0.9023  macroF1=0.7655  edit=32.06  segF1@50=0.35
[b2a][epoch 43/50] loss=0.3451  val_acc=0.9221  macroF1=0.7330  edit=43.11  segF1@50=0.42
[b2a][epoch 44/50] loss=0.3447  val_acc=0.9135  macroF1=0.7812  edit=45.32  segF1@50=0.43
[b2a][epoch 45/50] loss=0.3434  val_acc=0.9010  macroF1=0.7559  edit=42.16  segF1@50=0.40
[b2a][epoch 46/50] loss=0.3340  val_acc=0.9307  macroF1=0.7653  edit=43.11  segF1@50=0.47
[b2a][epoch 47/50] loss=0.3267  val_acc=0.9175  macroF1=0.7794  edit=35.03  segF1@50=0.36
[b2a][epoch 48/50] loss=0.3589  val_acc=0.9010  macroF1=0.7121  edit=30.50  segF1@50=0.27
[b2a][epoch 49/50] loss=0.3259  val_acc=0.9300  macroF1=0.7824  edit=43.56  segF1@50=0.43
[b2a][epoch 50/50] loss=0.3109  val_acc=0.9261  macroF1=0.7842  edit=37.32  segF1@50=0.43
[b2a] best @epoch 46: acc=0.9307 macroF1=0.7653
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_06_001_b2a_mask_dim_06_seed42
