456	42	B2a	aug	/home/ubuntu/slocal/m2/experiments/transfer/b2a_det2phase_toolpresence_019_b2a_det2phase_toolpresence_seed42
456	42	T1a	frozen	/home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det456_p42_frozen_001_t1a_3seed_det456_p42_frozen_seed42
456	42	T1a	aug	/home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det456_p42_aug_001_t1a_3seed_det456_p42_aug_seed42
456	123	S4	frozen	/home/ubuntu/slocal/m2/experiments/phase1/s4_phase_baseline_031_frozen_tecno_phase_baseline_seed123
456	123	S4	aug	/home/ubuntu/slocal/m2/experiments/phase1/s4_phase_baseline_032_frozen_tecno_phase_baseline_seed123
456	123	B2a	frozen	/home/ubuntu/slocal/m2/experiments/transfer/b2a_det2phase_toolpresence_020_b2a_det2phase_toolpresence_seed123
456	123	B2a	aug	/home/ubuntu/slocal/m2/experiments/transfer/b2a_det2phase_toolpresence_021_b2a_det2phase_toolpresence_seed123
456	123	T1a	frozen	/home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det456_p123_frozen_001_t1a_3seed_det456_p123_frozen_seed123
456	123	T1a	aug	/home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det456_p123_aug_001_t1a_3seed_det456_p123_aug_seed123
456	456	S4	frozen	/home/ubuntu/slocal/m2/experiments/phase1/s4_phase_baseline_033_frozen_tecno_phase_baseline_seed456
456	456	S4	aug	/home/ubuntu/slocal/m2/experiments/phase1/s4_phase_baseline_034_frozen_tecno_phase_baseline_seed456
456	456	B2a	frozen	/home/ubuntu/slocal/m2/experiments/transfer/b2a_det2phase_toolpresence_022_b2a_det2phase_toolpresence_seed456
456	456	B2a	aug	/home/ubuntu/slocal/m2/experiments/transfer/b2a_det2phase_toolpresence_023_b2a_det2phase_toolpresence_seed456
456	456	T1a	frozen	/home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det456_p456_frozen_001_t1a_3seed_det456_p456_frozen_seed456
456	456	T1a	aug	/home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det456_p456_aug_001_t1a_3seed_det456_p456_aug_seed456
