experiment_id,metric,dedup_rule,delta,pstd,ratio_pstd,same_sign,verdict_pstd
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed456,accuracy,mean,0.02134213421342131,0.0035169125111432224,6.068429096771516,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed123,accuracy,first,0.044884488448844885,0.003886363417526017,11.549225748274841,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed123,accuracy,latest,0.0429042904290429,0.0047902180543624405,8.956646637405173,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed123,accuracy,mean,0.043894389438943894,0.004183312066409554,10.492736076612495,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed42,accuracy,first,0.03674367436743675,0.004322746469612421,8.500076195940125,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed42,accuracy,latest,0.04004400440044006,0.005007615699336028,7.9966209079801365,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed42,accuracy,mean,0.040130965477500134,0.003942088684327984,10.18012751388452,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed456,accuracy,first,0.03784378437843786,0.012222613344185874,3.09621054947628,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed456,accuracy,latest,0.037843784378437904,0.00964590108549308,3.9233021407769706,True,significant
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed456,accuracy,mean,0.037843784378437904,0.01091717159960862,3.466445867700257,True,significant
transfer/b2a_mask_dim_00/b2a_mask_dim_00@val~relation_detr_seed42,accuracy,first,0.029702970297029768,0.002349192134660329,12.643908456353033,True,significant
transfer/b2a_mask_dim_00/b2a_mask_dim_00@val~relation_detr_seed42,accuracy,latest,0.030583058305830635,0.005398391263535905,5.665217064277584,True,significant
transfer/b2a_mask_dim_00/b2a_mask_dim_00@val~relation_detr_seed42,accuracy,mean,0.03151343705799159,0.0029711600291948926,10.606442180272234,True,significant
transfer/b2a_mask_dim_01/b2a_mask_dim_01@val~relation_detr_seed42,accuracy,first,0.03806380638063811,0.00204040010901998,18.655069764194657,True,significant
transfer/b2a_mask_dim_01/b2a_mask_dim_01@val~relation_detr_seed42,accuracy,latest,0.03894389438943898,0.003365689447916047,11.57085197315281,True,significant
transfer/b2a_mask_dim_01/b2a_mask_dim_01@val~relation_detr_seed42,accuracy,mean,0.039874273141599935,0.0024314904815581143,16.399107232387045,True,significant
transfer/b2a_mask_dim_02/b2a_mask_dim_02@val~relation_detr_seed42,accuracy,first,0.036303630363036334,0.0018669485971922063,19.445436482630058,True,significant
transfer/b2a_mask_dim_02/b2a_mask_dim_02@val~relation_detr_seed42,accuracy,latest,0.037183718371837204,0.00512230879068114,7.259171575029683,True,significant
transfer/b2a_mask_dim_02/b2a_mask_dim_02@val~relation_detr_seed42,accuracy,mean,0.03811409712399816,0.0024827155103755096,15.351777907986493,True,significant
transfer/b2a_mask_dim_03/b2a_mask_dim_03@val~relation_detr_seed42,accuracy,first,0.03850385038503853,0.005122308790681052,7.516893642782347,True,significant
transfer/b2a_mask_dim_03/b2a_mask_dim_03@val~relation_detr_seed42,accuracy,latest,0.03938393839383939,0.006845478189704739,5.753277901472375,True,significant
transfer/b2a_mask_dim_03/b2a_mask_dim_03@val~relation_detr_seed42,accuracy,mean,0.040314317146000346,0.005705374842915346,7.066024276399768,True,significant
transfer/b2a_mask_dim_04/b2a_mask_dim_04@val~relation_detr_seed42,accuracy,first,0.037183718371837204,0.007115934710141338,5.225415899171264,True,significant
transfer/b2a_mask_dim_04/b2a_mask_dim_04@val~relation_detr_seed42,accuracy,latest,0.038063806380638075,0.009183118483920488,4.144976071830857,True,significant
transfer/b2a_mask_dim_04/b2a_mask_dim_04@val~relation_detr_seed42,accuracy,mean,0.03899418513279903,0.007730121396640095,5.044446669330172,True,significant
transfer/b2a_mask_dim_05/b2a_mask_dim_05@val~relation_detr_seed42,accuracy,first,0.039163916391639186,0.007474274038047502,5.239828803744255,True,significant
transfer/b2a_mask_dim_05/b2a_mask_dim_05@val~relation_detr_seed42,accuracy,latest,0.04004400440044006,0.009660945390583141,4.144936419935914,True,significant
transfer/b2a_mask_dim_05/b2a_mask_dim_05@val~relation_detr_seed42,accuracy,mean,0.04097438315260101,0.008093055551568806,5.062906450043864,True,significant
transfer/b2a_mask_dim_06/b2a_mask_dim_06@val~relation_detr_seed42,accuracy,first,0.03256325632563262,0.003064551876168092,10.625780747542649,True,significant
transfer/b2a_mask_dim_06/b2a_mask_dim_06@val~relation_detr_seed42,accuracy,latest,0.03344334433443349,0.006474780624669823,5.165170261832447,True,significant
transfer/b2a_mask_dim_06/b2a_mask_dim_06@val~relation_detr_seed42,accuracy,mean,0.03437372308659444,0.0036375389753897083,9.449719527173398,True,significant
