tag,ext,matmul_tf32,cudnn_tf32,bit_exact,n_frames_bit_exact,frac_SAME_TOKEN,frac_NEAR,frac_FLIPPED,max_abs_diff,rel_err_median_absA_gt_0.1,absmax
P00,fallback,False,False,False,0,0.9756215621562156,0.015093509350935093,0.009284928492849285,1.5553455203771591,0.007148366036157232,4.091495037078857
P01,fallback,False,True,False,0,0.9756215621562156,0.015093509350935093,0.009284928492849285,1.5553455203771591,0.007148366036157232,4.091495037078857
P10,fallback,True,False,False,0,0.9756215621562156,0.015093509350935093,0.009284928492849285,1.5553455203771591,0.007148366036157232,4.091495037078857
P11,fallback,True,True,False,0,0.9756215621562156,0.015093509350935093,0.009284928492849285,1.5553455203771591,0.007148366036157232,4.091495037078857
with_cuda_ext,CUDA拡張(既定TF32),False,True,True,1515,1.0,0.0,0.0,0.0,0.0,4.117701053619385
