system,status,n_seeds,seeds_with_replicates,n_runs_used,var_between_seed,var_within_seed,sd_between_seed,sd_within_seed,icc
s4,OK,3,3,43,8.475435916824606e-06,9.750386218146024e-05,0.0029112601939408657,0.00987440439628944,0.07997256132952037
b2a,OK,3,3,255,7.506357353772591e-07,0.0004530803716667227,0.0008663923680280541,0.021285684665209213,0.0016539983454946844
oracle-tool,OK,3,3,6,5.9785956593459124e-06,2.3599719707944475e-06,0.0024451166964678623,0.001536220026817268,0.7169811320754709
h6,OK,3,3,18,1.292000609424078e-05,0.0004543894066707729,0.003594440998853755,0.02131641167435957,0.027647647878082868
t1a,OK,3,3,115,9.123097456606782e-07,0.0002973954814024968,0.0009551490698632744,0.017245158201724238,0.003058283332625297
