quoted_name,quoted_value,R-triple,R-all,R-all-dedup,status
S4_base_accuracy,0.8986,0.8985698569856986,0.9034768593138384,0.9031027084608914,CHANGED
B2a_delta,0.0383,0.03828382838283828,0.036296647448602615,0.03667539085971394,SIGNIFICANCE_FLIPPED
T1a_delta,0.0497,0.04972497249724972,0.03889076875331621,0.03921802328268509,CHANGED
H6_delta,0.0004,0.05830583058305827,0.0077809331320728425,0.008155083985019851,SIGNIFICANCE_FLIPPED
oracle_tool_acc,0.9583,0.9606160616061606,0.9565456545654565,0.9565456545654566,CHANGED
oracle_tool_macroF1,0.823,None,None,None,NOT_RECOMPUTED
S0_frozen_mAP,0.7051,None,None,None,NOT_RECOMPUTED
