ledger_key,run_id,experiment_id,arm,control_of,pairing_provenance,group,subgroup,path,excluded,exclusion_reason,step,seq,description,seed,seed_command,seed_config,seed_agreement,seed_detector,seed_phase,split,metrics_primary_split,frozen_source_tag,per_class_kind,per_class_metric,per_class_source,per_class_valid_count,eval_recipe_id,host,host_raw,gpu,commit,epoch,notion_page_id,task_id,has_test,n_harvest_warnings,evidence_completeness,metrics_source,metric.AP_common,metric.AP_rare,metric.accuracy,metric.alpha,metric.control_init_mAP,metric.control_mAP,metric.delta_control,metric.delta_detection,metric.edit_score,metric.final_epoch,metric.final_mAP,metric.frame_acc_inline,metric.init_mAP,metric.injection_effect,metric.jaccard,metric.mAP,metric.mAP_50,metric.mAP_75,metric.mAP_baseline,metric.mAP_rescored,metric.macro_f1,metric.miss_ctx,metric.rep,metric.seg_f1_10,metric.seg_f1_25,metric.seg_f1_50,metric.sigma2_d,metric.sigma2_p,metric.sticky_accuracy,metric.sticky_edit_score,metric.sticky_jaccard,metric.sticky_macro_f1,metric.sticky_seg_f1_10,metric.sticky_seg_f1_25,metric.sticky_seg_f1_50,metric.tool_mAP,metric_test.accuracy,metric_test.edit_score,metric_test.jaccard,metric_test.macro_f1,metric_test.seg_f1_10,metric_test.seg_f1_25,metric_test.seg_f1_50,metric_test.sticky_accuracy,metric_test.sticky_edit_score,metric_test.sticky_jaccard,metric_test.sticky_macro_f1,metric_test.sticky_seg_f1_10,metric_test.sticky_seg_f1_25,metric_test.sticky_seg_f1_50
hand2det_dev___identity_inj_4ch_seed456,_identity_inj_4ch_seed456,hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,unknown,,not_determinable,hand2det_dev,,experiments/hand2det_dev/_identity_inj_4ch_seed456,True,identity_check,_identity_inj_4ch,,_identity_inj_4ch,456,456,456,agree,,,val,,,,,experiments/hand2det_dev/_identity_inj_4ch_seed456/per_class_ap.json,0,,efros,efros,,0ea33cac653285d21f5d06acfd6a3cef4cfe0394,-1,,,False,2,full,metrics_json,,,,,,,,0.0,,-1,0.721658691470358,,0.721658691470358,,,0.721658691470358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand2det_dev___identity_inj_5ch_seed123,_identity_inj_5ch_seed123,hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,unknown,,not_determinable,hand2det_dev,,experiments/hand2det_dev/_identity_inj_5ch_seed123,True,identity_check,_identity_inj_5ch,,_identity_inj_5ch,123,123,123,agree,,,val,,,,,experiments/hand2det_dev/_identity_inj_5ch_seed123/per_class_ap.json,0,,efros,efros,,0ea33cac653285d21f5d06acfd6a3cef4cfe0394,-1,,,False,2,full,metrics_json,,,,,,,,0.0,,-1,0.7291778095772903,,0.7291778095772903,,,0.7291778095772903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand2det_dev___identity_inj_5ch_seed42,_identity_inj_5ch_seed42,hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,unknown,,not_determinable,hand2det_dev,,experiments/hand2det_dev/_identity_inj_5ch_seed42,True,identity_check,_identity_inj_5ch,,_identity_inj_5ch,42,42,42,agree,,,val,,,,,experiments/hand2det_dev/_identity_inj_5ch_seed42/per_class_ap.json,0,,efros,efros,,0ea33cac653285d21f5d06acfd6a3cef4cfe0394,-1,,,False,2,full,metrics_json,,,,,,,,0.0,,-1,0.7302938994613697,,0.7302938994613697,,,0.7302938994613697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand2det_dev___identity_inj_5ch_seed456,_identity_inj_5ch_seed456,hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,unknown,,not_determinable,hand2det_dev,,experiments/hand2det_dev/_identity_inj_5ch_seed456,True,identity_check,_identity_inj_5ch,,_identity_inj_5ch,456,456,456,agree,,,val,,,,,experiments/hand2det_dev/_identity_inj_5ch_seed456/per_class_ap.json,0,,efros,efros,,0ea33cac653285d21f5d06acfd6a3cef4cfe0394,-1,,,False,2,full,metrics_json,,,,,,,,0.0,,-1,0.721658691470358,,0.721658691470358,,,0.721658691470358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand2det_dev__hand2det_1ep_4ch_all_seed42,hand2det_1ep_4ch_all_seed42,hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,unknown,,not_determinable,hand2det_dev,,experiments/hand2det_dev/hand2det_1ep_4ch_all_seed42,False,,hand2det_1ep_4ch_all,,hand2det_1ep_4ch_all,42,42,42,agree,,,val,,,,,experiments/hand2det_dev/hand2det_1ep_4ch_all_seed42/per_class_ap.json,0,,efros,efros,,0ea33cac653285d21f5d06acfd6a3cef4cfe0394,-1,,,False,2,full,metrics_json,,,,,,,,0.0,,0,0.6842283119726406,,0.7302938994613697,,,0.7302938994613697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand2det_dev__hand2det_1ep_4ch_film_seed42,hand2det_1ep_4ch_film_seed42,hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,unknown,,not_determinable,hand2det_dev,,experiments/hand2det_dev/hand2det_1ep_4ch_film_seed42,False,,hand2det_1ep_4ch_film,,hand2det_1ep_4ch_film,42,42,42,agree,,,val,,,tool,AP,experiments/hand2det_dev/hand2det_1ep_4ch_film_seed42/per_class_ap.json,14,,efros,efros,,0ea33cac653285d21f5d06acfd6a3cef4cfe0394,0,,,False,1,full,metrics_json,,,,,,,,2.863429691302155e-05,,0,0.7303225337582827,,0.7302938994613697,,,0.7303225337582827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand2det_dev__hand2det_4ch_film_inj_seed42,hand2det_4ch_film_inj_seed42,hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,unknown,,not_determinable,hand2det_dev,,experiments/hand2det_dev/hand2det_4ch_film_inj_seed42,False,,hand2det_4ch_film_inj,,hand2det_4ch_film_inj,42,42,42,agree,,,val,,,,,experiments/hand2det_dev/hand2det_4ch_film_inj_seed42/per_class_ap.json,0,,efros,efros,,0ea33cac653285d21f5d06acfd6a3cef4cfe0394,-1,,,False,2,full,metrics_json,,,,,,,,0.0,,0,0.8876398918087298,,0.8876398918087298,,,0.8876398918087298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase0___failed_s3_weighted___004_partial,_004_partial,,unknown,,not_determinable,phase0,_failed_s3_weighted,experiments/phase0/_failed_s3_weighted/_004_partial,True,failed_run,,,,,42,42,no_seed_in_dirname,,,,,,,,experiments/phase0/_failed_s3_weighted/_004_partial/per_class_ap.json,0,,,,,d1bcc8a3ca3fa1b19ddfda986fe90105e70feefb,,,,False,3,full,metrics_json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase0___failed_s3_weighted___005_partial,_005_partial,,unknown,,not_determinable,phase0,_failed_s3_weighted,experiments/phase0/_failed_s3_weighted/_005_partial,True,failed_run,,,,,123,123,no_seed_in_dirname,,,,,,,,experiments/phase0/_failed_s3_weighted/_005_partial/per_class_ap.json,0,,,,,d1bcc8a3ca3fa1b19ddfda986fe90105e70feefb,,,,False,3,full,metrics_json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase0___failed_s3_weighted___006_partial,_006_partial,,unknown,,not_determinable,phase0,_failed_s3_weighted,experiments/phase0/_failed_s3_weighted/_006_partial,True,failed_run,,,,,456,456,no_seed_in_dirname,,,,,,,,experiments/phase0/_failed_s3_weighted/_006_partial/per_class_ap.json,0,,,,,d1bcc8a3ca3fa1b19ddfda986fe90105e70feefb,,,,False,3,full,metrics_json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
