experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_min,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_n,paired_delta,unknown,,,,,3,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_pstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_sstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_max,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_mean,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_min,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_n,paired_delta,unknown,,,,,3,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_pstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_sstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_max,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_mean,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_min,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_n,paired_delta,unknown,,,,,3,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_pstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_sstd,paired_delta,unknown,,,,,0.0,,,,,,undecidable,undecidable,True,Δ または σ が無い
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03701398711299705,0.0065008384892816925,0.0079618685994928,5.693725074699847,4.648907056234886,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,edit_score,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,2.825600080606852,3.4252660346224917,4.1950770090557015,0.8249286484745321,0.6735514209887855,True,not_significant,not_significant,True,|Δ| <= σ
