ledger_key,group,step,seed,split,host,excluded,per_class_kind,per_class_metric,class_name,value,is_nan
_smoke_prior__s0_003_maskdino_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Suction Cannula,0.0012674488133853957,False
_smoke_prior__s0_003_maskdino_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Syringe,0.014175442533749702,False
_smoke_prior__s0_003_maskdino_bbox_seed456,_smoke_prior,s0,456,val,,True,tool,AP,Tweezers,0.05567693849947849,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Bipolar Forceps,0.0,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Electric Cautery,0.016490872324239413,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Forceps,2.4346696964778446e-05,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Gauze,0.012734122230632954,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Hook,0.0,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Mouth Gag,0.0,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Needle Holders,0.0,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Raspatory,0.0004413988196849242,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Retractor,0.0,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Scalpel,0.01593758636801872,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Scissors,0.07904013094501325,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Skewer,0.0,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Suction Cannula,0.0008506703584240774,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Syringe,0.021445959875952974,False
_smoke_prior__s0_004_varifocanet_bbox_seed42,_smoke_prior,s0,42,val,,True,tool,AP,Tweezers,0.07389613158553412,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Bipolar Forceps,0.0,False
_smoke_prior__s0_005_varifocanet_bbox_seed123,_smoke_prior,s0,123,val,,True,tool,AP,Electric Cautery,0.048143375047815615,False
