experiment_id,group,step,description,split,eval_recipe_id,n_runs,n_seeds,seeds,runs_per_seed_max,hosts,n_runs_excluded,per_class_kind,per_class_metric,arm,control_of,pairing_provenance,control_note_value,delta_method,n_command_variants,AP_common_mean,AP_common_pstd,AP_common_min,AP_common_max,AP_rare_mean,AP_rare_pstd,AP_rare_min,AP_rare_max,accuracy_mean,accuracy_pstd,accuracy_min,accuracy_max,best_epoch_mean,best_epoch_pstd,best_epoch_min,best_epoch_max,control_init_mAP_mean,control_init_mAP_pstd,control_init_mAP_min,control_init_mAP_max,control_mAP_mean,control_mAP_pstd,control_mAP_min,control_mAP_max,delta_control_mean,delta_control_pstd,delta_control_min,delta_control_max,delta_detection_mean,delta_detection_pstd,delta_detection_min,delta_detection_max,edit_score_mean,edit_score_pstd,edit_score_min,edit_score_max,frame_acc_inline_mean,frame_acc_inline_pstd,frame_acc_inline_min,frame_acc_inline_max,init_mAP_mean,init_mAP_pstd,init_mAP_min,init_mAP_max,injection_effect_mean,injection_effect_pstd,injection_effect_min,injection_effect_max,jaccard_mean,jaccard_pstd,jaccard_min,jaccard_max,mAP_mean,mAP_pstd,mAP_min,mAP_max,mAP_50_mean,mAP_50_pstd,mAP_50_min,mAP_50_max,mAP_75_mean,mAP_75_pstd,mAP_75_min,mAP_75_max,macro_f1_mean,macro_f1_pstd,macro_f1_min,macro_f1_max,seg_f1_10_mean,seg_f1_10_pstd,seg_f1_10_min,seg_f1_10_max,seg_f1_25_mean,seg_f1_25_pstd,seg_f1_25_min,seg_f1_25_max,seg_f1_50_mean,seg_f1_50_pstd,seg_f1_50_min,seg_f1_50_max,sigma2_d_mean,sigma2_d_pstd,sigma2_d_min,sigma2_d_max,sigma2_p_mean,sigma2_p_pstd,sigma2_p_min,sigma2_p_max,sticky_accuracy_mean,sticky_accuracy_pstd,sticky_accuracy_min,sticky_accuracy_max,sticky_edit_score_mean,sticky_edit_score_pstd,sticky_edit_score_min,sticky_edit_score_max,sticky_jaccard_mean,sticky_jaccard_pstd,sticky_jaccard_min,sticky_jaccard_max,sticky_macro_f1_mean,sticky_macro_f1_pstd,sticky_macro_f1_min,sticky_macro_f1_max,sticky_seg_f1_10_mean,sticky_seg_f1_10_pstd,sticky_seg_f1_10_min,sticky_seg_f1_10_max,sticky_seg_f1_25_mean,sticky_seg_f1_25_pstd,sticky_seg_f1_25_min,sticky_seg_f1_25_max,sticky_seg_f1_50_mean,sticky_seg_f1_50_pstd,sticky_seg_f1_50_min,sticky_seg_f1_50_max,tool_mAP_mean,tool_mAP_pstd,tool_mAP_min,tool_mAP_max,delta_AP_common,delta_pstd_AP_common,delta_AP_rare,delta_pstd_AP_rare,delta_accuracy,delta_pstd_accuracy,delta_best_epoch,delta_pstd_best_epoch,delta_control_init_mAP,delta_pstd_control_init_mAP,delta_control_mAP,delta_pstd_control_mAP,delta_delta_control,delta_pstd_delta_control,delta_delta_detection,delta_pstd_delta_detection,delta_edit_score,delta_pstd_edit_score,delta_frame_acc_inline,delta_pstd_frame_acc_inline,delta_init_mAP,delta_pstd_init_mAP,delta_injection_effect,delta_pstd_injection_effect,delta_jaccard,delta_pstd_jaccard,delta_mAP,delta_pstd_mAP,delta_mAP_50,delta_pstd_mAP_50,delta_mAP_75,delta_pstd_mAP_75,delta_macro_f1,delta_pstd_macro_f1,delta_seg_f1_10,delta_pstd_seg_f1_10,delta_seg_f1_25,delta_pstd_seg_f1_25,delta_seg_f1_50,delta_pstd_seg_f1_50,delta_sigma2_d,delta_pstd_sigma2_d,delta_sigma2_p,delta_pstd_sigma2_p,delta_sticky_accuracy,delta_pstd_sticky_accuracy,delta_sticky_edit_score,delta_pstd_sticky_edit_score,delta_sticky_jaccard,delta_pstd_sticky_jaccard,delta_sticky_macro_f1,delta_pstd_sticky_macro_f1,delta_sticky_seg_f1_10,delta_pstd_sticky_seg_f1_10,delta_sticky_seg_f1_25,delta_pstd_sticky_seg_f1_25,delta_sticky_seg_f1_50,delta_pstd_sticky_seg_f1_50,delta_tool_mAP,delta_pstd_tool_mAP
phase0/s3/phase_frame@None,phase0,s3,phase_frame,,,3,3,"42,123,456",1,,3,None,None,unknown,,not_determinable,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_hires_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,val,e98ffddee042,3,3,"42,123,456",1,efros,0,phase,F1,unknown,,not_determinable,,,1,,,,,,,,,0.9075907590759076,0.001616824912728172,0.9056105610561056,0.9095709570957096,,,,,,,,,,,,,,,,,,,,,41.60670194003527,2.9786675691689735,38.6039886039886,45.666666666666664,,,,,,,,,,,,,0.6729060137879274,0.0049518579936213905,0.6661906766697319,0.6779840113635878,,,,,,,,,,,,,0.7177688112876262,0.00825173126579274,0.7067123637130874,0.726530118525396,0.4735433702100369,0.0418097984782448,0.42676767676767674,0.5282539682539683,0.438336398532477,0.03034201139808361,0.4006238859180036,0.47492063492063497,0.380944175650058,0.05755036662753895,0.33110516934046347,0.4615873015873016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed123,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,val,e98ffddee042,6,3,"42,123,456",2,efros,0,phase,F1,unknown,,not_determinable,,,2,,,,,,,,,0.9074807480748075,0.008396225259886543,0.8950495049504951,0.9188118811881189,,,,,,,,,,,,,,,,,,,,,39.83904004810437,4.790903873773689,33.97435897435897,48.06060606060606,,,,,,,,,,,,,0.669935614983925,0.031382983743345555,0.6174612990378455,0.7121832374978618,,,,,,,,,,,,,0.7274490280728512,0.02944696151744545,0.6714755229639048,0.7642950884311769,0.443434136151223,0.05158413754782135,0.38300653594771245,0.5369075369075369,0.43646266069235257,0.05121892428546723,0.36993464052287583,0.5217560217560218,0.378319214243584,0.049436956861912025,0.3084967320261438,0.45066045066045063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,val,e98ffddee042,11,3,"42,123,456",5,efros,0,phase,F1,unknown,,not_determinable,,,2,,,,,,,,,0.9135313531353135,0.0020099771046437633,0.9089108910891089,0.9161716171617161,,,,,,,,,,,,,,,,,,,,,44.61523044814322,3.8742051804715185,35.913978494623656,49.40740740740741,,,,,,,,,,,,,0.6966459377135925,0.011123913623643794,0.6812336671374198,0.7187030719378921,,,,,,,,,,,,,0.7475244741749517,0.01171021490884695,0.7310019178016842,0.7701303805384035,0.5128470213186392,0.04825120406609238,0.42063492063492064,0.575318401405358,0.497400617709516,0.055373265546953016,0.3968253968253968,0.575318401405358,0.432218063358828,0.051668909032626206,0.308843537414966,0.49613784907902553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed456,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,val,e98ffddee042,6,3,"42,123,456",2,efros,0,phase,F1,unknown,,not_determinable,,,2,,,,,,,,,0.913971397139714,0.005357885879817789,0.9095709570957096,0.9254125412541254,,,,,,,,,,,,,,,,,,,,,41.997517914184584,7.026818676822174,27.40740740740741,49.0,,,,,,,,,,,,,0.6924248292997351,0.01701729398572264,0.6682353364186825,0.7226118416313183,,,,,,,,,,,,,0.7434123362360587,0.017869408236819338,0.7129012004554234,0.7716705349405126,0.5242069993881588,0.05271710353012392,0.44423076923076926,0.6074074074074075,0.5147208333802538,0.05550260283077982,0.44423076923076926,0.6074074074074075,0.4541506199114894,0.05678068118534996,0.37878787878787873,0.5444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed123,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,val,e98ffddee042,6,3,"42,123,456",2,efros,0,phase,F1,unknown,,not_determinable,,,2,,,,,,,,,0.8964796479647965,0.004335326841636509,0.8910891089108911,0.9042904290429042,,,,,,,,,,,,,,,,,,,,,40.37830687830688,3.0724594836436188,34.53968253968254,43.77777777777777,,,,,,,,,,,,,0.6540020195866384,0.010449971626715354,0.6361511932415491,0.6677767310327359,,,,,,,,,,,,,0.7118556455574948,0.017045849114143134,0.6817126885167962,0.7373682349244055,0.4637778057187197,0.04311076722889214,0.39999999999999997,0.5096296296296297,0.44283281427727433,0.04825861489458248,0.3666666666666667,0.5035521454958795,0.3913467745135111,0.05403942840409312,0.29583333333333334,0.4549587951122478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,val,e98ffddee042,17,3,"42,123,456",7,"efros,lecun",0,phase,F1,baseline,,referenced_as_denominator,,,3,,,,,,,,,0.8973014948553679,0.005917073407586465,0.8864686468646865,0.9082508250825082,,,,,,,,,,,,,,,,,,,,,39.91661295170067,2.5431040954436486,36.611111111111114,45.50877192982457,,,,,,,,,,,,,0.6321606095182377,0.021544225014892025,0.6001627230889609,0.6763951060549243,,,,,,,,,,,,,0.6940236889008451,0.0231088139573953,0.6571673826301749,0.7405981456025096,0.4440501224610123,0.03708702434647582,0.38877665544332213,0.5175983436853002,0.42525553436705016,0.033274546541537484,0.37665544332210993,0.4845616407482532,0.3605577121107815,0.037342040212962335,0.3037037037037037,0.42926155969634233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed456,phase1,s4_phase_baseline,frozen_tecno_phase_baseline,val,e98ffddee042,6,3,"42,123,456",2,efros,0,phase,F1,unknown,,not_determinable,,,2,,,,,,,,,0.8880088008800879,0.011700537558027146,0.8699669966996699,0.8996699669966997,,,,,,,,,,,,,,,,,,,,,36.73314022578728,6.9760566327464355,26.15740740740741,47.03703703703704,,,,,,,,,,,,,0.6303027638876195,0.015977911579975745,0.6095686448894656,0.6605047609477738,,,,,,,,,,,,,0.6862406368439926,0.018786624557609224,0.6684224498831494,0.7229598486716059,0.4628830006209625,0.05252521768192131,0.3732057416267942,0.5300236406619385,0.4500544224415072,0.05664311754510513,0.34896331738437003,0.5133569739952719,0.3880265422575986,0.06024884714755243,0.28293460925039876,0.4708037825059102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_baseline_neck@val~relation_detr_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_baseline_neck,val,e98ffddee042,3,3,"42,123,456",1,lecun,0,phase,F1,unknown,,not_determinable,,,1,,,,,,,,,0.9141914191419142,0.0014259055442041738,0.9122112211221122,0.9155115511551155,,,,,,,,,,,,,,,,,,,,,41.08407535002081,2.7377816118573386,38.021185485688534,44.666666666666664,,,,,,,,,,,,,0.6644405964401366,0.0029317798324553558,0.6618385112968096,0.6685371468653297,,,,,,,,,,,,,0.7149323142747144,0.013830884195349094,0.6990341836456107,0.7327493641004368,0.4627193577485975,0.05762321173451104,0.40103963612735544,0.5396825396825397,0.43378543700181127,0.0608857489520049,0.3588044184535413,0.5079365079365079,0.3756833025107879,0.0472906791344977,0.30942170240415856,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1/s4_phase_baseline/frozen_tecno_phase_necktransfer@val~relation_detr_seed42,phase1,s4_phase_baseline,frozen_tecno_phase_necktransfer,val,e98ffddee042,3,3,"42,123,456",1,lecun,0,phase,F1,unknown,,not_determinable,,,1,,,,,,,,,0.9023102310231023,0.006467299650912642,0.8943894389438944,0.9102310231023102,,,,,,,,,,,,,,,,,,,,,42.39291992483482,4.436256874028666,39.23076923076923,48.666666666666664,,,,,,,,,,,,,0.6483251517224549,0.005032928798211803,0.6412552542610015,0.6525728211875549,,,,,,,,,,,,,0.7112933615675627,0.004182567940358901,0.7053876773882587,0.7145342707402278,0.49045709192768017,0.05621134933433002,0.4431966726084373,0.5694444444444445,0.46041436776730893,0.05758840080753894,0.41497326203208557,0.5416666666666666,0.4169878052230993,0.058784062101343584,0.3715983363042186,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
