experiment_id,group,step,n_runs,n_seeds,sigma_source,sigma_interpretation,determinism_class,n_runs_det,n_runs_nondet,entrypoints,n_verdicts,n_significant
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed456,phase1,s4_phase_baseline,6,3,(記録なし),unknown,uncontrolled,0,6,scripts/train_s4_tecno.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed123,phase1,s4_phase_baseline,6,3,(記録なし),unknown,uncontrolled,0,6,scripts/train_s4_tecno.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,phase1,s4_phase_baseline,17,3,(記録なし),unknown,uncontrolled,0,17,scripts/train_s4_tecno.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed456,phase1,s4_phase_baseline,6,3,(記録なし),unknown,uncontrolled,0,6,scripts/train_s4_tecno.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_baseline_aligndetr@val~aligndetr_seed42,phase1,s4_phase_baseline,3,3,(記録なし),unknown,uncontrolled,0,3,/tmp/queue_runner/train_s4_tecno_aligndetr.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_baseline_neck@val~relation_detr_seed42,phase1,s4_phase_baseline,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_s4_tecno.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_necktransfer@val~relation_detr_seed42,phase1,s4_phase_baseline,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_s4_tecno.py,0,0
transfer/b1_mtl/b1_naive_mtl_fixed@val,transfer,b1_mtl,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/postprocess_b1.py,0,0
transfer/b1_mtl/b1_naive_mtl_uncertainty@val,transfer,b1_mtl,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/postprocess_b1.py,0,0
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,transfer,b2a_base_oracle_noise_p010,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,6
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,transfer,b2a_base_oracle_noise_p020,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,transfer,b2a_base_oracle_noise_p030,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,3
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,transfer,b2a_base_oracle_top3noise_p010,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,7
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,transfer,b2a_base_oracle_top3noise_p020,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,4
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,transfer,b2a_base_oracle_top3noise_p030,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,scripts/train_b2a.py,7,5
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,transfer,b2a_det2phase,3,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0,3,/home/ubuntu/slocal2/m2/scripts/train_b2a.py,7,7
