experiment_id,metric,verdict_pstd,ratio_pstd,n_seeds,sigma_source,sigma_interpretation,determinism_class,pstd,pstd_over_median,a1_source,a2_seeds,a3_interp,a4_ratio,a5_sigma,a6_det,total,fragility,entrypoints
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_sstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_sstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,detection_sstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,detection_sstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,detection_sstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,accuracy,significant,5.693725074699847,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.0065008384892816925,1.7991,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,edit_score,not_significant,0.8249286484745321,3,paired_delta,mixed_with_nondeterminism,uncontrolled,3.4252660346224917,1.2989,0,1,2,3,0,1,7,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,jaccard,significant,5.478840709312319,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.018946039728483962,2.0531,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,macro_f1,significant,5.950969913336027,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.015337116287070178,1.7603,0,1,2,0,0,1,4,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,seg_f1_10,significant,1.6249358762772526,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.042270164933958944,1.4689,0,1,2,2,0,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,seg_f1_25,significant,1.9561084472253314,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.04495261926224121,1.6547,0,1,2,2,0,1,6,脆い,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,seg_f1_50,significant,2.925964377605222,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.038671733764960796,1.1196,0,1,2,1,0,1,5,要注意,scripts/train_b2a.py
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,accuracy,significant,2.6434902413749923,3,paired_delta,mixed_with_nondeterminism,uncontrolled,0.007176944569581901,1.9862,0,1,2,1,0,1,5,要注意,scripts/train_b2a.py
