# AUTO-GENERATED by `make context`. DO NOT EDIT. generated_from=runindex/ generated_from_digest=4fd482eac961
experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
transfer/b2a_mask_dim_01/b2a_mask_dim_01@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.039874273141599935,0.0024314904815581143,0.0029779554971257655,16.399107232387045,13.389814985511169,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_02/b2a_mask_dim_02@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03811409712399816,0.0024827155103755096,0.003040693088456757,15.351777907986493,12.534674173032771,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_03/b2a_mask_dim_03@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.040314317146000346,0.005705374842915346,0.006987628578227163,7.066024276399768,5.76938466243272,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_04/b2a_mask_dim_04@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03899418513279903,0.007730121396640095,0.009467426535769345,5.044446669330172,4.118773458180341,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_05/b2a_mask_dim_05@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04097438315260101,0.008093055551568806,0.009911928280671122,5.062906450043864,4.133845806017747,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_06/b2a_mask_dim_06@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03437372308659444,0.0036375389753897083,0.004455057204595561,9.449719527173398,7.715663684663047,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_07/b2a_mask_dim_07@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03547383309759552,0.006449144464650353,0.007898556607943976,5.500548683943734,4.491179193666562,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_08/b2a_mask_dim_08@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03921420713499927,0.003955583564414432,0.004844580683877437,9.913633853619364,8.094448146049569,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_09/b2a_mask_dim_09@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.030633349049190683,0.0030328982451829425,0.003714526571240359,10.100355030982222,8.24690534895314,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_mask_dim_10/b2a_mask_dim_10@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.035253811095395306,0.006289315657321251,0.007702807095867023,5.605349296525948,4.576748535519071,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
