arm,p,L,seed,vid,err_rate_actual,mean_run_len,phase_accuracy,phase_macro_f1,phase_edit_score,phase_seg_f1_50
testonly,0.0,0,8,01,0.0,0.0,0.9737130339539978,0.9865618616291912,83.87096774193549,0.8771929824561403
testonly,0.0,0,8,02,0.0,0.0,0.9631236442516269,0.838104862648267,75.0,0.7999999999999999
testonly,0.0,0,8,03,0.0,0.0,0.8025711662075299,0.7772138169787154,33.333333333333336,0.42857142857142855
testonly,0.0,0,8,04,0.0,0.0,0.7283671933784801,0.655839614243381,21.89054726368159,0.30333333333333334
testonly,0.0,0,8,05,0.0,0.0,0.4326530612244898,0.7327914629172296,84.84848484848484,0.6398305084745763
testonly,0.0,0,8,06,0.0,0.0,0.9615663524292966,0.8311723392378167,34.48717948717949,0.34920634920634913
testonly,0.0,0,8,07,0.0,0.0,0.7434248977206313,0.7225820015253301,15.087615087615086,0.16379310344827586
testonly,0.0,0,8,08,0.0,0.0,0.8914285714285715,0.9030147270301218,25.111607142857146,0.21839080459770113
testonly,0.0,0,8,09,0.0,0.0,1.0,1.0,100.0,1.0
testonly,0.0,0,8,10,0.0,0.0,0.9638916750250752,0.9039822994005424,59.770114942528735,0.587962962962963
testonly,0.0,0,8,11,0.0,0.0,0.9562334217506632,0.7771860608518368,69.56521739130434,0.7999999999999999
testonly,0.0,0,8,12,0.0,0.0,0.9573070607553367,0.9083927325938242,48.484848484848484,0.5714285714285714
testonly,0.0,0,8,13,0.0,0.0,0.9476885644768857,0.8076552223061694,81.3953488372093,0.875
testonly,0.0,0,8,14,0.0,0.0,0.7121546961325966,0.5428601022561925,43.020833333333336,0.25280414150129427
testonly,0.0,0,8,15,0.0,0.0,0.9857142857142858,0.7429106688359473,73.33333333333334,0.8148148148148148
testonly,0.4,1,8,01,0.39768953380406386,1.6591355422229428,0.2004381161007667,0.14753300742900025,7.428571428571429,0.010638297872340425
testonly,0.4,1,8,02,0.39768953380406386,1.6591355422229428,0.2386117136659436,0.15017157365892725,3.804347826086951,0.0
testonly,0.4,1,8,03,0.39768953380406386,1.6591355422229428,0.18732782369146006,0.09566214145579813,4.749999999999998,0.00954653937947494
testonly,0.4,1,8,04,0.39768953380406386,1.6591355422229428,0.308502633559067,0.1450784687009112,1.6113543284846765,0.0
testonly,0.4,1,8,05,0.39768953380406386,1.6591355422229428,0.22285714285714286,0.10593492303475639,3.477550342076835,0.004140786749482401
testonly,0.4,1,8,06,0.39768953380406386,1.6591355422229428,0.3009427121102248,0.15223742050045244,3.4554003989740676,0.007751937984496124
testonly,0.4,1,8,07,0.39768953380406386,1.6591355422229428,0.19579193454120397,0.10241177653977114,3.4698006080114414,0.0024449877750611247
testonly,0.4,1,8,08,0.39768953380406386,1.6591355422229428,0.36214285714285716,0.17255161165260247,3.61052195324118,0.010362694300518135
testonly,0.4,1,8,09,0.39768953380406386,1.6591355422229428,0.3474903474903475,0.20573844606626498,1.980198019801982,0.0
testonly,0.4,1,8,10,0.39768953380406386,1.6591355422229428,0.2778335005015045,0.11132632521375838,5.12778639666857,0.011235955056179775
testonly,0.4,1,8,11,0.39768953380406386,1.6591355422229428,0.4708222811671088,0.15255095281754302,5.6140350877192935,0.006622516556291391
testonly,0.4,1,8,12,0.39768953380406386,1.6591355422229428,0.23809523809523808,0.12360070108601362,7.881773399014779,0.0
testonly,0.4,1,8,13,0.39768953380406386,1.6591355422229428,0.2141119221411192,0.11876312169747856,12.5,0.01846153846153846
testonly,0.4,1,8,14,0.39768953380406386,1.6591355422229428,0.46298342541436466,0.1944102085278556,3.6827381931874292,0.001607717041800643
testonly,0.4,1,8,15,0.39768953380406386,1.6591355422229428,0.5642857142857143,0.24611554708510147,8.053691275167784,0.0
testonly,0.4,1,18,01,0.4012739953790676,1.6745120654544143,0.17305585980284777,0.14072918065484907,6.735751295336789,0.0
testonly,0.4,1,18,02,0.4012739953790676,1.6745120654544143,0.23427331887201736,0.13993667143614302,3.4313725490196068,0.0
testonly,0.4,1,18,03,0.4012739953790676,1.6745120654544143,0.19834710743801653,0.10422690239483802,4.488778054862841,0.009523809523809523
testonly,0.4,1,18,04,0.4012739953790676,1.6745120654544143,0.3378480060195636,0.1515646366101816,1.7420132610006023,0.0
testonly,0.4,1,18,05,0.4012739953790676,1.6745120654544143,0.2253061224489796,0.1241680061964727,3.3624945642442396,0.004024144869215291
testonly,0.4,1,18,06,0.4012739953790676,1.6745120654544143,0.29731689630166785,0.12710621004997608,3.285489341085274,0.0
testonly,0.4,1,18,07,0.4012739953790676,1.6745120654544143,0.18118059614260668,0.09054803688120298,3.570885140422569,0.0025252525252525255
testonly,0.4,1,18,08,0.4012739953790676,1.6745120654544143,0.3314285714285714,0.14502695887012132,3.6300505050505025,0.002557544757033248
testonly,0.4,1,18,09,0.4012739953790676,1.6745120654544143,0.41312741312741313,0.2578381347167721,2.051282051282055,0.0
testonly,0.4,1,18,10,0.4012739953790676,1.6745120654544143,0.2657973921765296,0.15992739918046248,5.619313482216709,0.005934718100890207
testonly,0.4,1,18,11,0.4012739953790676,1.6745120654544143,0.4854111405835544,0.17154383953902141,6.2745098039215685,0.014705882352941176
testonly,0.4,1,18,12,0.4012739953790676,1.6745120654544143,0.2660098522167488,0.12335374484069701,7.843137254901967,0.0
testonly,0.4,1,18,13,0.4012739953790676,1.6745120654544143,0.19708029197080293,0.1363936069091151,11.419753086419748,0.0110803324099723
testonly,0.4,1,18,14,0.4012739953790676,1.6745120654544143,0.44640883977900553,0.18038090620404237,3.684359119141728,0.0
testonly,0.4,1,18,15,0.4012739953790676,1.6745120654544143,0.5285714285714286,0.2091466546808784,7.284768211920534,0.0
testonly,0.4,1,28,01,0.4020038435792792,1.6723437892997017,0.19715224534501644,0.14286716300119182,6.718346253229979,0.014527845036319612
testonly,0.4,1,28,02,0.4020038435792792,1.6723437892997017,0.22342733188720174,0.1332245004481208,3.804347826086951,0.0
testonly,0.4,1,28,03,0.4020038435792792,1.6723437892997017,0.20110192837465565,0.10240365263483789,4.761904761904767,0.004784688995215311
testonly,0.4,1,28,04,0.4020038435792792,1.6723437892997017,0.3227990970654628,0.14266001437442588,1.7659051388139335,0.0
testonly,0.4,1,28,05,0.4020038435792792,1.6723437892997017,0.2220408163265306,0.10591397172707002,3.541188797326761,0.004228329809725159
testonly,0.4,1,28,06,0.4020038435792792,1.6723437892997017,0.29731689630166785,0.11179451183619808,3.47361288865467,0.0026109660574412533
testonly,0.4,1,28,07,0.4020038435792792,1.6723437892997017,0.19111630625365283,0.09780569260287975,3.2828993666432105,0.0046403712296983765
testonly,0.4,1,28,08,0.4020038435792792,1.6723437892997017,0.33071428571428574,0.15264368865207212,3.4464838567005716,0.009925558312655087
testonly,0.4,1,28,09,0.4020038435792792,1.6723437892997017,0.4015444015444015,0.2698109260434075,1.9704433497536922,0.0
testonly,0.4,1,28,10,0.4020038435792792,1.6723437892997017,0.2818455366098295,0.1234910113925336,5.903968642822144,0.008849557522123894
testonly,0.4,1,28,11,0.4020038435792792,1.6723437892997017,0.4442970822281167,0.16020956352408236,5.947955390334569,0.006993006993006993
testonly,0.4,1,28,12,0.4020038435792792,1.6723437892997017,0.270935960591133,0.14738989357446816,7.17488789237668,0.008368200836820083
testonly,0.4,1,28,13,0.4020038435792792,1.6723437892997017,0.20437956204379562,0.10446163697157133,13.899613899613906,0.02702702702702703
testonly,0.4,1,28,14,0.4020038435792792,1.6723437892997017,0.4430939226519337,0.21323371180796843,3.307427770667848,0.0
testonly,0.4,1,28,15,0.4020038435792792,1.6723437892997017,0.569047619047619,0.24185374149659863,7.096774193548383,0.0
