arm,p,L,seed,vid,err_rate_actual,mean_run_len,phase_accuracy,phase_macro_f1,phase_edit_score,phase_seg_f1_50
traintest,0.0,0,7,01,0.0,0.0,0.9737130339539978,0.9865618616291912,83.87096774193549,0.8771929824561403
traintest,0.0,0,7,02,0.0,0.0,0.9631236442516269,0.838104862648267,75.0,0.7999999999999999
traintest,0.0,0,7,03,0.0,0.0,0.8025711662075299,0.7772138169787154,33.333333333333336,0.42857142857142855
traintest,0.0,0,7,04,0.0,0.0,0.7283671933784801,0.655839614243381,21.89054726368159,0.30333333333333334
traintest,0.0,0,7,05,0.0,0.0,0.4326530612244898,0.7327914629172296,84.84848484848484,0.6398305084745763
traintest,0.0,0,7,06,0.0,0.0,0.9615663524292966,0.8311723392378167,34.48717948717949,0.34920634920634913
traintest,0.0,0,7,07,0.0,0.0,0.7434248977206313,0.7225820015253301,15.087615087615086,0.16379310344827586
traintest,0.0,0,7,08,0.0,0.0,0.8914285714285715,0.9030147270301218,25.111607142857146,0.21839080459770113
traintest,0.0,0,7,09,0.0,0.0,1.0,1.0,100.0,1.0
traintest,0.0,0,7,10,0.0,0.0,0.9638916750250752,0.9039822994005424,59.770114942528735,0.587962962962963
traintest,0.0,0,7,11,0.0,0.0,0.9562334217506632,0.7771860608518368,69.56521739130434,0.7999999999999999
traintest,0.0,0,7,12,0.0,0.0,0.9573070607553367,0.9083927325938242,48.484848484848484,0.5714285714285714
traintest,0.0,0,7,13,0.0,0.0,0.9476885644768857,0.8076552223061694,81.3953488372093,0.875
traintest,0.0,0,7,14,0.0,0.0,0.7121546961325966,0.5428601022561925,43.020833333333336,0.25280414150129427
traintest,0.0,0,7,15,0.0,0.0,0.9857142857142858,0.7429106688359473,73.33333333333334,0.8148148148148148
traintest,0.4,1,7,01,0.3989548919263242,1.663066177000072,0.651697699890471,0.392348913900638,34.54545454545455,0.04938271604938271
traintest,0.4,1,7,02,0.3989548919263242,1.663066177000072,0.665943600867679,0.5089189578544631,12.765957446808507,0.037037037037037035
traintest,0.4,1,7,03,0.3989548919263242,1.663066177000072,0.7235996326905417,0.40465928149161173,27.586206896551722,0.10389610389610389
traintest,0.4,1,7,04,0.3989548919263242,1.663066177000072,0.7486832204665161,0.37851377223270727,28.97727272727273,0.34375
traintest,0.4,1,7,05,0.3989548919263242,1.663066177000072,0.5714285714285714,0.3584465552359703,11.281736281736283,0.0364963503649635
traintest,0.4,1,7,06,0.3989548919263242,1.663066177000072,0.7251631617113851,0.35689271564406716,26.76282051282051,0.296875
traintest,0.4,1,7,07,0.3989548919263242,1.663066177000072,0.6908240794856809,0.3400097612640445,14.222222222222225,0.034782608695652174
traintest,0.4,1,7,08,0.3989548919263242,1.663066177000072,0.6871428571428572,0.3694819801778153,15.75091575091575,0.07656765676567656
traintest,0.4,1,7,09,0.3989548919263242,1.663066177000072,0.5694980694980695,0.5675017038807819,5.063291139240511,0.0
traintest,0.4,1,7,10,0.3989548919263242,1.663066177000072,0.7683049147442327,0.2436206492441111,26.031746031746035,0.13968253968253969
traintest,0.4,1,7,11,0.3989548919263242,1.663066177000072,0.7612732095490716,0.2794719038557272,28.07017543859649,0.08108108108108107
traintest,0.4,1,7,12,0.3989548919263242,1.663066177000072,0.6009852216748769,0.4015135541529784,23.728813559322038,0.08
traintest,0.4,1,7,13,0.3989548919263242,1.663066177000072,0.6313868613138686,0.2997421401694032,54.054054054054056,0.08450704225352113
traintest,0.4,1,7,14,0.3989548919263242,1.663066177000072,0.5779005524861879,0.1712307905058528,13.371794871794872,0.04512105649303009
traintest,0.4,1,7,15,0.3989548919263242,1.663066177000072,0.6904761904761905,0.39946571564050676,31.57894736842105,0.0
traintest,0.4,1,17,01,0.400669387402561,1.6681410360141684,0.6254107338444688,0.33996165256114225,25.0,0.0816326530612245
traintest,0.4,1,17,02,0.400669387402561,1.6681410360141684,0.5119305856832972,0.28850302886792056,12.82051282051282,0.13043478260869565
traintest,0.4,1,17,03,0.400669387402561,1.6681410360141684,0.7483930211202938,0.2312304437042043,26.66666666666667,0.0816326530612245
traintest,0.4,1,17,04,0.400669387402561,1.6681410360141684,0.7035364936042137,0.2931194311312853,54.06976744186046,0.5106382978723404
traintest,0.4,1,17,05,0.400669387402561,1.6681410360141684,0.5502040816326531,0.19086049799748905,12.291933418693985,0.09478021978021978
traintest,0.4,1,17,06,0.400669387402561,1.6681410360141684,0.7425670775924583,0.2949509142481985,20.441176470588236,0.15612648221343872
traintest,0.4,1,17,07,0.400669387402561,1.6681410360141684,0.5850379894798363,0.40628578191840115,12.739018087855298,0.018018018018018018
traintest,0.4,1,17,08,0.400669387402561,1.6681410360141684,0.6521428571428571,0.25801992236820287,26.37540453074434,0.2579365079365079
traintest,0.4,1,17,09,0.400669387402561,1.6681410360141684,0.5347490347490348,0.49303516767840805,5.970149253731338,0.0
traintest,0.4,1,17,10,0.400669387402561,1.6681410360141684,0.8084252758274825,0.37771744720812306,30.70175438596491,0.24878048780487805
traintest,0.4,1,17,11,0.400669387402561,1.6681410360141684,0.7413793103448276,0.2430523814235923,29.268292682926834,0.06896551724137931
traintest,0.4,1,17,12,0.400669387402561,1.6681410360141684,0.4975369458128079,0.35114495923992434,21.42857142857143,0.04651162790697674
traintest,0.4,1,17,13,0.400669387402561,1.6681410360141684,0.5620437956204379,0.20633138254105757,46.15384615384615,0.05263157894736842
traintest,0.4,1,17,14,0.400669387402561,1.6681410360141684,0.5767955801104973,0.1821407177802661,17.106644667766613,0.027586206896551724
traintest,0.4,1,17,15,0.400669387402561,1.6681410360141684,0.30714285714285716,0.30258755158176837,19.14893617021277,0.0
traintest,0.4,1,27,01,0.40177927490229104,1.6786171805928947,0.5717415115005476,0.27576895720911937,19.318181818181824,0.03508771929824561
traintest,0.4,1,27,02,0.40177927490229104,1.6786171805928947,0.6203904555314533,0.46021462424522275,8.21917808219178,0.075
traintest,0.4,1,27,03,0.40177927490229104,1.6786171805928947,0.7897153351698806,0.42050164927895545,22.22222222222222,0.0975609756097561
traintest,0.4,1,27,04,0.40177927490229104,1.6786171805928947,0.8118886380737397,0.4235562712635697,21.969696969696972,0.27702702702702703
